"Date","Average_SSI"
1980-01-01,-0.0217214834690357
1980-02-01,0.938507405795347
1980-03-01,0.0922748543595252
1980-04-01,-0.101054806925052
1980-05-01,-0.125878479708601
1980-06-01,0.177445477126742
1980-07-01,-0.056137364221439
1980-08-01,0.0159189268065334
1980-09-01,0.184213862017472
1980-10-01,-0.0623238693643656
1980-11-01,-0.00815775164840182
1980-12-01,0.176886951010204
1981-01-01,0.848803271525205
1981-02-01,0.706103017843556
1981-03-01,0.0526316259950078
1981-04-01,0.220556278864984
1981-05-01,-0.125941061800805
1981-06-01,-0.129134572636795
1981-07-01,-0.304006979502254
1981-08-01,0.0455728971032639
1981-09-01,0.136493046127076
1981-10-01,-0.0627468069256118
1981-11-01,-0.19233971334193
1981-12-01,-0.14210213932336
1982-01-01,-0.126707116645647
1982-02-01,-0.161622137425331
1982-03-01,-0.190645193155855
1982-04-01,-0.0368869858721218
1982-05-01,-0.155152707812148
1982-06-01,0.0757984494606914
1982-07-01,-0.218483006482353
1982-08-01,-0.266934426690071
1982-09-01,-0.187229389991847
1982-10-01,0.13729848006372
1982-11-01,-0.13169245814994
1982-12-01,0.00243465473663756
1983-01-01,-0.360325161923203
1983-02-01,-0.151450944011174
1983-03-01,0.165694026744814
1983-04-01,0.230224951493117
1983-05-01,0.235711334915543
1983-06-01,-0.192092803113104
1983-07-01,-0.176392589167964
1983-08-01,-0.268804904580143
1983-09-01,0.0392950879378199
1983-10-01,0.0543876499085553
1983-11-01,0.10983024655761
1983-12-01,0.521173337242084
1984-01-01,-0.241905831849336
1984-02-01,0.309108290018598
1984-03-01,-0.317672921844029
1984-04-01,0.11684704862659
1984-05-01,0.456564146827828
1984-06-01,0.329243640734864
1984-07-01,0.206469140642404
1984-08-01,-0.190733568760384
1984-09-01,0.105394426207745
1984-10-01,0.249736938848709
1984-11-01,0.22666370972919
1984-12-01,-0.0485546229704312
1985-01-01,0.281941157242115
1985-02-01,-0.0461286563203187
1985-03-01,-0.153810293740048
1985-04-01,0.41391993070252
1985-05-01,0.00169411400442631
1985-06-01,-0.155658785001753
1985-07-01,-0.147947174703766
1985-08-01,-0.0573321166816153
1985-09-01,-0.00632794165978492
1985-10-01,-0.319151321810475
1985-11-01,-0.0926511473337314
1985-12-01,-0.118766835340304
1986-01-01,-0.0253111373674242
1986-02-01,-0.279205470236569
1986-03-01,-0.0293376468284136
1986-04-01,-0.0487806618673922
1986-05-01,0.302132311674756
1986-06-01,-0.200665401836091
1986-07-01,-0.251338235025367
1986-08-01,0.133619181586917
1986-09-01,-0.133310130279574
1986-10-01,-0.263491456148829
1986-11-01,-0.157561527448762
1986-12-01,-0.0833313784324917
1987-01-01,-0.0113493107474665
1987-02-01,0.270688176531461
1987-03-01,-0.207079571427391
1987-04-01,0.235510110295279
1987-05-01,0.148711405385295
1987-06-01,-0.165878415898613
1987-07-01,-0.215332329497116
1987-08-01,0.0487151376115603
1987-09-01,-0.0717551753400477
1987-10-01,-0.247917876102593
1987-11-01,-0.0489484046473261
1987-12-01,-0.342767350771264
1988-01-01,0.148570433129913
1988-02-01,-0.330669436988787
1988-03-01,-0.29115985084152
1988-04-01,-0.177124483224665
1988-05-01,-0.219833872273709
1988-06-01,0.44736969442596
1988-07-01,-0.184112370787909
1988-08-01,-0.236748616927627
1988-09-01,-0.328382004217729
1988-10-01,-0.129517307364299
1988-11-01,0.154893837559698
1988-12-01,0.0377573698818767
1989-01-01,0.430298809014032
1989-02-01,0.0694196929093153
1989-03-01,0.0796906669058724
1989-04-01,-0.298019601695554
1989-05-01,0.615614615286185
1989-06-01,0.0784224537192471
1989-07-01,-0.0338163400635053
1989-08-01,0.0838846821685265
1989-09-01,-0.135076861715871
1989-10-01,0.0819843081948454
1989-11-01,0.00373860795173005
1989-12-01,0.366513585997046
1990-01-01,-0.339476924406653
1990-02-01,0.00192265026966266
1990-03-01,0.157050955652333
1990-04-01,-0.406312135963565
1990-05-01,0.00178386481449381
1990-06-01,-0.42648546690116
1990-07-01,-0.285849639499691
1990-08-01,0.206919278869125
1990-09-01,-0.417967186384384
1990-10-01,0.183673735769646
1990-11-01,-0.114022387434556
1990-12-01,0.110646176269054
1991-01-01,-0.358966727762229
1991-02-01,-0.333717941609906
1991-03-01,-0.294242632746354
1991-04-01,-0.181769113072661
1991-05-01,-0.217640037581603
1991-06-01,0.256745266367959
1991-07-01,0.731671730807394
1991-08-01,0.0335955081999541
1991-09-01,-0.0723868004750391
1991-10-01,-0.107307282501669
1991-11-01,-0.293551624801773
1991-12-01,-0.38558819101147
1992-01-01,-0.375614992730636
1992-02-01,-0.114548280921663
1992-03-01,-0.23454107323692
1992-04-01,-0.210776085504279
1992-05-01,-0.00743317383759584
1992-06-01,-0.0702121200592772
1992-07-01,-0.211979564394821
1992-08-01,-0.0577608648994039
1992-09-01,-0.293227048874856
1992-10-01,-0.214621707401777
1992-11-01,-0.271353335706223
1992-12-01,0.0828526214019059
1993-01-01,-0.13290337022313
1993-02-01,0.266752169256389
1993-03-01,-0.0295283305620282
1993-04-01,0.199304145936297
1993-05-01,0.200736365702572
1993-06-01,-0.0352140401484763
1993-07-01,0.415547446261764
1993-08-01,0.141938745548991
1993-09-01,-0.175135130828118
1993-10-01,-0.125143897134069
1993-11-01,-0.293320457154379
1993-12-01,-0.194745907913085
1994-01-01,-0.00486042594111426
1994-02-01,-0.21822032807119
1994-03-01,0.233087008448099
1994-04-01,0.0241508288502699
1994-05-01,-0.264918241047458
1994-06-01,-0.0349015275267306
1994-07-01,-0.0511097487999525
