"Date","Average_SSI"
1980-01-01,-0.146668118517321
1980-02-01,0.00922261623384156
1980-03-01,0.00110659724587408
1980-04-01,-0.159653053827891
1980-05-01,0.296248984959422
1980-06-01,0.0274091698034846
1980-07-01,0.145220093773237
1980-08-01,-0.150933802477081
1980-09-01,-0.0140122929591512
1980-10-01,-0.160821348706888
1980-11-01,-0.0855035777409385
1980-12-01,-0.178396977626291
1981-01-01,-0.137146982528689
1981-02-01,-0.0887173385773654
1981-03-01,0.280955429650116
1981-04-01,0.374772854758192
1981-05-01,0.249911289947718
1981-06-01,0.0140822500419568
1981-07-01,-0.148505918671726
1981-08-01,0.000110528471374664
1981-09-01,0.0231225482923368
1981-10-01,-0.0407752875660008
1981-11-01,0.0196691908082051
1981-12-01,-0.040805504055317
1982-01-01,0.149401208871616
1982-02-01,0.0198084007996814
1982-03-01,-0.0906387448320814
1982-04-01,0.112798589503928
1982-05-01,-0.0618166835226756
1982-06-01,-0.159033647245915
1982-07-01,-0.0709090657293451
1982-08-01,-0.121986138397736
1982-09-01,-0.114369465593422
1982-10-01,0.178776688004018
1982-11-01,0.105982405074573
1982-12-01,0.0483886429051661
1983-01-01,0.117532459955236
1983-02-01,-0.0458294100738469
1983-03-01,-0.211344944996446
1983-04-01,-0.301914287089226
1983-05-01,-0.0533689377862078
1983-06-01,-0.201333490709428
1983-07-01,-0.209458361812511
1983-08-01,-0.106904767209717
1983-09-01,-0.182025262884194
1983-10-01,-0.122736902230623
1983-11-01,-0.169973826955367
1983-12-01,-0.114133675687819
1984-01-01,-0.0645705002710529
1984-02-01,-0.137968419042216
1984-03-01,-0.245206749572677
1984-04-01,-0.261160540502741
1984-05-01,-0.106346195608871
1984-06-01,-0.0603445777649223
1984-07-01,-0.128398180340912
1984-08-01,-0.0359874984689399
1984-09-01,-0.0151572145179199
1984-10-01,-0.0875538242842328
1984-11-01,-0.0370643363952304
1984-12-01,-0.0582371374466791
1985-01-01,0.00547679583957552
1985-02-01,-0.0498881611370686
1985-03-01,-0.24785032397299
1985-04-01,-0.164900840493672
1985-05-01,-0.0111905496833128
1985-06-01,0.126698680367637
1985-07-01,0.221784210737353
1985-08-01,-0.0308927900509094
1985-09-01,-0.0980517794953462
1985-10-01,-0.19648154078479
1985-11-01,0.0052801857544066
1985-12-01,-0.0659788813217959
1986-01-01,-0.160750980604563
1986-02-01,-0.146974767799085
1986-03-01,-0.0196990994728772
1986-04-01,-0.140688149762237
1986-05-01,-0.224641911625988
1986-06-01,-0.0975857505749563
1986-07-01,-0.191753349503487
1986-08-01,-0.201215642138617
1986-09-01,0.0591315892226675
1986-10-01,0.0205013923022799
1986-11-01,-0.117774422861148
1986-12-01,-0.165878009784028
1987-01-01,-0.222364736009829
1987-02-01,-0.175969167284895
1987-03-01,-0.220082911942132
1987-04-01,0.0482026142789463
1987-05-01,-0.200011801397155
1987-06-01,0.0697934652698398
1987-07-01,-0.0698778846472966
1987-08-01,-0.0527568261626284
1987-09-01,-0.0932177192700455
1987-10-01,-0.0175938264423071
1987-11-01,-0.0663798661419736
1987-12-01,-0.103948942368856
1988-01-01,0.205873105043957
1988-02-01,-0.0865812752748009
1988-03-01,-0.0837858269292181
1988-04-01,-0.0929349909999481
1988-05-01,-0.147087933858037
1988-06-01,0.261968957411519
1988-07-01,0.316648756354732
1988-08-01,0.575737231079903
1988-09-01,0.494815934258696
1988-10-01,0.499874507002759
1988-11-01,0.400393539797963
1988-12-01,0.273151039101147
1989-01-01,0.311346990757692
1989-02-01,0.548067299803844
1989-03-01,-0.0906599758698387
1989-04-01,-0.0707180080794981
1989-05-01,-0.035261079455855
1989-06-01,0.0927973462251191
1989-07-01,0.106556194991792
1989-08-01,0.147701983452365
1989-09-01,-0.0538771319498437
1989-10-01,0.0684990564251324
1989-11-01,-0.0668634313167598
1989-12-01,0.0559150975476674
1990-01-01,-0.111587424147887
1990-02-01,-0.0752604108657218
1990-03-01,0.0413026547134587
1990-04-01,0.336986165440876
1990-05-01,0.145394451587317
1990-06-01,-0.103961152314376
1990-07-01,-0.19492303042864
1990-08-01,-0.0599046858773843
1990-09-01,0.0977077481450328
1990-10-01,0.133936827711005
1990-11-01,0.174894497195002
1990-12-01,0.303134620623367
1991-01-01,0.341941287655898
1991-02-01,0.0464112115330961
1991-03-01,0.257078164039504
1991-04-01,0.228631582312039
1991-05-01,-0.053258478972479
1991-06-01,-0.0768654574685434
1991-07-01,-0.196782677301222
1991-08-01,0.0271889745277743
1991-09-01,0.0195130341288689
1991-10-01,-0.0372504001562628
1991-11-01,-0.155099112565715
1991-12-01,-0.0883928687003112
1992-01-01,-0.147057235995655
1992-02-01,-0.234147167559209
1992-03-01,-0.0384858702159904
1992-04-01,0.253863245377472
1992-05-01,0.359841687599218
1992-06-01,0.230567471514896
1992-07-01,0.0040070595701698
1992-08-01,0.0623128288375577
1992-09-01,0.0171349363088557
1992-10-01,0.263345804772042
1992-11-01,0.104575406604262
1992-12-01,0.167751021566955
1993-01-01,0.191814320208264
1993-02-01,0.162718442025125
1993-03-01,-0.189645505433348
1993-04-01,0.077366529022793
1993-05-01,0.00718607834161474
1993-06-01,-0.195082152706748
1993-07-01,0.131527057170755
1993-08-01,0.0759752657122899
1993-09-01,-0.0836408057840505
1993-10-01,-0.157438861869222
1993-11-01,-0.0992886045778537
1993-12-01,-0.0648550755939986
1994-01-01,-0.0893684536446484
1994-02-01,0.00541599360824201
1994-03-01,-0.108192855781257
1994-04-01,-0.10018459474385
1994-05-01,-0.297116953068607
1994-06-01,0.0231463894142815
