"Date","Average_SSI"
1980-01-01,-0.122981218736913
1980-02-01,-0.059193681946957
1980-03-01,-0.0357451686368399
1980-04-01,-0.13569166192761
1980-05-01,0.207678883960616
1980-06-01,0.0419441116817048
1980-07-01,0.415425468664512
1980-08-01,0.218645811257133
1980-09-01,0.37023584195668
1980-10-01,0.238659663735312
1980-11-01,0.494321118023592
1980-12-01,0.259099120596038
1981-01-01,0.404252088437541
1981-02-01,0.435041560419527
1981-03-01,0.61253804461391
1981-04-01,0.49258444544081
1981-05-01,0.119635898495221
1981-06-01,0.163242280369044
1981-07-01,-0.00405196488791177
1981-08-01,0.0123467748724467
1981-09-01,-0.0332620139584506
1981-10-01,-0.150918968623072
1981-11-01,0.0578473857969837
1981-12-01,-0.0679485164744602
1982-01-01,0.236981335640792
1982-02-01,0.189608171941326
1982-03-01,-0.176022726477821
1982-04-01,0.11891084313493
1982-05-01,-0.0667180836463994
1982-06-01,0.0187851964337601
1982-07-01,-0.0754245000514052
1982-08-01,-0.0475818975721365
1982-09-01,-0.125019282865506
1982-10-01,-0.14119582631869
1982-11-01,-0.207697990949696
1982-12-01,-0.113416790110291
1983-01-01,-0.0872099978148226
1983-02-01,0.0805302178725481
1983-03-01,-0.00890121993012071
1983-04-01,0.198983667696883
1983-05-01,-0.065215815095379
1983-06-01,-0.16231303432731
1983-07-01,-0.100254451314633
1983-08-01,0.0585261257413177
1983-09-01,-0.0265222839841485
1983-10-01,-0.115474982598519
1983-11-01,-0.15002206075133
1983-12-01,-0.212996929202843
1984-01-01,-0.130974612017906
1984-02-01,-0.137906853749116
1984-03-01,0.119178226379144
1984-04-01,0.426175869480441
1984-05-01,-0.191750177144321
1984-06-01,0.0388191971407964
1984-07-01,-0.281861329390003
1984-08-01,-0.0727164099998762
1984-09-01,-0.0746445945753147
1984-10-01,-0.160803521386913
1984-11-01,-0.285579721408997
1984-12-01,-0.161935294430788
1985-01-01,-0.175954379642652
1985-02-01,0.191227652831989
1985-03-01,-0.17545502397716
1985-04-01,-0.17823946400684
1985-05-01,-0.278840306346294
1985-06-01,-0.108233163852405
1985-07-01,-0.166050221724107
1985-08-01,-0.0563990984381198
1985-09-01,-0.25017483771901
1985-10-01,-0.16201055843236
1985-11-01,-0.078112892132974
1985-12-01,-0.107446102408835
1986-01-01,-0.189059620307314
1986-02-01,-0.123600524194275
1986-03-01,-0.146759511591252
1986-04-01,-0.158416468727266
1986-05-01,-0.240530371300802
1986-06-01,-0.20410718673407
1986-07-01,-0.181066140359082
1986-08-01,-0.193506946950393
1986-09-01,-0.105949745412684
1986-10-01,0.0145809773625438
1986-11-01,-0.154061827099482
1986-12-01,-0.163881022980457
1987-01-01,-0.114152332727403
1987-02-01,-0.240016576402688
1987-03-01,0.149598608602962
1987-04-01,0.00759211806618451
1987-05-01,-0.146796745703994
1987-06-01,-0.0796847175099575
1987-07-01,-0.292792812409246
1987-08-01,-0.195915549796145
1987-09-01,-0.267978354800548
1987-10-01,-0.215292666197257
1987-11-01,-0.228762312388589
1987-12-01,-0.131621486208178
1988-01-01,-0.124752515944955
1988-02-01,-0.260809298945744
1988-03-01,-0.0824635770328107
1988-04-01,-0.220202869376412
1988-05-01,0.166059440537015
1988-06-01,0.441864110416593
1988-07-01,0.0217152477491129
1988-08-01,0.129258208422569
1988-09-01,0.060227811803695
1988-10-01,0.243858511987991
1988-11-01,0.183335625110256
1988-12-01,0.108595107243863
1989-01-01,0.0685670677572961
1989-02-01,0.31931028031874
1989-03-01,0.0336695854374273
1989-04-01,0.289083387473061
1989-05-01,0.317828809116241
1989-06-01,0.232217475430165
1989-07-01,0.185933996776219
1989-08-01,-0.0831906550977809
1989-09-01,-0.148205432272611
1989-10-01,-0.033214186986168
1989-11-01,0.132277772177451
1989-12-01,0.24146884278558
1990-01-01,-0.106997376712935
1990-02-01,-0.0326961805752837
1990-03-01,-0.0172511576991737
1990-04-01,-0.0720540694345159
1990-05-01,-0.0638784502070558
1990-06-01,-0.137968248025301
1990-07-01,-0.244875971762428
1990-08-01,-0.259467825622074
1990-09-01,-0.0498146785920504
1990-10-01,0.0227415058467904
1990-11-01,-0.028878508418549
1990-12-01,0.23199340639837
1991-01-01,0.278906886184846
1991-02-01,-0.0578468151491235
1991-03-01,0.115384409562566
1991-04-01,0.096798766968214
1991-05-01,-0.263362648049426
1991-06-01,-0.117047126858517
1991-07-01,0.167617207650711
1991-08-01,0.337181773096681
1991-09-01,0.217197586627413
1991-10-01,0.314033304296117
1991-11-01,0.0955273827480348
1991-12-01,-0.113098652947933
1992-01-01,-0.0866929589760414
1992-02-01,-0.0468086826950551
1992-03-01,0.0134764511593103
1992-04-01,-0.0784703937969007
1992-05-01,0.27188242040409
1992-06-01,0.00513130393343803
1992-07-01,-0.0698526621224094
1992-08-01,-0.19539060524942
1992-09-01,-0.298902554536085
1992-10-01,-0.168627412999392
1992-11-01,-0.0244464387991932
1992-12-01,0.0435878446169085
1993-01-01,0.0992241990592767
1993-02-01,-0.0503198217780789
1993-03-01,0.0599595810564911
1993-04-01,-0.0626603474721554
1993-05-01,-0.130471703174707
1993-06-01,-0.19564101792318
1993-07-01,0.261660474695285
1993-08-01,0.00274207316624803
1993-09-01,0.0243048982118098
1993-10-01,-0.165867154323226
1993-11-01,-0.126803576571864
1993-12-01,-0.121165225257426
1994-01-01,-0.246839581395588
1994-02-01,-0.193824427058221
1994-03-01,-0.202337158610332
1994-04-01,0.0405212997735537
1994-05-01,-0.16501215825924
1994-06-01,-0.193267688100614
1994-07-01,-0.0147577898407322
