"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1929-10-01,NA,"1929","10","1929-10",NA,NA
1929-10-02,NA,"1929","10","1929-10",NA,NA
1929-10-03,NA,"1929","10","1929-10",NA,NA
1929-10-04,NA,"1929","10","1929-10",NA,NA
1929-10-05,NA,"1929","10","1929-10",NA,NA
1929-10-06,NA,"1929","10","1929-10",NA,NA
1929-10-07,NA,"1929","10","1929-10",NA,NA
1929-10-08,NA,"1929","10","1929-10",NA,NA
1929-10-09,NA,"1929","10","1929-10",NA,NA
1929-10-10,NA,"1929","10","1929-10",NA,NA
1929-10-11,NA,"1929","10","1929-10",NA,NA
1929-10-12,NA,"1929","10","1929-10",NA,NA
1929-10-13,NA,"1929","10","1929-10",NA,NA
1929-10-14,NA,"1929","10","1929-10",NA,NA
1929-10-15,NA,"1929","10","1929-10",NA,NA
1929-10-16,NA,"1929","10","1929-10",NA,NA
1929-10-17,NA,"1929","10","1929-10",NA,NA
1929-10-18,NA,"1929","10","1929-10",NA,NA
1929-10-19,NA,"1929","10","1929-10",NA,NA
1929-10-20,NA,"1929","10","1929-10",NA,NA
1929-10-21,NA,"1929","10","1929-10",NA,NA
1929-10-22,NA,"1929","10","1929-10",NA,NA
1929-10-23,NA,"1929","10","1929-10",NA,NA
1929-10-24,NA,"1929","10","1929-10",NA,NA
1929-10-25,NA,"1929","10","1929-10",NA,NA
1929-10-26,NA,"1929","10","1929-10",NA,NA
1929-10-27,NA,"1929","10","1929-10",NA,NA
1929-10-28,NA,"1929","10","1929-10",NA,NA
1929-10-29,NA,"1929","10","1929-10",NA,NA
1929-10-30,NA,"1929","10","1929-10",NA,NA
1929-10-31,NA,"1929","10","1929-10",NA,NA
1929-11-01,NA,"1929","11","1929-11",NA,NA
1929-11-02,NA,"1929","11","1929-11",NA,NA
1929-11-03,NA,"1929","11","1929-11",NA,NA
1929-11-04,NA,"1929","11","1929-11",NA,NA
1929-11-05,NA,"1929","11","1929-11",NA,NA
1929-11-06,NA,"1929","11","1929-11",NA,NA
1929-11-07,NA,"1929","11","1929-11",NA,NA
1929-11-08,NA,"1929","11","1929-11",NA,NA
1929-11-09,NA,"1929","11","1929-11",NA,NA
1929-11-10,NA,"1929","11","1929-11",NA,NA
1929-11-11,NA,"1929","11","1929-11",NA,NA
1929-11-12,NA,"1929","11","1929-11",NA,NA
1929-11-13,NA,"1929","11","1929-11",NA,NA
1929-11-14,NA,"1929","11","1929-11",NA,NA
1929-11-15,NA,"1929","11","1929-11",NA,NA
1929-11-16,NA,"1929","11","1929-11",NA,NA
1929-11-17,NA,"1929","11","1929-11",NA,NA
1929-11-18,NA,"1929","11","1929-11",NA,NA
1929-11-19,NA,"1929","11","1929-11",NA,NA
1929-11-20,NA,"1929","11","1929-11",NA,NA
1929-11-21,NA,"1929","11","1929-11",NA,NA
1929-11-22,NA,"1929","11","1929-11",NA,NA
1929-11-23,NA,"1929","11","1929-11",NA,NA
1929-11-24,NA,"1929","11","1929-11",NA,NA
1929-11-25,NA,"1929","11","1929-11",NA,NA
1929-11-26,NA,"1929","11","1929-11",NA,NA
1929-11-27,NA,"1929","11","1929-11",NA,NA
1929-11-28,NA,"1929","11","1929-11",NA,NA
1929-11-29,NA,"1929","11","1929-11",NA,NA
1929-11-30,NA,"1929","11","1929-11",NA,NA
1929-12-01,NA,"1929","12","1929-12",NA,NA
1929-12-02,NA,"1929","12","1929-12",NA,NA
1929-12-03,NA,"1929","12","1929-12",NA,NA
1929-12-04,NA,"1929","12","1929-12",NA,NA
1929-12-05,NA,"1929","12","1929-12",NA,NA
1929-12-06,NA,"1929","12","1929-12",NA,NA
1929-12-07,NA,"1929","12","1929-12",NA,NA
1929-12-08,NA,"1929","12","1929-12",NA,NA
1929-12-09,NA,"1929","12","1929-12",NA,NA
1929-12-10,NA,"1929","12","1929-12",NA,NA
1929-12-11,NA,"1929","12","1929-12",NA,NA
1929-12-12,NA,"1929","12","1929-12",NA,NA
1929-12-13,NA,"1929","12","1929-12",NA,NA
1929-12-14,NA,"1929","12","1929-12",NA,NA
1929-12-15,NA,"1929","12","1929-12",NA,NA
1929-12-16,NA,"1929","12","1929-12",NA,NA
1929-12-17,NA,"1929","12","1929-12",NA,NA
1929-12-18,NA,"1929","12","1929-12",NA,NA
1929-12-19,NA,"1929","12","1929-12",NA,NA
1929-12-20,NA,"1929","12","1929-12",NA,NA
1929-12-21,NA,"1929","12","1929-12",NA,NA
1929-12-22,NA,"1929","12","1929-12",NA,NA
1929-12-23,NA,"1929","12","1929-12",NA,NA
1929-12-24,NA,"1929","12","1929-12",NA,NA
1929-12-25,NA,"1929","12","1929-12",NA,NA
1929-12-26,NA,"1929","12","1929-12",NA,NA
1929-12-27,NA,"1929","12","1929-12",NA,NA
1929-12-28,NA,"1929","12","1929-12",NA,NA
1929-12-29,NA,"1929","12","1929-12",NA,NA
1929-12-30,NA,"1929","12","1929-12",NA,NA
1929-12-31,NA,"1929","12","1929-12",NA,NA
1930-01-01,NA,"1930","1","1930-1",NA,NA
1930-01-02,NA,"1930","1","1930-1",NA,NA
1930-01-03,NA,"1930","1","1930-1",NA,NA
1930-01-04,NA,"1930","1","1930-1",NA,NA
1930-01-05,NA,"1930","1","1930-1",NA,NA
1930-01-06,NA,"1930","1","1930-1",NA,NA
1930-01-07,NA,"1930","1","1930-1",NA,NA
1930-01-08,NA,"1930","1","1930-1",NA,NA
1930-01-09,NA,"1930","1","1930-1",NA,NA
1930-01-10,NA,"1930","1","1930-1",NA,NA
1930-01-11,NA,"1930","1","1930-1",NA,NA
1930-01-12,NA,"1930","1","1930-1",NA,NA
1930-01-13,NA,"1930","1","1930-1",NA,NA
1930-01-14,NA,"1930","1","1930-1",NA,NA
1930-01-15,NA,"1930","1","1930-1",NA,NA
1930-01-16,NA,"1930","1","1930-1",NA,NA
1930-01-17,NA,"1930","1","1930-1",NA,NA
1930-01-18,NA,"1930","1","1930-1",NA,NA
1930-01-19,NA,"1930","1","1930-1",NA,NA
1930-01-20,NA,"1930","1","1930-1",NA,NA
1930-01-21,NA,"1930","1","1930-1",NA,NA
1930-01-22,NA,"1930","1","1930-1",NA,NA
1930-01-23,NA,"1930","1","1930-1",NA,NA
1930-01-24,NA,"1930","1","1930-1",NA,NA
1930-01-25,NA,"1930","1","1930-1",NA,NA
1930-01-26,NA,"1930","1","1930-1",NA,NA
1930-01-27,NA,"1930","1","1930-1",NA,NA
1930-01-28,NA,"1930","1","1930-1",NA,NA
1930-01-29,NA,"1930","1","1930-1",NA,NA
1930-01-30,NA,"1930","1","1930-1",NA,NA
1930-01-31,NA,"1930","1","1930-1",NA,NA
1930-02-01,NA,"1930","2","1930-2",NA,NA
1930-02-02,NA,"1930","2","1930-2",NA,NA
1930-02-03,NA,"1930","2","1930-2",NA,NA
1930-02-04,NA,"1930","2","1930-2",NA,NA
1930-02-05,NA,"1930","2","1930-2",NA,NA
1930-02-06,NA,"1930","2","1930-2",NA,NA
1930-02-07,NA,"1930","2","1930-2",NA,NA
1930-02-08,NA,"1930","2","1930-2",NA,NA
1930-02-09,NA,"1930","2","1930-2",NA,NA
1930-02-10,NA,"1930","2","1930-2",NA,NA
1930-02-11,NA,"1930","2","1930-2",NA,NA
1930-02-12,NA,"1930","2","1930-2",NA,NA
1930-02-13,NA,"1930","2","1930-2",NA,NA
1930-02-14,NA,"1930","2","1930-2",NA,NA
1930-02-15,NA,"1930","2","1930-2",NA,NA
1930-02-16,NA,"1930","2","1930-2",NA,NA
1930-02-17,NA,"1930","2","1930-2",NA,NA
1930-02-18,NA,"1930","2","1930-2",NA,NA
1930-02-19,NA,"1930","2","1930-2",NA,NA
1930-02-20,NA,"1930","2","1930-2",NA,NA
1930-02-21,NA,"1930","2","1930-2",NA,NA
1930-02-22,NA,"1930","2","1930-2",NA,NA
1930-02-23,NA,"1930","2","1930-2",NA,NA
1930-02-24,NA,"1930","2","1930-2",NA,NA
1930-02-25,NA,"1930","2","1930-2",NA,NA
1930-02-26,NA,"1930","2","1930-2",NA,NA
1930-02-27,NA,"1930","2","1930-2",NA,NA
1930-02-28,NA,"1930","2","1930-2",NA,NA
1930-03-01,NA,"1930","3","1930-3",NA,NA
1930-03-02,NA,"1930","3","1930-3",NA,NA
1930-03-03,NA,"1930","3","1930-3",NA,NA
1930-03-04,NA,"1930","3","1930-3",NA,NA
1930-03-05,NA,"1930","3","1930-3",NA,NA
1930-03-06,NA,"1930","3","1930-3",NA,NA
1930-03-07,NA,"1930","3","1930-3",NA,NA
1930-03-08,NA,"1930","3","1930-3",NA,NA
1930-03-09,NA,"1930","3","1930-3",NA,NA
1930-03-10,NA,"1930","3","1930-3",NA,NA
1930-03-11,NA,"1930","3","1930-3",NA,NA
1930-03-12,NA,"1930","3","1930-3",NA,NA
1930-03-13,NA,"1930","3","1930-3",NA,NA
1930-03-14,NA,"1930","3","1930-3",NA,NA
1930-03-15,NA,"1930","3","1930-3",NA,NA
1930-03-16,NA,"1930","3","1930-3",NA,NA
1930-03-17,NA,"1930","3","1930-3",NA,NA
1930-03-18,NA,"1930","3","1930-3",NA,NA
1930-03-19,NA,"1930","3","1930-3",NA,NA
1930-03-20,NA,"1930","3","1930-3",NA,NA
1930-03-21,NA,"1930","3","1930-3",NA,NA
1930-03-22,NA,"1930","3","1930-3",NA,NA
1930-03-23,NA,"1930","3","1930-3",NA,NA
1930-03-24,NA,"1930","3","1930-3",NA,NA
1930-03-25,NA,"1930","3","1930-3",NA,NA
1930-03-26,NA,"1930","3","1930-3",NA,NA
1930-03-27,NA,"1930","3","1930-3",NA,NA
1930-03-28,NA,"1930","3","1930-3",NA,NA
1930-03-29,NA,"1930","3","1930-3",NA,NA
1930-03-30,NA,"1930","3","1930-3",NA,NA
1930-03-31,NA,"1930","3","1930-3",NA,NA
1930-04-01,NA,"1930","4","1930-4",NA,NA
1930-04-02,NA,"1930","4","1930-4",NA,NA
1930-04-03,NA,"1930","4","1930-4",NA,NA
1930-04-04,NA,"1930","4","1930-4",NA,NA
1930-04-05,NA,"1930","4","1930-4",NA,NA
1930-04-06,NA,"1930","4","1930-4",NA,NA
1930-04-07,NA,"1930","4","1930-4",NA,NA
1930-04-08,NA,"1930","4","1930-4",NA,NA
1930-04-09,NA,"1930","4","1930-4",NA,NA
1930-04-10,NA,"1930","4","1930-4",NA,NA
1930-04-11,NA,"1930","4","1930-4",NA,NA
1930-04-12,NA,"1930","4","1930-4",NA,NA
1930-04-13,NA,"1930","4","1930-4",NA,NA
1930-04-14,NA,"1930","4","1930-4",NA,NA
1930-04-15,NA,"1930","4","1930-4",NA,NA
1930-04-16,NA,"1930","4","1930-4",NA,NA
1930-04-17,NA,"1930","4","1930-4",NA,NA
1930-04-18,NA,"1930","4","1930-4",NA,NA
1930-04-19,NA,"1930","4","1930-4",NA,NA
1930-04-20,NA,"1930","4","1930-4",NA,NA
1930-04-21,NA,"1930","4","1930-4",NA,NA
1930-04-22,NA,"1930","4","1930-4",NA,NA
1930-04-23,NA,"1930","4","1930-4",NA,NA
1930-04-24,NA,"1930","4","1930-4",NA,NA
1930-04-25,NA,"1930","4","1930-4",NA,NA
1930-04-26,NA,"1930","4","1930-4",NA,NA
1930-04-27,NA,"1930","4","1930-4",NA,NA
1930-04-28,NA,"1930","4","1930-4",NA,NA
1930-04-29,NA,"1930","4","1930-4",NA,NA
1930-04-30,NA,"1930","4","1930-4",NA,NA
1930-05-01,NA,"1930","5","1930-5",NA,NA
1930-05-02,NA,"1930","5","1930-5",NA,NA
1930-05-03,NA,"1930","5","1930-5",NA,NA
1930-05-04,NA,"1930","5","1930-5",NA,NA
1930-05-05,NA,"1930","5","1930-5",NA,NA
1930-05-06,NA,"1930","5","1930-5",NA,NA
1930-05-07,NA,"1930","5","1930-5",NA,NA
1930-05-08,NA,"1930","5","1930-5",NA,NA
1930-05-09,NA,"1930","5","1930-5",NA,NA
1930-05-10,NA,"1930","5","1930-5",NA,NA
1930-05-11,NA,"1930","5","1930-5",NA,NA
1930-05-12,NA,"1930","5","1930-5",NA,NA
1930-05-13,NA,"1930","5","1930-5",NA,NA
1930-05-14,NA,"1930","5","1930-5",NA,NA
1930-05-15,NA,"1930","5","1930-5",NA,NA
1930-05-16,NA,"1930","5","1930-5",NA,NA
1930-05-17,NA,"1930","5","1930-5",NA,NA
1930-05-18,NA,"1930","5","1930-5",NA,NA
1930-05-19,NA,"1930","5","1930-5",NA,NA
1930-05-20,NA,"1930","5","1930-5",NA,NA
1930-05-21,NA,"1930","5","1930-5",NA,NA
1930-05-22,NA,"1930","5","1930-5",NA,NA
1930-05-23,NA,"1930","5","1930-5",NA,NA
1930-05-24,NA,"1930","5","1930-5",NA,NA
1930-05-25,NA,"1930","5","1930-5",NA,NA
1930-05-26,NA,"1930","5","1930-5",NA,NA
1930-05-27,NA,"1930","5","1930-5",NA,NA
1930-05-28,NA,"1930","5","1930-5",NA,NA
1930-05-29,NA,"1930","5","1930-5",NA,NA
1930-05-30,NA,"1930","5","1930-5",NA,NA
1930-05-31,NA,"1930","5","1930-5",NA,NA
1930-06-01,NA,"1930","6","1930-6",NA,NA
1930-06-02,NA,"1930","6","1930-6",NA,NA
1930-06-03,NA,"1930","6","1930-6",NA,NA
1930-06-04,NA,"1930","6","1930-6",NA,NA
1930-06-05,NA,"1930","6","1930-6",NA,NA
1930-06-06,NA,"1930","6","1930-6",NA,NA
1930-06-07,NA,"1930","6","1930-6",NA,NA
1930-06-08,NA,"1930","6","1930-6",NA,NA
1930-06-09,NA,"1930","6","1930-6",NA,NA
1930-06-10,NA,"1930","6","1930-6",NA,NA
1930-06-11,NA,"1930","6","1930-6",NA,NA
1930-06-12,NA,"1930","6","1930-6",NA,NA
1930-06-13,NA,"1930","6","1930-6",NA,NA
1930-06-14,NA,"1930","6","1930-6",NA,NA
1930-06-15,NA,"1930","6","1930-6",NA,NA
1930-06-16,NA,"1930","6","1930-6",NA,NA
1930-06-17,NA,"1930","6","1930-6",NA,NA
1930-06-18,NA,"1930","6","1930-6",NA,NA
1930-06-19,NA,"1930","6","1930-6",NA,NA
1930-06-20,NA,"1930","6","1930-6",NA,NA
1930-06-21,NA,"1930","6","1930-6",NA,NA
1930-06-22,NA,"1930","6","1930-6",NA,NA
1930-06-23,NA,"1930","6","1930-6",NA,NA
1930-06-24,NA,"1930","6","1930-6",NA,NA
1930-06-25,NA,"1930","6","1930-6",NA,NA
1930-06-26,NA,"1930","6","1930-6",NA,NA
1930-06-27,NA,"1930","6","1930-6",NA,NA
1930-06-28,NA,"1930","6","1930-6",NA,NA
1930-06-29,NA,"1930","6","1930-6",NA,NA
1930-06-30,NA,"1930","6","1930-6",NA,NA
1930-07-01,NA,"1930","7","1930-7",NA,NA
1930-07-02,NA,"1930","7","1930-7",NA,NA
1930-07-03,NA,"1930","7","1930-7",NA,NA
1930-07-04,NA,"1930","7","1930-7",NA,NA
1930-07-05,NA,"1930","7","1930-7",NA,NA
1930-07-06,NA,"1930","7","1930-7",NA,NA
1930-07-07,NA,"1930","7","1930-7",NA,NA
1930-07-08,NA,"1930","7","1930-7",NA,NA
1930-07-09,NA,"1930","7","1930-7",NA,NA
1930-07-10,NA,"1930","7","1930-7",NA,NA
1930-07-11,NA,"1930","7","1930-7",NA,NA
1930-07-12,NA,"1930","7","1930-7",NA,NA
1930-07-13,NA,"1930","7","1930-7",NA,NA
1930-07-14,NA,"1930","7","1930-7",NA,NA
1930-07-15,NA,"1930","7","1930-7",NA,NA
1930-07-16,NA,"1930","7","1930-7",NA,NA
1930-07-17,NA,"1930","7","1930-7",NA,NA
1930-07-18,NA,"1930","7","1930-7",NA,NA
1930-07-19,NA,"1930","7","1930-7",NA,NA
1930-07-20,NA,"1930","7","1930-7",NA,NA
1930-07-21,NA,"1930","7","1930-7",NA,NA
1930-07-22,NA,"1930","7","1930-7",NA,NA
1930-07-23,NA,"1930","7","1930-7",NA,NA
1930-07-24,NA,"1930","7","1930-7",NA,NA
