"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1884-01-01,NA,"1884","1","1884-1",NA,NA
1884-01-02,NA,"1884","1","1884-1",NA,NA
1884-01-03,NA,"1884","1","1884-1",NA,NA
1884-01-04,NA,"1884","1","1884-1",NA,NA
1884-01-05,NA,"1884","1","1884-1",NA,NA
1884-01-06,NA,"1884","1","1884-1",NA,NA
1884-01-07,NA,"1884","1","1884-1",NA,NA
1884-01-08,NA,"1884","1","1884-1",NA,NA
1884-01-09,NA,"1884","1","1884-1",NA,NA
1884-01-10,NA,"1884","1","1884-1",NA,NA
1884-01-11,NA,"1884","1","1884-1",NA,NA
1884-01-12,NA,"1884","1","1884-1",NA,NA
1884-01-13,NA,"1884","1","1884-1",NA,NA
1884-01-14,NA,"1884","1","1884-1",NA,NA
1884-01-15,NA,"1884","1","1884-1",NA,NA
1884-01-16,NA,"1884","1","1884-1",NA,NA
1884-01-17,NA,"1884","1","1884-1",NA,NA
1884-01-18,NA,"1884","1","1884-1",NA,NA
1884-01-19,NA,"1884","1","1884-1",NA,NA
1884-01-20,NA,"1884","1","1884-1",NA,NA
1884-01-21,NA,"1884","1","1884-1",NA,NA
1884-01-22,NA,"1884","1","1884-1",NA,NA
1884-01-23,NA,"1884","1","1884-1",NA,NA
1884-01-24,NA,"1884","1","1884-1",NA,NA
1884-01-25,NA,"1884","1","1884-1",NA,NA
1884-01-26,NA,"1884","1","1884-1",NA,NA
1884-01-27,NA,"1884","1","1884-1",NA,NA
1884-01-28,NA,"1884","1","1884-1",NA,NA
1884-01-29,NA,"1884","1","1884-1",NA,NA
1884-01-30,NA,"1884","1","1884-1",NA,NA
1884-01-31,NA,"1884","1","1884-1",NA,NA
1884-02-01,NA,"1884","2","1884-2",NA,NA
1884-02-02,NA,"1884","2","1884-2",NA,NA
1884-02-03,NA,"1884","2","1884-2",NA,NA
1884-02-04,NA,"1884","2","1884-2",NA,NA
1884-02-05,NA,"1884","2","1884-2",NA,NA
1884-02-06,NA,"1884","2","1884-2",NA,NA
1884-02-07,NA,"1884","2","1884-2",NA,NA
1884-02-08,NA,"1884","2","1884-2",NA,NA
1884-02-09,NA,"1884","2","1884-2",NA,NA
1884-02-10,NA,"1884","2","1884-2",NA,NA
1884-02-11,NA,"1884","2","1884-2",NA,NA
1884-02-12,NA,"1884","2","1884-2",NA,NA
1884-02-13,NA,"1884","2","1884-2",NA,NA
1884-02-14,NA,"1884","2","1884-2",NA,NA
1884-02-15,NA,"1884","2","1884-2",NA,NA
1884-02-16,NA,"1884","2","1884-2",NA,NA
1884-02-17,NA,"1884","2","1884-2",NA,NA
1884-02-18,NA,"1884","2","1884-2",NA,NA
1884-02-19,NA,"1884","2","1884-2",NA,NA
1884-02-20,NA,"1884","2","1884-2",NA,NA
1884-02-21,NA,"1884","2","1884-2",NA,NA
1884-02-22,NA,"1884","2","1884-2",NA,NA
1884-02-23,NA,"1884","2","1884-2",NA,NA
1884-02-24,NA,"1884","2","1884-2",NA,NA
1884-02-25,NA,"1884","2","1884-2",NA,NA
1884-02-26,NA,"1884","2","1884-2",NA,NA
1884-02-27,NA,"1884","2","1884-2",NA,NA
1884-02-28,NA,"1884","2","1884-2",NA,NA
1884-02-29,NA,"1884","2","1884-2",NA,NA
1884-03-01,NA,"1884","3","1884-3",NA,NA
1884-03-02,NA,"1884","3","1884-3",NA,NA
1884-03-03,NA,"1884","3","1884-3",NA,NA
1884-03-04,NA,"1884","3","1884-3",NA,NA
1884-03-05,NA,"1884","3","1884-3",NA,NA
1884-03-06,NA,"1884","3","1884-3",NA,NA
1884-03-07,NA,"1884","3","1884-3",NA,NA
1884-03-08,NA,"1884","3","1884-3",NA,NA
1884-03-09,NA,"1884","3","1884-3",NA,NA
1884-03-10,NA,"1884","3","1884-3",NA,NA
1884-03-11,NA,"1884","3","1884-3",NA,NA
1884-03-12,NA,"1884","3","1884-3",NA,NA
1884-03-13,NA,"1884","3","1884-3",NA,NA
1884-03-14,NA,"1884","3","1884-3",NA,NA
1884-03-15,NA,"1884","3","1884-3",NA,NA
1884-03-16,NA,"1884","3","1884-3",NA,NA
1884-03-17,NA,"1884","3","1884-3",NA,NA
1884-03-18,NA,"1884","3","1884-3",NA,NA
1884-03-19,NA,"1884","3","1884-3",NA,NA
1884-03-20,NA,"1884","3","1884-3",NA,NA
1884-03-21,NA,"1884","3","1884-3",NA,NA
1884-03-22,NA,"1884","3","1884-3",NA,NA
1884-03-23,NA,"1884","3","1884-3",NA,NA
1884-03-24,NA,"1884","3","1884-3",NA,NA
1884-03-25,NA,"1884","3","1884-3",NA,NA
1884-03-26,NA,"1884","3","1884-3",NA,NA
1884-03-27,NA,"1884","3","1884-3",NA,NA
1884-03-28,NA,"1884","3","1884-3",NA,NA
1884-03-29,NA,"1884","3","1884-3",NA,NA
1884-03-30,NA,"1884","3","1884-3",NA,NA
1884-03-31,NA,"1884","3","1884-3",NA,NA
1884-04-01,NA,"1884","4","1884-4",NA,NA
1884-04-02,NA,"1884","4","1884-4",NA,NA
1884-04-03,NA,"1884","4","1884-4",NA,NA
1884-04-04,NA,"1884","4","1884-4",NA,NA
1884-04-05,NA,"1884","4","1884-4",NA,NA
1884-04-06,NA,"1884","4","1884-4",NA,NA
1884-04-07,NA,"1884","4","1884-4",NA,NA
1884-04-08,NA,"1884","4","1884-4",NA,NA
1884-04-09,NA,"1884","4","1884-4",NA,NA
1884-04-10,NA,"1884","4","1884-4",NA,NA
1884-04-11,NA,"1884","4","1884-4",NA,NA
1884-04-12,NA,"1884","4","1884-4",NA,NA
1884-04-13,NA,"1884","4","1884-4",NA,NA
1884-04-14,NA,"1884","4","1884-4",NA,NA
1884-04-15,NA,"1884","4","1884-4",NA,NA
1884-04-16,NA,"1884","4","1884-4",NA,NA
1884-04-17,NA,"1884","4","1884-4",NA,NA
1884-04-18,NA,"1884","4","1884-4",NA,NA
1884-04-19,NA,"1884","4","1884-4",NA,NA
1884-04-20,NA,"1884","4","1884-4",NA,NA
1884-04-21,NA,"1884","4","1884-4",NA,NA
1884-04-22,NA,"1884","4","1884-4",NA,NA
1884-04-23,NA,"1884","4","1884-4",NA,NA
1884-04-24,NA,"1884","4","1884-4",NA,NA
1884-04-25,NA,"1884","4","1884-4",NA,NA
1884-04-26,NA,"1884","4","1884-4",NA,NA
1884-04-27,NA,"1884","4","1884-4",NA,NA
1884-04-28,NA,"1884","4","1884-4",NA,NA
1884-04-29,NA,"1884","4","1884-4",NA,NA
1884-04-30,NA,"1884","4","1884-4",NA,NA
1884-05-01,NA,"1884","5","1884-5",NA,NA
1884-05-02,NA,"1884","5","1884-5",NA,NA
1884-05-03,NA,"1884","5","1884-5",NA,NA
1884-05-04,NA,"1884","5","1884-5",NA,NA
1884-05-05,NA,"1884","5","1884-5",NA,NA
1884-05-06,NA,"1884","5","1884-5",NA,NA
1884-05-07,NA,"1884","5","1884-5",NA,NA
1884-05-08,NA,"1884","5","1884-5",NA,NA
1884-05-09,NA,"1884","5","1884-5",NA,NA
1884-05-10,NA,"1884","5","1884-5",NA,NA
1884-05-11,NA,"1884","5","1884-5",NA,NA
1884-05-12,NA,"1884","5","1884-5",NA,NA
1884-05-13,NA,"1884","5","1884-5",NA,NA
1884-05-14,NA,"1884","5","1884-5",NA,NA
1884-05-15,NA,"1884","5","1884-5",NA,NA
1884-05-16,NA,"1884","5","1884-5",NA,NA
1884-05-17,NA,"1884","5","1884-5",NA,NA
1884-05-18,NA,"1884","5","1884-5",NA,NA
1884-05-19,NA,"1884","5","1884-5",NA,NA
1884-05-20,NA,"1884","5","1884-5",NA,NA
1884-05-21,NA,"1884","5","1884-5",NA,NA
1884-05-22,NA,"1884","5","1884-5",NA,NA
1884-05-23,NA,"1884","5","1884-5",NA,NA
1884-05-24,NA,"1884","5","1884-5",NA,NA
1884-05-25,NA,"1884","5","1884-5",NA,NA
1884-05-26,NA,"1884","5","1884-5",NA,NA
1884-05-27,NA,"1884","5","1884-5",NA,NA
1884-05-28,NA,"1884","5","1884-5",NA,NA
1884-05-29,NA,"1884","5","1884-5",NA,NA
1884-05-30,NA,"1884","5","1884-5",NA,NA
1884-05-31,NA,"1884","5","1884-5",NA,NA
1884-06-01,NA,"1884","6","1884-6",NA,NA
1884-06-02,NA,"1884","6","1884-6",NA,NA
1884-06-03,NA,"1884","6","1884-6",NA,NA
1884-06-04,NA,"1884","6","1884-6",NA,NA
1884-06-05,NA,"1884","6","1884-6",NA,NA
1884-06-06,NA,"1884","6","1884-6",NA,NA
1884-06-07,NA,"1884","6","1884-6",NA,NA
1884-06-08,NA,"1884","6","1884-6",NA,NA
1884-06-09,NA,"1884","6","1884-6",NA,NA
1884-06-10,NA,"1884","6","1884-6",NA,NA
1884-06-11,NA,"1884","6","1884-6",NA,NA
1884-06-12,NA,"1884","6","1884-6",NA,NA
1884-06-13,NA,"1884","6","1884-6",NA,NA
1884-06-14,NA,"1884","6","1884-6",NA,NA
1884-06-15,NA,"1884","6","1884-6",NA,NA
1884-06-16,NA,"1884","6","1884-6",NA,NA
1884-06-17,NA,"1884","6","1884-6",NA,NA
1884-06-18,NA,"1884","6","1884-6",NA,NA
1884-06-19,NA,"1884","6","1884-6",NA,NA
1884-06-20,NA,"1884","6","1884-6",NA,NA
1884-06-21,NA,"1884","6","1884-6",NA,NA
1884-06-22,NA,"1884","6","1884-6",NA,NA
1884-06-23,NA,"1884","6","1884-6",NA,NA
1884-06-24,NA,"1884","6","1884-6",NA,NA
1884-06-25,NA,"1884","6","1884-6",NA,NA
1884-06-26,NA,"1884","6","1884-6",NA,NA
1884-06-27,NA,"1884","6","1884-6",NA,NA
1884-06-28,NA,"1884","6","1884-6",NA,NA
1884-06-29,NA,"1884","6","1884-6",NA,NA
1884-06-30,NA,"1884","6","1884-6",NA,NA
1884-07-01,NA,"1884","7","1884-7",NA,NA
1884-07-02,NA,"1884","7","1884-7",NA,NA
1884-07-03,NA,"1884","7","1884-7",NA,NA
1884-07-04,NA,"1884","7","1884-7",NA,NA
1884-07-05,NA,"1884","7","1884-7",NA,NA
1884-07-06,NA,"1884","7","1884-7",NA,NA
1884-07-07,NA,"1884","7","1884-7",NA,NA
1884-07-08,NA,"1884","7","1884-7",NA,NA
1884-07-09,NA,"1884","7","1884-7",NA,NA
1884-07-10,NA,"1884","7","1884-7",NA,NA
1884-07-11,NA,"1884","7","1884-7",NA,NA
1884-07-12,NA,"1884","7","1884-7",NA,NA
1884-07-13,NA,"1884","7","1884-7",NA,NA
1884-07-14,NA,"1884","7","1884-7",NA,NA
1884-07-15,NA,"1884","7","1884-7",NA,NA
1884-07-16,NA,"1884","7","1884-7",NA,NA
1884-07-17,NA,"1884","7","1884-7",NA,NA
1884-07-18,NA,"1884","7","1884-7",NA,NA
1884-07-19,NA,"1884","7","1884-7",NA,NA
1884-07-20,NA,"1884","7","1884-7",NA,NA
1884-07-21,NA,"1884","7","1884-7",NA,NA
1884-07-22,NA,"1884","7","1884-7",NA,NA
1884-07-23,NA,"1884","7","1884-7",NA,NA
1884-07-24,NA,"1884","7","1884-7",NA,NA
1884-07-25,NA,"1884","7","1884-7",NA,NA
1884-07-26,NA,"1884","7","1884-7",NA,NA
1884-07-27,NA,"1884","7","1884-7",NA,NA
1884-07-28,NA,"1884","7","1884-7",NA,NA
1884-07-29,NA,"1884","7","1884-7",NA,NA
1884-07-30,NA,"1884","7","1884-7",NA,NA
1884-07-31,NA,"1884","7","1884-7",NA,NA
1884-08-01,NA,"1884","8","1884-8",NA,NA
1884-08-02,NA,"1884","8","1884-8",NA,NA
1884-08-03,NA,"1884","8","1884-8",NA,NA
1884-08-04,NA,"1884","8","1884-8",NA,NA
1884-08-05,NA,"1884","8","1884-8",NA,NA
1884-08-06,NA,"1884","8","1884-8",NA,NA
1884-08-07,NA,"1884","8","1884-8",NA,NA
1884-08-08,NA,"1884","8","1884-8",NA,NA
1884-08-09,NA,"1884","8","1884-8",NA,NA
1884-08-10,NA,"1884","8","1884-8",NA,NA
1884-08-11,NA,"1884","8","1884-8",NA,NA
1884-08-12,NA,"1884","8","1884-8",NA,NA
1884-08-13,NA,"1884","8","1884-8",NA,NA
1884-08-14,NA,"1884","8","1884-8",NA,NA
1884-08-15,NA,"1884","8","1884-8",NA,NA
1884-08-16,NA,"1884","8","1884-8",NA,NA
1884-08-17,NA,"1884","8","1884-8",NA,NA
1884-08-18,NA,"1884","8","1884-8",NA,NA
1884-08-19,NA,"1884","8","1884-8",NA,NA
1884-08-20,NA,"1884","8","1884-8",NA,NA
1884-08-21,NA,"1884","8","1884-8",NA,NA
1884-08-22,NA,"1884","8","1884-8",NA,NA
1884-08-23,NA,"1884","8","1884-8",NA,NA
1884-08-24,NA,"1884","8","1884-8",NA,NA
1884-08-25,NA,"1884","8","1884-8",NA,NA
1884-08-26,NA,"1884","8","1884-8",NA,NA
1884-08-27,NA,"1884","8","1884-8",NA,NA
1884-08-28,NA,"1884","8","1884-8",NA,NA
1884-08-29,NA,"1884","8","1884-8",NA,NA
1884-08-30,NA,"1884","8","1884-8",NA,NA
1884-08-31,NA,"1884","8","1884-8",NA,NA
1884-09-01,NA,"1884","9","1884-9",NA,NA
1884-09-02,NA,"1884","9","1884-9",NA,NA
1884-09-03,NA,"1884","9","1884-9",NA,NA
1884-09-04,NA,"1884","9","1884-9",NA,NA
1884-09-05,NA,"1884","9","1884-9",NA,NA
1884-09-06,NA,"1884","9","1884-9",NA,NA
1884-09-07,NA,"1884","9","1884-9",NA,NA
1884-09-08,NA,"1884","9","1884-9",NA,NA
1884-09-09,NA,"1884","9","1884-9",NA,NA
