"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1869-01-01,NA,"1869","1","1869-1",NA,NA
1869-01-02,NA,"1869","1","1869-1",NA,NA
1869-01-03,NA,"1869","1","1869-1",NA,NA
1869-01-04,NA,"1869","1","1869-1",NA,NA
1869-01-05,NA,"1869","1","1869-1",NA,NA
1869-01-06,NA,"1869","1","1869-1",NA,NA
1869-01-07,NA,"1869","1","1869-1",NA,NA
1869-01-08,NA,"1869","1","1869-1",NA,NA
1869-01-09,NA,"1869","1","1869-1",NA,NA
1869-01-10,NA,"1869","1","1869-1",NA,NA
1869-01-11,NA,"1869","1","1869-1",NA,NA
1869-01-12,NA,"1869","1","1869-1",NA,NA
1869-01-13,NA,"1869","1","1869-1",NA,NA
1869-01-14,NA,"1869","1","1869-1",NA,NA
1869-01-15,NA,"1869","1","1869-1",NA,NA
1869-01-16,NA,"1869","1","1869-1",NA,NA
1869-01-17,NA,"1869","1","1869-1",NA,NA
1869-01-18,NA,"1869","1","1869-1",NA,NA
1869-01-19,NA,"1869","1","1869-1",NA,NA
1869-01-20,NA,"1869","1","1869-1",NA,NA
1869-01-21,NA,"1869","1","1869-1",NA,NA
1869-01-22,NA,"1869","1","1869-1",NA,NA
1869-01-23,NA,"1869","1","1869-1",NA,NA
1869-01-24,NA,"1869","1","1869-1",NA,NA
1869-01-25,NA,"1869","1","1869-1",NA,NA
1869-01-26,NA,"1869","1","1869-1",NA,NA
1869-01-27,NA,"1869","1","1869-1",NA,NA
1869-01-28,NA,"1869","1","1869-1",NA,NA
1869-01-29,NA,"1869","1","1869-1",NA,NA
1869-01-30,NA,"1869","1","1869-1",NA,NA
1869-01-31,NA,"1869","1","1869-1",NA,NA
1869-02-01,NA,"1869","2","1869-2",NA,NA
1869-02-02,NA,"1869","2","1869-2",NA,NA
1869-02-03,NA,"1869","2","1869-2",NA,NA
1869-02-04,NA,"1869","2","1869-2",NA,NA
1869-02-05,NA,"1869","2","1869-2",NA,NA
1869-02-06,NA,"1869","2","1869-2",NA,NA
1869-02-07,NA,"1869","2","1869-2",NA,NA
1869-02-08,NA,"1869","2","1869-2",NA,NA
1869-02-09,NA,"1869","2","1869-2",NA,NA
1869-02-10,NA,"1869","2","1869-2",NA,NA
1869-02-11,NA,"1869","2","1869-2",NA,NA
1869-02-12,NA,"1869","2","1869-2",NA,NA
1869-02-13,NA,"1869","2","1869-2",NA,NA
1869-02-14,NA,"1869","2","1869-2",NA,NA
1869-02-15,NA,"1869","2","1869-2",NA,NA
1869-02-16,NA,"1869","2","1869-2",NA,NA
1869-02-17,NA,"1869","2","1869-2",NA,NA
1869-02-18,NA,"1869","2","1869-2",NA,NA
1869-02-19,NA,"1869","2","1869-2",NA,NA
1869-02-20,NA,"1869","2","1869-2",NA,NA
1869-02-21,NA,"1869","2","1869-2",NA,NA
1869-02-22,NA,"1869","2","1869-2",NA,NA
1869-02-23,NA,"1869","2","1869-2",NA,NA
1869-02-24,NA,"1869","2","1869-2",NA,NA
1869-02-25,NA,"1869","2","1869-2",NA,NA
1869-02-26,NA,"1869","2","1869-2",NA,NA
1869-02-27,NA,"1869","2","1869-2",NA,NA
1869-02-28,NA,"1869","2","1869-2",NA,NA
1869-03-01,NA,"1869","3","1869-3",NA,NA
1869-03-02,NA,"1869","3","1869-3",NA,NA
1869-03-03,NA,"1869","3","1869-3",NA,NA
1869-03-04,NA,"1869","3","1869-3",NA,NA
1869-03-05,NA,"1869","3","1869-3",NA,NA
1869-03-06,NA,"1869","3","1869-3",NA,NA
1869-03-07,NA,"1869","3","1869-3",NA,NA
1869-03-08,NA,"1869","3","1869-3",NA,NA
1869-03-09,NA,"1869","3","1869-3",NA,NA
1869-03-10,NA,"1869","3","1869-3",NA,NA
1869-03-11,NA,"1869","3","1869-3",NA,NA
1869-03-12,NA,"1869","3","1869-3",NA,NA
1869-03-13,NA,"1869","3","1869-3",NA,NA
1869-03-14,NA,"1869","3","1869-3",NA,NA
1869-03-15,NA,"1869","3","1869-3",NA,NA
1869-03-16,NA,"1869","3","1869-3",NA,NA
1869-03-17,NA,"1869","3","1869-3",NA,NA
1869-03-18,NA,"1869","3","1869-3",NA,NA
1869-03-19,NA,"1869","3","1869-3",NA,NA
1869-03-20,NA,"1869","3","1869-3",NA,NA
1869-03-21,NA,"1869","3","1869-3",NA,NA
