"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1934-04-01,NA,"1934","4","1934-4",NA,NA
1934-04-02,NA,"1934","4","1934-4",NA,NA
1934-04-03,NA,"1934","4","1934-4",NA,NA
1934-04-04,NA,"1934","4","1934-4",NA,NA
1934-04-05,NA,"1934","4","1934-4",NA,NA
1934-04-06,NA,"1934","4","1934-4",NA,NA
1934-04-07,NA,"1934","4","1934-4",NA,NA
1934-04-08,NA,"1934","4","1934-4",NA,NA
1934-04-09,NA,"1934","4","1934-4",NA,NA
1934-04-10,NA,"1934","4","1934-4",NA,NA
1934-04-11,NA,"1934","4","1934-4",NA,NA
1934-04-12,NA,"1934","4","1934-4",NA,NA
1934-04-13,NA,"1934","4","1934-4",NA,NA
1934-04-14,NA,"1934","4","1934-4",NA,NA
1934-04-15,NA,"1934","4","1934-4",NA,NA
1934-04-16,NA,"1934","4","1934-4",NA,NA
1934-04-17,NA,"1934","4","1934-4",NA,NA
1934-04-18,NA,"1934","4","1934-4",NA,NA
1934-04-19,NA,"1934","4","1934-4",NA,NA
1934-04-20,NA,"1934","4","1934-4",NA,NA
1934-04-21,NA,"1934","4","1934-4",NA,NA
1934-04-22,NA,"1934","4","1934-4",NA,NA
1934-04-23,NA,"1934","4","1934-4",NA,NA
1934-04-24,NA,"1934","4","1934-4",NA,NA
1934-04-25,NA,"1934","4","1934-4",NA,NA
1934-04-26,NA,"1934","4","1934-4",NA,NA
1934-04-27,NA,"1934","4","1934-4",NA,NA
1934-04-28,NA,"1934","4","1934-4",NA,NA
1934-04-29,NA,"1934","4","1934-4",NA,NA
1934-04-30,NA,"1934","4","1934-4",NA,NA
1934-05-01,NA,"1934","5","1934-5",NA,NA
1934-05-02,NA,"1934","5","1934-5",NA,NA
1934-05-03,NA,"1934","5","1934-5",NA,NA
1934-05-04,NA,"1934","5","1934-5",NA,NA
1934-05-05,NA,"1934","5","1934-5",NA,NA
1934-05-06,NA,"1934","5","1934-5",NA,NA
1934-05-07,NA,"1934","5","1934-5",NA,NA
1934-05-08,NA,"1934","5","1934-5",NA,NA
1934-05-09,NA,"1934","5","1934-5",NA,NA
1934-05-10,NA,"1934","5","1934-5",NA,NA
1934-05-11,NA,"1934","5","1934-5",NA,NA
1934-05-12,NA,"1934","5","1934-5",NA,NA
1934-05-13,NA,"1934","5","1934-5",NA,NA
1934-05-14,NA,"1934","5","1934-5",NA,NA
1934-05-15,NA,"1934","5","1934-5",NA,NA
1934-05-16,NA,"1934","5","1934-5",NA,NA
