"date","storage","all_years","months","year_mon","ResOpsUS","fraction"
1932-01-01,335.502,"1932","1","1932-1",1689.7,0.198557140320767
1932-01-02,337.18,"1932","1","1932-1",1689.7,0.199550216014677
1932-01-03,338.86,"1932","1","1932-1",1689.7,0.200544475350654
1932-01-04,340.543,"1932","1","1932-1",1689.7,0.201540510149731
1932-01-05,342.231,"1932","1","1932-1",1689.7,0.202539504053974
1932-01-06,344.051,"1932","1","1932-1",1689.7,0.203616618334616
1932-01-07,345.918,"1932","1","1932-1",1689.7,0.204721548203823
1932-01-08,347.786,"1932","1","1932-1",1689.7,0.205827069894064
1932-01-09,349.657,"1932","1","1932-1",1689.7,0.206934367047405
1932-01-10,351.534,"1932","1","1932-1",1689.7,0.208045215126946
1932-01-11,353.068,"1932","1","1932-1",1689.7,0.208953068592058
1932-01-12,354.455,"1932","1","1932-1",1689.7,0.209773924365272
1932-01-13,355.843,"1932","1","1932-1",1689.7,0.210595371959519
1932-01-14,357.231,"1932","1","1932-1",1689.7,0.211416819553767
1932-01-15,358.621,"1932","1","1932-1",1689.7,0.212239450790081
1932-01-16,360.082,"1932","1","1932-1",1689.7,0.213104101319761
1932-01-17,361.563,"1932","1","1932-1",1689.7,0.213980588270107
1932-01-18,363.043,"1932","1","1932-1",1689.7,0.21485648339942
1932-01-19,364.523,"1932","1","1932-1",1689.7,0.215732378528733
1932-01-20,366.003,"1932","1","1932-1",1689.7,0.216608273658046
1932-01-21,367.468,"1932","1","1932-1",1689.7,0.217475291471859
1932-01-22,368.94,"1932","1","1932-1",1689.7,0.218346452032905
1932-01-23,370.413,"1932","1","1932-1",1689.7,0.219218204414985
1932-01-24,371.884,"1932","1","1932-1",1689.7,0.220088773154998
1932-01-25,373.356,"1932","1","1932-1",1689.7,0.220959933716044
1932-01-26,374.851,"1932","1","1932-1",1689.7,0.221844706160857
1932-01-27,376.35,"1932","1","1932-1",1689.7,0.222731845889803
1932-01-28,377.854,"1932","1","1932-1",1689.7,0.223621944723915
1932-01-29,379.36,"1932","1","1932-1",1689.7,0.224513227200095
1932-01-30,380.867,"1932","1","1932-1",1689.7,0.225405101497307
1932-01-31,382.373,"1932","1","1932-1",1689.7,0.226296383973486
1932-02-01,384.825,"1932","2","1932-2",1689.7,0.227747529147186
1932-02-02,387.357,"1932","2","1932-2",1689.7,0.229246020003551
1932-02-03,389.893,"1932","2","1932-2",1689.7,0.230746878144049
1932-02-04,392.429,"1932","2","1932-2",1689.7,0.232247736284548
1932-02-05,394.962,"1932","2","1932-2",1689.7,0.233746818961946
1932-02-06,397.452,"1932","2","1932-2",1689.7,0.235220453334912
1932-02-07,399.941,"1932","2","1932-2",1689.7,0.236693495886844
1932-02-08,402.431,"1932","2","1932-2",1689.7,0.238167130259809
1932-02-09,404.926,"1932","2","1932-2",1689.7,0.239643723737942
1932-02-10,407.491,"1932","2","1932-2",1689.7,0.241161744688406
1932-02-11,410.982,"1932","2","1932-2",1689.7,0.243227791915725
1932-02-12,414.476,"1932","2","1932-2",1689.7,0.245295614606143
1932-02-13,417.982,"1932","2","1932-2",1689.7,0.247370539148961
1932-02-14,421.489,"1932","2","1932-2",1689.7,0.249446055512813
1932-02-15,424.845,"1932","2","1932-2",1689.7,0.251432206900633
1932-02-16,427.211,"1932","2","1932-2",1689.7,0.252832455465467
1932-02-17,429.577,"1932","2","1932-2",1689.7,0.254232704030301
1932-02-18,431.942,"1932","2","1932-2",1689.7,0.255632360774102
1932-02-19,434.317,"1932","2","1932-2",1689.7,0.257037935728236
1932-02-20,436.694,"1932","2","1932-2",1689.7,0.258444694324436
1932-02-21,439.034,"1932","2","1932-2",1689.7,0.259829555542404
1932-02-22,441.371,"1932","2","1932-2",1689.7,0.261212641297272
1932-02-23,443.719,"1932","2","1932-2",1689.7,0.262602237083506
1932-02-24,446.067,"1932","2","1932-2",1689.7,0.26399183286974
1932-02-25,448.289,"1932","2","1932-2",1689.7,0.265306859205776
1932-02-26,449.907,"1932","2","1932-2",1689.7,0.266264425637687
1932-02-27,451.525,"1932","2","1932-2",1689.7,0.267221992069598
1932-02-28,453.151,"1932","2","1932-2",1689.7,0.268184293069776
1932-02-29,454.842,"1932","2","1932-2",1689.7,0.269185062437119
1932-03-01,457.045,"1932","3","1932-3",1689.7,0.270488844173522
1932-03-02,459.249,"1932","3","1932-3",1689.7,0.271793217730958
1932-03-03,461.456,"1932","3","1932-3",1689.7,0.273099366751494
1932-03-04,463.67,"1932","3","1932-3",1689.7,0.274409658519264
1932-03-05,465.84,"1932","3","1932-3",1689.7,0.275693910161567
1932-03-06,467.88,"1932","3","1932-3",1689.7,0.276901225069539
1932-03-07,469.92,"1932","3","1932-3",1689.7,0.278108539977511
1932-03-08,471.968,"1932","3","1932-3",1689.7,0.279320589453749
1932-03-09,474.016,"1932","3","1932-3",1689.7,0.280532638929988
1932-03-10,476.084,"1932","3","1932-3",1689.7,0.281756524826892
1932-03-11,478.213,"1932","3","1932-3",1689.7,0.28301651180683
1932-03-12,480.342,"1932","3","1932-3",1689.7,0.284276498786767
1932-03-13,482.481,"1932","3","1932-3",1689.7,0.285542403977037
1932-03-14,484.618,"1932","3","1932-3",1689.7,0.286807125525241
1932-03-15,486.563,"1932","3","1932-3",1689.7,0.287958217435048
1932-03-16,487.892,"1932","3","1932-3",1689.7,0.288744747588329
1932-03-17,489.22,"1932","3","1932-3",1689.7,0.289530685920578
1932-03-18,490.551,"1932","3","1932-3",1689.7,0.290318399715926
1932-03-19,491.886,"1932","3","1932-3",1689.7,0.291108480795407
1932-03-20,493.362,"1932","3","1932-3",1689.7,0.291982008640587
1932-03-21,495.029,"1932","3","1932-3",1689.7,0.292968574303131
1932-03-22,496.695,"1932","3","1932-3",1689.7,0.293954548144641
1932-03-23,498.363,"1932","3","1932-3",1689.7,0.294941705628218
1932-03-24,500.032,"1932","3","1932-3",1689.7,0.295929454932828
1932-03-25,501.781,"1932","3","1932-3",1689.7,0.296964549920104
1932-03-26,503.572,"1932","3","1932-3",1689.7,0.298024501390779
1932-03-27,505.363,"1932","3","1932-3",1689.7,0.299084452861455
1932-03-28,507.155,"1932","3","1932-3",1689.7,0.300144996153163
1932-03-29,508.946,"1932","3","1932-3",1689.7,0.301204947623839
1932-03-30,510.743,"1932","3","1932-3",1689.7,0.302268450020714
1932-03-31,512.542,"1932","3","1932-3",1689.7,0.303333136059656
1932-04-01,514.332,"1932","4","1932-4",1689.7,0.304392495709297
1932-04-02,516.123,"1932","4","1932-4",1689.7,0.305452447179973
1932-04-03,517.914,"1932","4","1932-4",1689.7,0.306512398650648
1932-04-04,519.706,"1932","4","1932-4",1689.7,0.307572941942357
1932-04-05,521.483,"1932","4","1932-4",1689.7,0.308624607918565
1932-04-06,523.16,"1932","4","1932-4",1689.7,0.309617091791442
1932-04-07,524.836,"1932","4","1932-4",1689.7,0.310608983843286
1932-04-08,526.512,"1932","4","1932-4",1689.7,0.311600875895129
1932-04-09,528.188,"1932","4","1932-4",1689.7,0.312592767946973
1932-04-10,529.753,"1932","4","1932-4",1689.7,0.313518967864118
1932-04-11,530.934,"1932","4","1932-4",1689.7,0.314217908504468
1932-04-12,532.116,"1932","4","1932-4",1689.7,0.314917440965852
1932-04-13,533.299,"1932","4","1932-4",1689.7,0.315617565248269
1932-04-14,534.48,"1932","4","1932-4",1689.7,0.316316505888619
1932-04-15,535.298,"1932","4","1932-4",1689.7,0.316800615493875
1932-04-16,535.811,"1932","4","1932-4",1689.7,0.317104219683968
1932-04-17,536.325,"1932","4","1932-4",1689.7,0.317408415695094
1932-04-18,536.839,"1932","4","1932-4",1689.7,0.31771261170622
1932-04-19,537.352,"1932","4","1932-4",1689.7,0.318016215896313
1932-04-20,537.968,"1932","4","1932-4",1689.7,0.318380777652838
1932-04-21,539.147,"1932","4","1932-4",1689.7,0.319078534651122
1932-04-22,540.328,"1932","4","1932-4",1689.7,0.319777475291472
1932-04-23,541.511,"1932","4","1932-4",1689.7,0.320477599573889
1932-04-24,542.694,"1932","4","1932-4",1689.7,0.321177723856306
1932-04-25,543.797,"1932","4","1932-4",1689.7,0.321830502456057
1932-04-26,544.763,"1932","4","1932-4",1689.7,0.322402201574244
1932-04-27,545.73,"1932","4","1932-4",1689.7,0.322974492513464
1932-04-28,546.696,"1932","4","1932-4",1689.7,0.323546191631651
1932-04-29,547.661,"1932","4","1932-4",1689.7,0.324117298928804
1932-04-30,548.48,"1932","4","1932-4",1689.7,0.324602000355093
1932-05-01,548.795,"1932","5","1932-5",1689.7,0.324788423980588
1932-05-02,549.11,"1932","5","1932-5",1689.7,0.324974847606084
1932-05-03,549.425,"1932","5","1932-5",1689.7,0.32516127123158
1932-05-04,549.741,"1932","5","1932-5",1689.7,0.325348286678109
1932-05-05,550.001,"1932","5","1932-5",1689.7,0.325502160146772
1932-05-06,550.201,"1932","5","1932-5",1689.7,0.325620524353436
1932-05-07,550.402,"1932","5","1932-5",1689.7,0.325739480381133
1932-05-08,550.603,"1932","5","1932-5",1689.7,0.32585843640883
1932-05-09,550.804,"1932","5","1932-5",1689.7,0.325977392436527
1932-05-10,550.889,"1932","5","1932-5",1689.7,0.326027697224359
1932-05-11,550.871,"1932","5","1932-5",1689.7,0.32601704444576
1932-05-12,550.851,"1932","5","1932-5",1689.7,0.326005208025093
1932-05-13,550.831,"1932","5","1932-5",1689.7,0.325993371604427
1932-05-14,550.813,"1932","5","1932-5",1689.7,0.325982718825827
1932-05-15,550.724,"1932","5","1932-5",1689.7,0.325930046753862
1932-05-16,550.521,"1932","5","1932-5",1689.7,0.325809907084098
1932-05-17,550.318,"1932","5","1932-5",1689.7,0.325689767414334
1932-05-18,550.116,"1932","5","1932-5",1689.7,0.325570219565603
1932-05-19,549.913,"1932","5","1932-5",1689.7,0.32545007989584
1932-05-20,549.688,"1932","5","1932-5",1689.7,0.325316920163343
1932-05-21,549.438,"1932","5","1932-5",1689.7,0.325168964905013
1932-05-22,549.186,"1932","5","1932-5",1689.7,0.325019826004616
1932-05-23,548.936,"1932","5","1932-5",1689.7,0.324871870746286
1932-05-24,548.685,"1932","5","1932-5",1689.7,0.324723323666923
1932-05-25,548.341,"1932","5","1932-5",1689.7,0.324519737231461
1932-05-26,547.766,"1932","5","1932-5",1689.7,0.324179440137302
1932-05-27,547.19,"1932","5","1932-5",1689.7,0.32383855122211
1932-05-28,546.615,"1932","5","1932-5",1689.7,0.323498254127952
1932-05-29,546.041,"1932","5","1932-5",1689.7,0.323158548854826
1932-05-30,545.465,"1932","5","1932-5",1689.7,0.322817659939634
1932-05-31,544.442,"1932","5","1932-5",1689.7,0.322212227022548
1932-06-01,543.11,"1932","6","1932-6",1689.7,0.321423921406167
1932-06-02,541.779,"1932","6","1932-6",1689.7,0.320636207610818
1932-06-03,540.447,"1932","6","1932-6",1689.7,0.319847901994437
1932-06-04,539.116,"1932","6","1932-6",1689.7,0.319060188199089
1932-06-05,538.043,"1932","6","1932-6",1689.7,0.318425164230337
1932-06-06,537.204,"1932","6","1932-6",1689.7,0.317928626383382
1932-06-07,536.365,"1932","6","1932-6",1689.7,0.317432088536427
1932-06-08,535.526,"1932","6","1932-6",1689.7,0.316935550689471
1932-06-09,534.688,"1932","6","1932-6",1689.7,0.31643960466355
1932-06-10,533.756,"1932","6","1932-6",1689.7,0.315888027460496
1932-06-11,532.71,"1932","6","1932-6",1689.7,0.315268982659644
1932-06-12,531.666,"1932","6","1932-6",1689.7,0.314651121500858
1932-06-13,530.621,"1932","6","1932-6",1689.7,0.314032668521039
1932-06-14,529.575,"1932","6","1932-6",1689.7,0.313413623720187
1932-06-15,528.008,"1932","6","1932-6",1689.7,0.312486240160975
1932-06-16,525.978,"1932","6","1932-6",1689.7,0.311284843463337
1932-06-17,523.948,"1932","6","1932-6",1689.7,0.310083446765698
1932-06-18,521.919,"1932","6","1932-6",1689.7,0.308882641889093
1932-06-19,519.888,"1932","6","1932-6",1689.7,0.307680653370421
1932-06-20,518.117,"1932","6","1932-6",1689.7,0.306632538320412
1932-06-21,516.498,"1932","6","1932-6",1689.7,0.305674380067468
1932-06-22,514.879,"1932","6","1932-6",1689.7,0.304716221814523
1932-06-23,513.26,"1932","6","1932-6",1689.7,0.303758063561579
1932-06-24,511.641,"1932","6","1932-6",1689.7,0.302799905308635
1932-06-25,509.315,"1932","6","1932-6",1689.7,0.301423329585133
1932-06-26,506.802,"1932","6","1932-6",1689.7,0.299936083328401
1932-06-27,504.289,"1932","6","1932-6",1689.7,0.29844883707167
1932-06-28,501.776,"1932","6","1932-6",1689.7,0.296961590814938
1932-06-29,499.263,"1932","6","1932-6",1689.7,0.295474344558206
1932-06-30,496.7,"1932","6","1932-6",1689.7,0.293957507249808
1932-07-01,494.114,"1932","7","1932-7",1689.7,0.292427058057643
1932-07-02,491.528,"1932","7","1932-7",1689.7,0.290896608865479
1932-07-03,488.945,"1932","7","1932-7",1689.7,0.289367935136415
1932-07-04,486.37,"1932","7","1932-7",1689.7,0.287843995975617
1932-07-05,482.964,"1932","7","1932-7",1689.7,0.285828253536131
1932-07-06,479.445,"1932","7","1932-7",1689.7,0.283745635319879
1932-07-07,475.938,"1932","7","1932-7",1689.7,0.281670118956028
1932-07-08,472.431,"1932","7","1932-7",1689.7,0.279594602592176
1932-07-09,468.931,"1932","7","1932-7",1689.7,0.277523228975558
1932-07-10,465.181,"1932","7","1932-7",1689.7,0.27530390010061
1932-07-11,461.384,"1932","7","1932-7",1689.7,0.273056755637095
1932-07-12,457.603,"1932","7","1932-7",1689.7,0.270819080310114
1932-07-13,453.823,"1932","7","1932-7",1689.7,0.268581996804166
1932-07-14,450.049,"1932","7","1932-7",1689.7,0.266348464224418
1932-07-15,445.78,"1932","7","1932-7",1689.7,0.263821980233177
1932-07-16,441.449,"1932","7","1932-7",1689.7,0.261258803337871
1932-07-17,437.135,"1932","7","1932-7",1689.7,0.25870568740013
1932-07-18,432.822,"1932","7","1932-7",1689.7,0.256153163283423
1932-07-19,428.569,"1932","7","1932-7",1689.7,0.253636148428715
1932-07-20,425.037,"1932","7","1932-7",1689.7,0.251545836539031
1932-07-21,421.513,"1932","7","1932-7",1689.7,0.249460259217613
1932-07-22,417.999,"1932","7","1932-7",1689.7,0.247380600106528
1932-07-23,414.484,"1932","7","1932-7",1689.7,0.24530034917441
1932-07-24,410.981,"1932","7","1932-7",1689.7,0.243227200094691
1932-07-25,407.032,"1932","7","1932-7",1689.7,0.240890098834113
1932-07-26,403.022,"1932","7","1932-7",1689.7,0.238516896490501
1932-07-27,399.026,"1932","7","1932-7",1689.7,0.236151979641356
1932-07-28,395.029,"1932","7","1932-7",1689.7,0.233786470971178
1932-07-29,391.05,"1932","7","1932-7",1689.7,0.2314316150796
1932-07-30,387.072,"1932","7","1932-7",1689.7,0.229077351009055
1932-07-31,384.264,"1932","7","1932-7",1689.7,0.227415517547494
1932-08-01,381.483,"1932","8","1932-8",1689.7,0.225769663253832
1932-08-02,378.702,"1932","8","1932-8",1689.7,0.22412380896017
