"year_mon","storage","ResOpsUS","all_years","normalized"
"1914-11",NA,NA,1914,NA
"1914-12",NA,NA,1914,NA
"1915-1",NA,NA,1915,NA
"1915-10",NA,NA,1915,NA
"1915-11",NA,NA,1915,NA
"1915-12",NA,NA,1915,NA
"1915-2",NA,NA,1915,NA
"1915-3",NA,NA,1915,NA
"1915-4",NA,NA,1915,NA
"1915-5",NA,NA,1915,NA
"1915-6",NA,NA,1915,NA
"1915-7",NA,NA,1915,NA
"1915-8",NA,NA,1915,NA
"1915-9",NA,NA,1915,NA
"1916-1",NA,NA,1916,NA
"1916-10",NA,NA,1916,NA
"1916-11",NA,NA,1916,NA
"1916-12",NA,NA,1916,NA
"1916-2",NA,NA,1916,NA
"1916-3",NA,NA,1916,NA
"1916-4",NA,NA,1916,NA
"1916-5",NA,NA,1916,NA
"1916-6",NA,NA,1916,NA
"1916-7",NA,NA,1916,NA
"1916-8",NA,NA,1916,NA
"1916-9",NA,NA,1916,NA
"1917-1",NA,NA,1917,NA
"1917-10",NA,NA,1917,NA
"1917-11",NA,NA,1917,NA
"1917-12",NA,NA,1917,NA
"1917-2",NA,NA,1917,NA
"1917-3",NA,NA,1917,NA
"1917-4",NA,NA,1917,NA
"1917-5",NA,NA,1917,NA
"1917-6",NA,NA,1917,NA
"1917-7",NA,NA,1917,NA
"1917-8",NA,NA,1917,NA
"1917-9",NA,NA,1917,NA
"1918-1",NA,NA,1918,NA
"1918-10",NA,NA,1918,NA
"1918-11",NA,NA,1918,NA
"1918-12",NA,NA,1918,NA
"1918-2",NA,NA,1918,NA
"1918-3",NA,NA,1918,NA
"1918-4",NA,NA,1918,NA
"1918-5",NA,NA,1918,NA
"1918-6",NA,NA,1918,NA
"1918-7",NA,NA,1918,NA
"1918-8",NA,NA,1918,NA
"1918-9",NA,NA,1918,NA
"1919-1",NA,NA,1919,NA
"1919-10",NA,NA,1919,NA
"1919-11",NA,NA,1919,NA
"1919-12",NA,NA,1919,NA
"1919-2",NA,NA,1919,NA
"1919-3",NA,NA,1919,NA
"1919-4",NA,NA,1919,NA
"1919-5",NA,NA,1919,NA
"1919-6",NA,NA,1919,NA
"1919-7",NA,NA,1919,NA
"1919-8",NA,NA,1919,NA
"1919-9",NA,NA,1919,NA
"1920-1",NA,NA,1920,NA
"1920-10",NA,NA,1920,NA
"1920-11",NA,NA,1920,NA
"1920-12",NA,NA,1920,NA
"1920-2",NA,NA,1920,NA
"1920-3",NA,NA,1920,NA
"1920-4",NA,NA,1920,NA
"1920-5",NA,NA,1920,NA
"1920-6",NA,NA,1920,NA
"1920-7",NA,NA,1920,NA
"1920-8",NA,NA,1920,NA
"1920-9",NA,NA,1920,NA
"1921-1",NA,NA,1921,NA
"1921-10",NA,NA,1921,NA
"1921-11",NA,NA,1921,NA
"1921-12",NA,NA,1921,NA
"1921-2",NA,NA,1921,NA
"1921-3",NA,NA,1921,NA
"1921-4",NA,NA,1921,NA
"1921-5",NA,NA,1921,NA
"1921-6",NA,NA,1921,NA
"1921-7",NA,NA,1921,NA
"1921-8",NA,NA,1921,NA
"1921-9",NA,NA,1921,NA
"1922-1",NA,NA,1922,NA
"1922-10",NA,NA,1922,NA
"1922-11",NA,NA,1922,NA
"1922-12",NA,NA,1922,NA
"1922-2",NA,NA,1922,NA
"1922-3",NA,NA,1922,NA
"1922-4",NA,NA,1922,NA
"1922-5",NA,NA,1922,NA
"1922-6",NA,NA,1922,NA
"1922-7",NA,NA,1922,NA
"1922-8",NA,NA,1922,NA
"1922-9",NA,NA,1922,NA
"1923-1",NA,NA,1923,NA
"1923-10",NA,NA,1923,NA
"1923-11",NA,NA,1923,NA
"1923-12",NA,NA,1923,NA
"1923-2",NA,NA,1923,NA
"1923-3",NA,NA,1923,NA
"1923-4",NA,NA,1923,NA
"1923-5",NA,NA,1923,NA
"1923-6",NA,NA,1923,NA
"1923-7",NA,NA,1923,NA
"1923-8",NA,NA,1923,NA
"1923-9",NA,NA,1923,NA
"1924-1",NA,NA,1924,NA
"1924-10",4.48825806451613,79.9,1924,0.0561734426097138
"1924-11",4.44753333333333,79.9,1924,0.0556637463496037
"1924-12",2.58341935483871,79.9,1924,0.0323331583834632
"1924-2",NA,NA,1924,NA
"1924-3",NA,NA,1924,NA
"1924-4",NA,NA,1924,NA
"1924-5",NA,NA,1924,NA
"1924-6",NA,NA,1924,NA
"1924-7",NA,NA,1924,NA
"1924-8",NA,NA,1924,NA
"1924-9",NA,NA,1924,NA
"1925-1",1.49683870967742,79.9,1925,0.0187339012475271
"1925-10",16.6325161290323,79.9,1925,0.208166659937825
"1925-11",6.10006666666667,79.9,1925,0.0763462661660409
"1925-12",3.35506451612903,79.9,1925,0.0419907949452945
"1925-2",4.12382142857143,79.9,1925,0.0516122832111568
"1925-3",5.86722580645161,79.9,1925,0.0734321127215471
"1925-4",17.8074666666667,79.9,1925,0.22287192323738
"1925-5",44.5939032258065,79.9,1925,0.558121442125237
"1925-6",62.1682,79.9,1925,0.778075093867334
"1925-7",70.4830967741936,79.9,1925,0.882141386410432
"1925-8",58.085,79.9,1925,0.726971214017522
"1925-9",35.1061,79.9,1925,0.439375469336671
"1926-1",5.50251612903226,79.9,1926,0.0688675360329444
"1926-10",18.5467096774194,79.9,1926,0.232124026000242
"1926-11",30.1970666666667,79.9,1926,0.377935753024614
"1926-12",29.5407096774194,79.9,1926,0.369721022245549
"1926-2",6.73275,79.9,1926,0.0842647058823529
"1926-3",8.46045161290323,79.9,1926,0.10588800516775
"1926-4",13.3638,79.9,1926,0.167256570713392
"1926-5",22.0000967741935,79.9,1926,0.27534539141669
"1926-6",16.1749,79.9,1926,0.202439299123905
"1926-7",13.5465806451613,79.9,1926,0.169544188299891
"1926-8",10.9562258064516,79.9,1926,0.137124227865477
"1926-9",8.3798,79.9,1926,0.10487859824781
"1927-1",30.7065161290323,79.9,1927,0.384311841414672
"1927-10",47.4383548387097,79.9,1927,0.593721587468206
"1927-11",36.4287,79.9,1927,0.455928660826033
"1927-12",30.2600322580645,79.9,1927,0.378723807985789
