"year_mon","storage","ResOpsUS","all_years","normalized"
"1945-1",NA,NA,1945,NA
"1945-10",NA,NA,1945,NA
"1945-11",NA,NA,1945,NA
"1945-12",NA,NA,1945,NA
"1945-2",NA,NA,1945,NA
"1945-3",NA,NA,1945,NA
"1945-4",NA,NA,1945,NA
"1945-5",NA,NA,1945,NA
"1945-6",NA,NA,1945,NA
"1945-7",NA,NA,1945,NA
"1945-8",NA,NA,1945,NA
"1945-9",NA,NA,1945,NA
"1946-1",NA,NA,1946,NA
"1946-10",NA,NA,1946,NA
"1946-11",NA,NA,1946,NA
"1946-12",NA,NA,1946,NA
"1946-2",NA,NA,1946,NA
"1946-3",NA,NA,1946,NA
"1946-4",NA,NA,1946,NA
"1946-5",NA,NA,1946,NA
"1946-6",NA,NA,1946,NA
"1946-7",NA,NA,1946,NA
"1946-8",NA,NA,1946,NA
"1946-9",NA,NA,1946,NA
"1947-1",NA,NA,1947,NA
"1947-10",NA,NA,1947,NA
"1947-11",NA,NA,1947,NA
"1947-12",NA,NA,1947,NA
"1947-2",NA,NA,1947,NA
"1947-3",NA,NA,1947,NA
"1947-4",NA,NA,1947,NA
"1947-5",NA,NA,1947,NA
"1947-6",NA,NA,1947,NA
"1947-7",NA,NA,1947,NA
"1947-8",NA,NA,1947,NA
"1947-9",NA,NA,1947,NA
"1948-1",NA,NA,1948,NA
"1948-10",NA,NA,1948,NA
"1948-11",NA,NA,1948,NA
"1948-12",NA,NA,1948,NA
"1948-2",NA,NA,1948,NA
"1948-3",NA,NA,1948,NA
"1948-4",NA,NA,1948,NA
"1948-5",NA,NA,1948,NA
"1948-6",NA,NA,1948,NA
"1948-7",NA,NA,1948,NA
"1948-8",NA,NA,1948,NA
"1948-9",NA,NA,1948,NA
"1949-1",NA,NA,1949,NA
"1949-10",NA,NA,1949,NA
"1949-11",NA,NA,1949,NA
"1949-12",NA,NA,1949,NA
"1949-2",NA,NA,1949,NA
"1949-3",NA,NA,1949,NA
"1949-4",NA,NA,1949,NA
"1949-5",NA,NA,1949,NA
"1949-6",NA,NA,1949,NA
"1949-7",NA,NA,1949,NA
"1949-8",NA,NA,1949,NA
"1949-9",NA,NA,1949,NA
"1950-1",NA,NA,1950,NA
"1950-10",NA,NA,1950,NA
"1950-11",NA,NA,1950,NA
"1950-12",NA,NA,1950,NA
"1950-2",NA,NA,1950,NA
"1950-3",NA,NA,1950,NA
"1950-4",NA,NA,1950,NA
"1950-5",NA,NA,1950,NA
"1950-6",NA,NA,1950,NA
"1950-7",NA,NA,1950,NA
"1950-8",NA,NA,1950,NA
"1950-9",NA,NA,1950,NA
"1951-1",NA,NA,1951,NA
"1951-10",NA,NA,1951,NA
"1951-11",NA,NA,1951,NA
"1951-12",NA,NA,1951,NA
"1951-2",NA,NA,1951,NA
"1951-3",NA,NA,1951,NA
"1951-4",NA,NA,1951,NA
"1951-5",NA,NA,1951,NA
"1951-6",NA,NA,1951,NA
"1951-7",NA,NA,1951,NA
"1951-8",NA,NA,1951,NA
"1951-9",NA,NA,1951,NA
"1952-1",NA,NA,1952,NA
"1952-10",NA,NA,1952,NA
"1952-11",NA,NA,1952,NA
"1952-12",NA,NA,1952,NA
"1952-2",NA,NA,1952,NA
"1952-3",NA,NA,1952,NA
"1952-4",NA,NA,1952,NA
"1952-5",NA,NA,1952,NA
"1952-6",NA,NA,1952,NA
"1952-7",NA,NA,1952,NA
"1952-8",NA,NA,1952,NA
"1952-9",NA,NA,1952,NA
"1953-1",NA,NA,1953,NA
"1953-10",NA,NA,1953,NA
"1953-11",NA,NA,1953,NA
"1953-12",NA,NA,1953,NA
"1953-2",NA,NA,1953,NA
"1953-3",NA,NA,1953,NA
"1953-4",NA,NA,1953,NA
"1953-5",NA,NA,1953,NA
"1953-6",NA,NA,1953,NA
"1953-7",NA,NA,1953,NA
"1953-8",NA,NA,1953,NA
"1953-9",NA,NA,1953,NA
"1954-1",NA,NA,1954,NA
"1954-10",NA,NA,1954,NA
"1954-11",NA,NA,1954,NA
"1954-12",NA,NA,1954,NA
"1954-2",NA,NA,1954,NA
"1954-3",NA,NA,1954,NA
"1954-4",NA,NA,1954,NA
"1954-5",NA,NA,1954,NA
"1954-6",NA,NA,1954,NA
"1954-7",NA,NA,1954,NA
"1954-8",NA,NA,1954,NA
"1954-9",NA,NA,1954,NA
"1955-1",NA,NA,1955,NA
"1955-10",229.791885245902,1263.589,1955,0.18185650970838
"1955-11",247.914385245902,1263.589,1955,0.196198594041181
"1955-12",266.036885245902,1263.589,1955,0.210540678373982
"1955-2",NA,NA,1955,NA
"1955-3",21.7410967741935,1263.589,1955,0.0172058294067086
"1955-4",205.7518,1263.589,1955,0.162831268711583
"1955-5",436.024774193548,1263.589,1955,0.345068510562808
"1955-6",551.312133333333,1263.589,1955,0.43630653110571
"1955-7",485.644935483871,1263.589,1955,0.384337735991585
"1955-8",349.018129032258,1263.589,1955,0.276211750048677
"1955-9",231.869666666667,1263.589,1955,0.183500858797177
"1956-1",284.456475409836,1263.589,1956,0.225117878843387
"1956-10",447.261885245902,1263.589,1956,0.353961521701995
"1956-11",465.384385245902,1263.589,1956,0.368303606034796
"1956-12",483.506885245902,1263.589,1956,0.382645690367597
"1956-2",302.281885245902,1263.589,1956,0.239224847039585
"1956-3",320.107295081967,1263.589,1956,0.253331815235783
"1956-4",338.229795081967,1263.589,1956,0.267673899568584
"1956-5",356.352295081967,1263.589,1956,0.282015983901385
"1956-6",374.474795081967,1263.589,1956,0.296358068234186
"1956-7",392.597295081967,1263.589,1956,0.310700152566988
"1956-8",411.016885245902,1263.589,1956,0.325277353036392
"1956-9",429.139385245902,1263.589,1956,0.339619437369193
"1957-1",508.21457218403,2712.03080645161,1957,0.187392625104053
"1957-10",763.262258064516,3401.765,1957,0.22437242374606
"1957-11",666.391833333333,3401.765,1957,0.195895905017934
"1957-12",666.404806451613,3401.765,1957,0.195899718661228
"1957-2",547.599723653396,3401.765,1957,0.160975177195778
"1957-3",652.263888947647,3401.765,1957,0.191742783216256
"1957-4",687.769214754098,3401.765,1957,0.202180107901074
"1957-5",718.62569539926,3401.765,1957,0.211250834610639
"1957-6",745.801248087432,3401.765,1957,0.219239497169097
"1957-7",758.687308302486,3401.765,1957,0.223027548435146
"1957-8",772.884672659968,3401.765,1957,0.227201077281931
"1957-9",787.903304918033,3401.765,1957,0.231616030183753
"1958-1",766.643387096774,3401.765,1958,0.225366357492882
"1958-10",1703.55238709677,3401.765,1958,0.500784853479524
"1958-11",1626.20503333333,3401.765,1958,0.478047435179483
"1958-12",1553.61890322581,3401.765,1958,0.456709650203881
"1958-2",1193.52503571429,3401.765,1958,0.350854640374713
"1958-3",1515.46467741935,3401.765,1958,0.445493641512378
"1958-4",1788.87216666667,3401.765,1958,0.525865886287462
"1958-5",2163.28583870968,3401.765,1958,0.63593041809463
"1958-6",2349.09933333333,3401.765,1958,0.690553090332029
