"year_mon","storage","ResOpsUS","all_years","normalized"
"1929-10",NA,NA,1929,NA
"1929-11",NA,NA,1929,NA
"1929-12",NA,NA,1929,NA
"1930-1",NA,NA,1930,NA
"1930-10",NA,NA,1930,NA
"1930-11",NA,NA,1930,NA
"1930-12",NA,NA,1930,NA
"1930-2",NA,NA,1930,NA
"1930-3",NA,NA,1930,NA
"1930-4",NA,NA,1930,NA
"1930-5",NA,NA,1930,NA
"1930-6",NA,NA,1930,NA
"1930-7",NA,NA,1930,NA
"1930-8",NA,NA,1930,NA
"1930-9",NA,NA,1930,NA
"1931-1",NA,NA,1931,NA
"1931-10",NA,NA,1931,NA
"1931-11",NA,NA,1931,NA
"1931-12",NA,NA,1931,NA
"1931-2",NA,NA,1931,NA
"1931-3",NA,NA,1931,NA
"1931-4",NA,NA,1931,NA
"1931-5",NA,NA,1931,NA
"1931-6",NA,NA,1931,NA
"1931-7",NA,NA,1931,NA
"1931-8",NA,NA,1931,NA
"1931-9",NA,NA,1931,NA
"1932-1",NA,NA,1932,NA
"1932-10",NA,NA,1932,NA
"1932-11",NA,NA,1932,NA
"1932-12",NA,NA,1932,NA
"1932-2",NA,NA,1932,NA
"1932-3",NA,NA,1932,NA
"1932-4",NA,NA,1932,NA
"1932-5",NA,NA,1932,NA
"1932-6",NA,NA,1932,NA
"1932-7",NA,NA,1932,NA
"1932-8",NA,NA,1932,NA
"1932-9",NA,NA,1932,NA
"1933-1",NA,NA,1933,NA
"1933-10",NA,NA,1933,NA
"1933-11",NA,NA,1933,NA
"1933-12",NA,NA,1933,NA
"1933-2",NA,NA,1933,NA
"1933-3",NA,NA,1933,NA
"1933-4",NA,NA,1933,NA
"1933-5",NA,NA,1933,NA
"1933-6",NA,NA,1933,NA
"1933-7",NA,NA,1933,NA
"1933-8",NA,NA,1933,NA
"1933-9",NA,NA,1933,NA
"1934-1",NA,NA,1934,NA
"1934-10",NA,NA,1934,NA
"1934-11",NA,NA,1934,NA
"1934-12",NA,NA,1934,NA
"1934-2",NA,NA,1934,NA
"1934-3",NA,NA,1934,NA
"1934-4",NA,NA,1934,NA
"1934-5",NA,NA,1934,NA
"1934-6",NA,NA,1934,NA
"1934-7",NA,NA,1934,NA
"1934-8",NA,NA,1934,NA
"1934-9",NA,NA,1934,NA
"1935-1",NA,NA,1935,NA
"1935-10",NA,NA,1935,NA
"1935-11",NA,NA,1935,NA
"1935-12",NA,NA,1935,NA
"1935-2",NA,NA,1935,NA
"1935-3",NA,NA,1935,NA
"1935-4",NA,NA,1935,NA
"1935-5",NA,NA,1935,NA
"1935-6",NA,NA,1935,NA
"1935-7",NA,NA,1935,NA
"1935-8",NA,NA,1935,NA
"1935-9",NA,NA,1935,NA
"1936-1",NA,NA,1936,NA
"1936-10",NA,NA,1936,NA
"1936-11",NA,NA,1936,NA
"1936-12",NA,NA,1936,NA
"1936-2",NA,NA,1936,NA
"1936-3",NA,NA,1936,NA
"1936-4",NA,NA,1936,NA
"1936-5",NA,NA,1936,NA
"1936-6",NA,NA,1936,NA
"1936-7",NA,NA,1936,NA
"1936-8",NA,NA,1936,NA
"1936-9",NA,NA,1936,NA
"1937-1",NA,NA,1937,NA
"1937-10",NA,NA,1937,NA
"1937-11",NA,NA,1937,NA
"1937-12",NA,NA,1937,NA
"1937-2",NA,NA,1937,NA
"1937-3",NA,NA,1937,NA
"1937-4",NA,NA,1937,NA
"1937-5",NA,NA,1937,NA
"1937-6",NA,NA,1937,NA
"1937-7",NA,NA,1937,NA
"1937-8",NA,NA,1937,NA
"1937-9",NA,NA,1937,NA
"1938-1",NA,NA,1938,NA
"1938-10",NA,NA,1938,NA
"1938-11",NA,NA,1938,NA
"1938-12",NA,NA,1938,NA
"1938-2",NA,NA,1938,NA
"1938-3",NA,NA,1938,NA
"1938-4",NA,NA,1938,NA
"1938-5",NA,NA,1938,NA
"1938-6",NA,NA,1938,NA
"1938-7",NA,NA,1938,NA
"1938-8",NA,NA,1938,NA
"1938-9",NA,NA,1938,NA
"1939-1",NA,NA,1939,NA
"1939-10",NA,NA,1939,NA
"1939-11",NA,NA,1939,NA
"1939-12",NA,NA,1939,NA
"1939-2",NA,NA,1939,NA
"1939-3",NA,NA,1939,NA
"1939-4",NA,NA,1939,NA
"1939-5",NA,NA,1939,NA
"1939-6",NA,NA,1939,NA
"1939-7",NA,NA,1939,NA
"1939-8",NA,NA,1939,NA
"1939-9",NA,NA,1939,NA
"1940-1",NA,NA,1940,NA
"1940-10",NA,NA,1940,NA
"1940-11",NA,NA,1940,NA
"1940-12",NA,NA,1940,NA
"1940-2",NA,NA,1940,NA
"1940-3",NA,NA,1940,NA
"1940-4",NA,NA,1940,NA
"1940-5",NA,NA,1940,NA
"1940-6",NA,NA,1940,NA
"1940-7",NA,NA,1940,NA
"1940-8",NA,NA,1940,NA
"1940-9",NA,NA,1940,NA
"1941-1",NA,NA,1941,NA
"1941-10",NA,NA,1941,NA
"1941-11",NA,NA,1941,NA
"1941-12",NA,NA,1941,NA
"1941-2",NA,NA,1941,NA
"1941-3",NA,NA,1941,NA
"1941-4",NA,NA,1941,NA
"1941-5",NA,NA,1941,NA
"1941-6",NA,NA,1941,NA
"1941-7",NA,NA,1941,NA
"1941-8",NA,NA,1941,NA
"1941-9",NA,NA,1941,NA
"1942-1",NA,NA,1942,NA
"1942-10",NA,NA,1942,NA
"1942-11",NA,NA,1942,NA
"1942-12",NA,NA,1942,NA
"1942-2",NA,NA,1942,NA
"1942-3",NA,NA,1942,NA
"1942-4",NA,NA,1942,NA
"1942-5",NA,NA,1942,NA
"1942-6",NA,NA,1942,NA
"1942-7",NA,NA,1942,NA
"1942-8",NA,NA,1942,NA
"1942-9",NA,NA,1942,NA
"1943-1",NA,NA,1943,NA
"1943-10",NA,NA,1943,NA
"1943-11",NA,NA,1943,NA
"1943-12",NA,NA,1943,NA
"1943-2",NA,NA,1943,NA
"1943-3",NA,NA,1943,NA
"1943-4",NA,NA,1943,NA
"1943-5",NA,NA,1943,NA
"1943-6",NA,NA,1943,NA
"1943-7",NA,NA,1943,NA
"1943-8",NA,NA,1943,NA
"1943-9",NA,NA,1943,NA
"1944-1",NA,NA,1944,NA
"1944-10",NA,NA,1944,NA
"1944-11",NA,NA,1944,NA
"1944-12",NA,NA,1944,NA
"1944-2",NA,NA,1944,NA
"1944-3",NA,NA,1944,NA
"1944-4",NA,NA,1944,NA
"1944-5",NA,NA,1944,NA
"1944-6",NA,NA,1944,NA
"1944-7",NA,NA,1944,NA
"1944-8",NA,NA,1944,NA
"1944-9",NA,NA,1944,NA
"1945-1",NA,NA,1945,NA
"1945-10",NA,NA,1945,NA
"1945-11",NA,NA,1945,NA
"1945-12",NA,NA,1945,NA
"1945-2",NA,NA,1945,NA
"1945-3",NA,NA,1945,NA
"1945-4",NA,NA,1945,NA
"1945-5",NA,NA,1945,NA
"1945-6",NA,NA,1945,NA
"1945-7",NA,NA,1945,NA
"1945-8",NA,NA,1945,NA
