"year_mon","storage","ResOpsUS","all_years","normalized"
"1884-1",NA,NA,1884,NA
"1884-10",NA,NA,1884,NA
"1884-11",NA,NA,1884,NA
"1884-12",NA,NA,1884,NA
"1884-2",NA,NA,1884,NA
"1884-3",NA,NA,1884,NA
"1884-4",NA,NA,1884,NA
"1884-5",NA,NA,1884,NA
"1884-6",NA,NA,1884,NA
"1884-7",NA,NA,1884,NA
"1884-8",NA,NA,1884,NA
"1884-9",NA,NA,1884,NA
"1885-1",NA,NA,1885,NA
"1885-10",NA,NA,1885,NA
"1885-11",NA,NA,1885,NA
"1885-12",NA,NA,1885,NA
"1885-2",NA,NA,1885,NA
"1885-3",NA,NA,1885,NA
"1885-4",NA,NA,1885,NA
"1885-5",NA,NA,1885,NA
"1885-6",NA,NA,1885,NA
"1885-7",NA,NA,1885,NA
"1885-8",NA,NA,1885,NA
"1885-9",NA,NA,1885,NA
"1886-1",NA,NA,1886,NA
"1886-10",NA,NA,1886,NA
"1886-11",NA,NA,1886,NA
"1886-12",NA,NA,1886,NA
"1886-2",NA,NA,1886,NA
"1886-3",NA,NA,1886,NA
"1886-4",NA,NA,1886,NA
"1886-5",NA,NA,1886,NA
"1886-6",NA,NA,1886,NA
"1886-7",NA,NA,1886,NA
"1886-8",NA,NA,1886,NA
"1886-9",NA,NA,1886,NA
"1887-1",NA,NA,1887,NA
"1887-10",NA,NA,1887,NA
"1887-11",NA,NA,1887,NA
"1887-12",NA,NA,1887,NA
"1887-2",NA,NA,1887,NA
"1887-3",NA,NA,1887,NA
"1887-4",NA,NA,1887,NA
"1887-5",NA,NA,1887,NA
"1887-6",NA,NA,1887,NA
"1887-7",NA,NA,1887,NA
"1887-8",NA,NA,1887,NA
"1887-9",NA,NA,1887,NA
"1888-1",NA,NA,1888,NA
"1888-10",NA,NA,1888,NA
"1888-11",NA,NA,1888,NA
"1888-12",NA,NA,1888,NA
"1888-2",NA,NA,1888,NA
"1888-3",NA,NA,1888,NA
"1888-4",NA,NA,1888,NA
"1888-5",NA,NA,1888,NA
"1888-6",NA,NA,1888,NA
"1888-7",NA,NA,1888,NA
"1888-8",NA,NA,1888,NA
"1888-9",NA,NA,1888,NA
"1889-1",NA,NA,1889,NA
"1889-10",NA,NA,1889,NA
"1889-11",NA,NA,1889,NA
"1889-12",NA,NA,1889,NA
"1889-2",NA,NA,1889,NA
"1889-3",NA,NA,1889,NA
"1889-4",NA,NA,1889,NA
"1889-5",NA,NA,1889,NA
"1889-6",NA,NA,1889,NA
"1889-7",NA,NA,1889,NA
"1889-8",NA,NA,1889,NA
"1889-9",NA,NA,1889,NA
"1890-1",NA,NA,1890,NA
"1890-10",NA,NA,1890,NA
"1890-11",NA,NA,1890,NA
"1890-12",NA,NA,1890,NA
"1890-2",NA,NA,1890,NA
"1890-3",NA,NA,1890,NA
"1890-4",NA,NA,1890,NA
"1890-5",NA,NA,1890,NA
"1890-6",NA,NA,1890,NA
"1890-7",NA,NA,1890,NA
"1890-8",NA,NA,1890,NA
"1890-9",NA,NA,1890,NA
"1891-1",NA,NA,1891,NA
"1891-10",NA,NA,1891,NA
"1891-11",NA,NA,1891,NA
"1891-12",NA,NA,1891,NA
"1891-2",NA,NA,1891,NA
"1891-3",NA,NA,1891,NA
"1891-4",NA,NA,1891,NA
"1891-5",NA,NA,1891,NA
"1891-6",NA,NA,1891,NA
"1891-7",NA,NA,1891,NA
"1891-8",NA,NA,1891,NA
"1891-9",NA,NA,1891,NA
"1892-1",NA,NA,1892,NA
"1892-10",NA,NA,1892,NA
"1892-11",NA,NA,1892,NA
"1892-12",NA,NA,1892,NA
"1892-2",NA,NA,1892,NA
"1892-3",NA,NA,1892,NA
"1892-4",NA,NA,1892,NA
"1892-5",NA,NA,1892,NA
"1892-6",NA,NA,1892,NA
"1892-7",NA,NA,1892,NA
"1892-8",NA,NA,1892,NA
"1892-9",NA,NA,1892,NA
"1893-1",NA,NA,1893,NA
"1893-10",NA,NA,1893,NA
"1893-11",NA,NA,1893,NA
"1893-12",NA,NA,1893,NA
"1893-2",NA,NA,1893,NA
"1893-3",NA,NA,1893,NA
"1893-4",NA,NA,1893,NA
"1893-5",NA,NA,1893,NA
"1893-6",NA,NA,1893,NA
"1893-7",NA,NA,1893,NA
"1893-8",NA,NA,1893,NA
"1893-9",NA,NA,1893,NA
"1894-1",NA,NA,1894,NA
"1894-10",NA,NA,1894,NA
"1894-11",NA,NA,1894,NA
"1894-12",NA,NA,1894,NA
"1894-2",NA,NA,1894,NA
"1894-3",NA,NA,1894,NA
"1894-4",NA,NA,1894,NA
"1894-5",NA,NA,1894,NA
"1894-6",NA,NA,1894,NA
"1894-7",NA,NA,1894,NA
"1894-8",NA,NA,1894,NA
"1894-9",NA,NA,1894,NA
"1895-1",NA,NA,1895,NA
"1895-10",NA,NA,1895,NA
"1895-11",NA,NA,1895,NA
"1895-12",NA,NA,1895,NA
"1895-2",NA,NA,1895,NA
"1895-3",NA,NA,1895,NA
"1895-4",NA,NA,1895,NA
"1895-5",NA,NA,1895,NA
"1895-6",NA,NA,1895,NA
"1895-7",NA,NA,1895,NA
"1895-8",NA,NA,1895,NA
"1895-9",NA,NA,1895,NA
"1896-1",NA,NA,1896,NA
"1896-10",NA,NA,1896,NA
"1896-11",NA,NA,1896,NA
"1896-12",NA,NA,1896,NA
"1896-2",NA,NA,1896,NA
"1896-3",NA,NA,1896,NA
"1896-4",NA,NA,1896,NA
"1896-5",NA,NA,1896,NA
"1896-6",NA,NA,1896,NA
"1896-7",NA,NA,1896,NA
"1896-8",NA,NA,1896,NA
"1896-9",NA,NA,1896,NA
"1897-1",NA,NA,1897,NA
"1897-10",NA,NA,1897,NA
"1897-11",NA,NA,1897,NA
"1897-12",NA,NA,1897,NA
"1897-2",NA,NA,1897,NA
"1897-3",NA,NA,1897,NA
"1897-4",NA,NA,1897,NA
"1897-5",NA,NA,1897,NA
"1897-6",NA,NA,1897,NA
"1897-7",NA,NA,1897,NA
"1897-8",NA,NA,1897,NA
"1897-9",NA,NA,1897,NA
"1898-1",NA,NA,1898,NA
"1898-10",NA,NA,1898,NA
"1898-11",NA,NA,1898,NA
"1898-12",NA,NA,1898,NA
"1898-2",NA,NA,1898,NA
"1898-3",NA,NA,1898,NA
"1898-4",NA,NA,1898,NA
"1898-5",NA,NA,1898,NA
"1898-6",NA,NA,1898,NA
"1898-7",NA,NA,1898,NA
"1898-8",NA,NA,1898,NA
"1898-9",NA,NA,1898,NA
"1899-1",NA,NA,1899,NA
"1899-10",NA,NA,1899,NA
"1899-11",NA,NA,1899,NA
"1899-12",NA,NA,1899,NA
"1899-2",NA,NA,1899,NA
"1899-3",NA,NA,1899,NA
"1899-4",NA,NA,1899,NA
"1899-5",NA,NA,1899,NA
"1899-6",NA,NA,1899,NA
"1899-7",NA,NA,1899,NA
"1899-8",NA,NA,1899,NA
"1899-9",NA,NA,1899,NA
"1900-1",464.387161290323,1773.738,1900,0.261812714893813
"1900-10",653.219258064516,1773.738,1900,0.368272686306837
"1900-11",833.9573,1773.738,1900,0.470169382400332
"1900-12",919.38064516129,1773.738,1900,0.51832945179124
"1900-2",445.796607142857,1773.738,1900,0.251331711415585
"1900-3",418.855935483871,1773.738,1900,0.236143069316816
"1900-4",411.467566666667,1773.738,1900,0.231977646454362
"1900-5",365.515612903226,1773.738,1900,0.206070802397663
"1900-6",276.948,1773.738,1900,0.156138054210938
"1900-7",217.110516129032,1773.738,1900,0.122402810408884
"1900-8",253.87235483871,1773.738,1900,0.143128441088092
"1900-9",425.0846,1773.738,1900,0.239654672787075
"1901-1",937.581935483871,1773.738,1901,0.528590995673471
"1901-10",614.51135483871,1773.738,1901,0.346449901190993
"1901-11",597.325466666667,1773.738,1901,0.336760821872603
"1901-12",618.830677419355,1773.738,1901,0.348885053722339
"1901-2",897.043964285714,1773.738,1901,0.505736452782606
"1901-3",824.008129032258,1773.738,1901,0.464560227627901
"1901-4",762.1354,1773.738,1901,0.42967755102501
"1901-5",785.032935483871,1773.738,1901,0.442586749274059
"1901-6",795.191166666667,1773.738,1901,0.448313768249125
"1901-7",915.123741935484,1773.738,1901,0.515929490113807
"1901-8",886.992290322581,1773.738,1901,0.500069508756412
"1901-9",737.003033333333,1773.738,1901,0.41550839714396
"1902-1",626.431677419355,1773.738,1902,0.35317035403163
"1902-10",649.002677419355,1773.738,1902,0.365895457739167
"1902-11",584.4067,1773.738,1902,0.329477465104767
"1902-12",572.273258064516,1773.738,1902,0.322636859595113
"1902-2",628.228071428571,1773.738,1902,0.354183127061929
"1902-3",638.998806451613,1773.738,1902,0.360255464139356
"1902-4",679.627733333333,1773.738,1902,0.383161286127564
"1902-5",766.633838709677,1773.738,1902,0.432213685848574
"1902-6",882.1888,1773.738,1902,0.497361391592219
"1902-7",918.741677419355,1773.738,1902,0.517969213840688
"1902-8",867.546935483871,1773.738,1902,0.489106584785279
"1902-9",757.0688,1773.738,1902,0.42682109759164
"1903-1",546.263806451613,1773.738,1903,0.307973221778872
"1903-10",906.902290322581,1773.738,1903,0.511294390897968
"1903-11",931.660033333333,1773.738,1903,0.525252339033912
"1903-12",951.460290322581,1773.738,1903,0.536415350137721
"1903-2",539.195642857143,1773.738,1903,0.303988324576202
"1903-3",546.626225806452,1773.738,1903,0.308177546969424
"1903-4",661.156966666667,1773.738,1903,0.372747816569678
"1903-5",826.014483870968,1773.738,1903,0.465691372610255
"1903-6",884.0798,1773.738,1903,0.498427501694162
"1903-7",853.379225806452,1773.738,1903,0.481119097525368
"1903-8",808.612387096774,1773.738,1903,0.45588039896353
"1903-9",820.7114,1773.738,1903,0.462701594034745
"1904-1",965.028193548387,1773.738,1904,0.544064677843282
"1904-10",1101.74890322581,1773.738,1904,0.621145232963271
"1904-11",1124.68806666667,1773.738,1904,0.634077900268623
"1904-12",1119.00470967742,1773.738,1904,0.630873730887775
"1904-2",955.660896551724,1773.738,1904,0.538783572631203
"1904-3",938.349258064516,1773.738,1904,0.529023597659021
"1904-4",989.481166666667,1773.738,1904,0.557850802467256
"1904-5",1076.06029032258,1773.738,1904,0.606662477954794
"1904-6",1138.35083333333,1773.738,1904,0.641780710191321
"1904-7",1184.76187096774,1773.738,1904,0.667946377067945
"1904-8",1154.41367741935,1773.738,1904,0.650836638454696
"1904-9",1105.41386666667,1773.738,1904,0.623211470164515
"1905-1",1111.03006451613,1773.738,1905,0.626377776490174
"1905-10",1421.17551612903,1773.738,1905,0.801231927223204
"1905-11",1382.22626666667,1773.738,1905,0.779273075655292
"1905-12",1346.8874516129,1773.738,1905,0.759349718849629
"1905-2",1094.45435714286,1773.738,1905,0.617032705587216
"1905-3",1090.35777419355,1773.738,1905,0.614723129455167
"1905-4",1144.06387979003,1773.738,1905,0.645001617933441
"1905-5",1283.77126822454,1773.738,1905,0.723766006154537
"1905-6",1442.77511469816,1773.738,1905,0.81340937314201
"1905-7",1541.49380848362,1773.738,1905,0.869065109099324
"1905-8",1536.08312217424,1773.738,1905,0.866014666300347
"1905-9",1445.5976,1773.738,1905,0.815000637072668
"1906-1",1304.14025806452,1773.738,1906,0.735249658103122
"1906-10",1183.77761290323,1773.738,1906,0.667391470951869
"1906-11",1217.1602,1773.738,1906,0.686211943364804
"1906-12",1278.15048387097,1773.738,1906,0.720597114044446
"1906-2",1248.67835714286,1773.738,1906,0.703981285366191
"1906-3",1158.77587096774,1773.738,1906,0.653295960828342
"1906-4",1160.73643333333,1773.738,1906,0.654401288878816
"1906-5",1262.75958064516,1773.738,1906,0.711920013353247
"1906-6",1359.30283333333,1773.738,1906,0.766349276687613
"1906-7",1401.26932258065,1773.738,1906,0.79000919108721
"1906-8",1370.66441935484,1773.738,1906,0.772754724403964
"1906-9",1280.86363333333,1773.738,1906,0.722126736492838
"1907-1",1266.88290322581,1773.738,1907,0.714244664784656
"1907-10",1072.84209677419,1773.738,1907,0.604848121184861
"1907-11",1014.34593333333,1773.738,1907,0.571869088520026
"1907-12",995.596548387097,1773.738,1907,0.561298539235838
"1907-2",1192.76325,1773.738,1907,0.672457403517318
"1907-3",1120.25829032258,1773.738,1907,0.631580475990581
"1907-4",1150.2673,1773.738,1907,0.648498989140448
"1907-5",1236.93919354839,1773.738,1907,0.697362966542064
"1907-6",1332.37526666667,1773.738,1907,0.751168022936119
"1907-7",1296.96522580645,1773.738,1907,0.73120451036537
"1907-8",1194.42674193548,1773.738,1907,0.673395248867355
"1907-9",1125.84173333333,1773.738,1907,0.634728315756517
"1908-1",996.332483870968,1773.738,1908,0.561713445768748
"1908-10",1065.39041935484,1773.738,1908,0.600647006127646
"1908-11",1044.8984,1773.738,1908,0.589093992461119
"1908-12",1041.42829032258,1773.738,1908,0.587137610133278
"1908-2",1000.51272413793,1773.738,1908,0.564070186317219
"1908-3",999.57964516129,1773.738,1908,0.563544134004735
"1908-4",1033.4489,1773.738,1908,0.582638980503321
"1908-5",1119.61574193548,1773.738,1908,0.631218219339882
"1908-6",1316.83773333333,1773.738,1908,0.742408254958361
"1908-7",1341.4244516129,1773.738,1908,0.756269782579447
"1908-8",1254.36738709677,1773.738,1908,0.707188653057427
"1908-9",1132.08563333333,1773.738,1908,0.638248508704968
"1909-1",1039.34677419355,1773.738,1909,0.585964090634326
"1909-10",1135.54912903226,1773.738,1909,0.640201162196592
"1909-11",1127.6115,1773.738,1909,0.635726076793754
"1909-12",1174.35022580645,1773.738,1909,0.66207648807572
"1909-2",1045.77735714286,1773.738,1909,0.589589531905421
"1909-3",1046.82909677419,1773.738,1909,0.590182482854961
"1909-4",1061.032,1773.738,1909,0.598189811573073
"1909-5",1136.52577419355,1773.738,1909,0.640751776301544
"1909-6",1162.46533333333,1773.738,1909,0.655376010060862
"1909-7",1135.91874193548,1773.738,1909,0.640409542973925
"1909-8",1187.03570967742,1773.738,1909,0.669228324407223
"1909-9",1163.18746666667,1773.738,1909,0.655783135201854
"1910-1",1190.51725806452,1773.738,1910,0.671191155663642
"1910-10",786.351129032258,1773.738,1910,0.44332992191195
"1910-11",779.457133333333,1773.738,1910,0.439443217280869
"1910-12",780.497548387097,1773.738,1910,0.440029783647358
"1910-2",1174.41314285714,1773.738,1910,0.66211195952116
"1910-3",1150.83767741935,1773.738,1910,0.648820557161968
"1910-4",1189.3016,1773.738,1910,0.670505790595905
"1910-5",1176.55019354839,1773.738,1910,0.663316788357913
"1910-6",1111.9849,1773.738,1910,0.626916094710718
"1910-7",1012.79874193548,1773.738,1910,0.5709968112176
"1910-8",919.643258064516,1773.738,1910,0.518477507988506
"1910-9",829.796333333333,1773.738,1910,0.467823507943864
"1911-1",782.381322580645,1773.738,1911,0.441091819976031
