"year_mon","storage","ResOpsUS","all_years","normalized"
"1938-1",NA,NA,1938,NA
"1938-10",NA,NA,1938,NA
"1938-11",NA,NA,1938,NA
"1938-12",NA,NA,1938,NA
"1938-2",NA,NA,1938,NA
"1938-3",NA,NA,1938,NA
"1938-4",NA,NA,1938,NA
"1938-5",NA,NA,1938,NA
"1938-6",NA,NA,1938,NA
"1938-7",NA,NA,1938,NA
"1938-8",NA,NA,1938,NA
"1938-9",NA,NA,1938,NA
"1939-1",NA,NA,1939,NA
"1939-10",NA,NA,1939,NA
"1939-11",NA,NA,1939,NA
"1939-12",NA,NA,1939,NA
"1939-2",NA,NA,1939,NA
"1939-3",NA,NA,1939,NA
"1939-4",NA,NA,1939,NA
"1939-5",NA,NA,1939,NA
"1939-6",NA,NA,1939,NA
"1939-7",NA,NA,1939,NA
"1939-8",NA,NA,1939,NA
"1939-9",NA,NA,1939,NA
"1940-1",NA,NA,1940,NA
"1940-10",NA,NA,1940,NA
"1940-11",NA,NA,1940,NA
"1940-12",NA,NA,1940,NA
"1940-2",NA,NA,1940,NA
"1940-3",NA,NA,1940,NA
"1940-4",NA,NA,1940,NA
"1940-5",NA,NA,1940,NA
"1940-6",NA,NA,1940,NA
"1940-7",NA,NA,1940,NA
"1940-8",NA,NA,1940,NA
"1940-9",NA,NA,1940,NA
"1941-1",NA,NA,1941,NA
"1941-10",76.9817419354839,1399.5,1941,0.0550066037409674
"1941-11",123.946366666667,1399.5,1941,0.0885647493152316
"1941-12",83.1794838709677,1399.5,1941,0.059435143887794
"1941-2",NA,NA,1941,NA
"1941-3",NA,NA,1941,NA
"1941-4",44.3338666666667,1399.5,1941,0.0316783613195189
"1941-5",64.1225483870968,1399.5,1941,0.0458181839136097
"1941-6",51.9414333333333,1399.5,1941,0.0371142789091342
"1941-7",44.0804838709677,1399.5,1941,0.0314973089467437
"1941-8",39.6073225806452,1399.5,1941,0.0283010522191105
"1941-9",40.9277333333333,1399.5,1941,0.0292445397165654
"1942-1",85.6700322580645,1399.5,1942,0.0612147425924005
"1942-10",43.9066129032258,1399.5,1942,0.0313730710276712
"1942-11",99.1064333333333,1399.5,1942,0.070815600809813
"1942-12",115.384967741935,1399.5,1942,0.0824472795583676
"1942-2",141.684571428571,1399.5,1942,0.101239422242638
"1942-3",127.375322580645,1399.5,1942,0.09101487858567
"1942-4",120.4149,1399.5,1942,0.0860413719185423
"1942-5",85.2647741935484,1399.5,1942,0.0609251691272229
"1942-6",114.0702,1399.5,1942,0.0815078242229368
"1942-7",67.4241612903226,1399.5,1942,0.0481773213935853
"1942-8",61.3421935483871,1399.5,1942,0.043831506644078
"1942-9",50.6843333333333,1399.5,1942,0.0362160295343575
"1943-1",150.544774193548,1399.5,1943,0.107570399566666
"1943-10",71.9420967741935,1399.5,1943,0.0514055711141076
"1943-11",72.4707333333333,1399.5,1943,0.0517833035607955
"1943-12",71.8259032258064,1399.5,1943,0.0513225460706012
"1943-2",69.0255,1399.5,1943,0.0493215434083601
"1943-3",98.4712580645161,1399.5,1943,0.0703617420968318
"1943-4",107.4863,1399.5,1943,0.0768033583422651
"1943-5",354.089322580645,1399.5,1943,0.253011305881133
"1943-6",343.7924,1399.5,1943,0.245653733476242
"1943-7",100.382612903226,1399.5,1943,0.0717274833177748
"1943-8",80.1671612903226,1399.5,1943,0.0572827161774366
"1943-9",67.2637333333333,1399.5,1943,0.0480626890556151
"1944-1",51.9586451612903,1399.5,1944,0.0371265774643018
"1944-10",46.7452903225806,1399.5,1944,0.0334014221669029
"1944-11",42.783,1399.5,1944,0.0305702036441586
"1944-12",47.7302580645161,1399.5,1944,0.0341052219110512
"1944-2",57.6190689655172,1399.5,1944,0.0411711818260216
"1944-3",113.705419354839,1399.5,1944,0.0812471735297168
"1944-4",213.728,1399.5,1944,0.152717399071097
"1944-5",319.392774193548,1399.5,1944,0.228219202710646
"1944-6",139.388866666667,1399.5,1944,0.09959904727879
"1944-7",90.9988387096774,1399.5,1944,0.0650223927900517
"1944-8",77.5607741935484,1399.5,1944,0.0554203459760974
"1944-9",64.6901,1399.5,1944,0.0462237227581279
"1945-1",49.525935483871,1399.5,1945,0.0353883068837949
"1945-10",119.903225806452,1399.5,1945,0.0856757597759569
"1945-11",92.8218,1399.5,1945,0.066324973204716
"1945-12",71.0733548387097,1399.5,1945,0.0507848194631723
"1945-2",87.1742142857143,1399.5,1945,0.0622895421834329
"1945-3",576.169064516129,1399.5,1945,0.41169636621374
"1945-4",770.246633333333,1399.5,1945,0.550372728355365
"1945-5",443.581451612903,1399.5,1945,0.316957092970992
"1945-6",523.7152,1399.5,1945,0.374215934262236
"1945-7",546.164612903226,1399.5,1945,0.390256958130208
"1945-8",219.010774193548,1399.5,1945,0.156492157337298
"1945-9",76.3617,1399.5,1945,0.0545635584137192
"1946-1",111.272451612903,1399.5,1946,0.0795087185515564
"1946-10",65.8601612903226,1399.5,1946,0.047059779414307
"1946-11",111.556333333333,1399.5,1946,0.0797115636536858
"1946-12",114.747838709677,1399.5,1946,0.0819920248014844
"1946-2",152.13775,1399.5,1946,0.10870864594498
"1946-3",112.025612903226,1399.5,1946,0.0800468831034125
