"year_mon","storage","ResOpsUS","all_years","normalized"
"1869-1",NA,NA,1869,NA
"1869-10",NA,NA,1869,NA
"1869-11",NA,NA,1869,NA
"1869-12",NA,NA,1869,NA
"1869-2",NA,NA,1869,NA
"1869-3",NA,NA,1869,NA
"1869-4",NA,NA,1869,NA
"1869-5",NA,NA,1869,NA
"1869-6",NA,NA,1869,NA
"1869-7",NA,NA,1869,NA
"1869-8",NA,NA,1869,NA
"1869-9",NA,NA,1869,NA
"1870-1",NA,NA,1870,NA
"1870-10",NA,NA,1870,NA
"1870-11",NA,NA,1870,NA
"1870-12",NA,NA,1870,NA
"1870-2",NA,NA,1870,NA
"1870-3",NA,NA,1870,NA
"1870-4",NA,NA,1870,NA
"1870-5",NA,NA,1870,NA
"1870-6",NA,NA,1870,NA
"1870-7",NA,NA,1870,NA
"1870-8",NA,NA,1870,NA
"1870-9",NA,NA,1870,NA
"1871-1",NA,NA,1871,NA
"1871-10",NA,NA,1871,NA
"1871-11",NA,NA,1871,NA
"1871-12",NA,NA,1871,NA
"1871-2",NA,NA,1871,NA
"1871-3",NA,NA,1871,NA
"1871-4",NA,NA,1871,NA
"1871-5",NA,NA,1871,NA
"1871-6",NA,NA,1871,NA
"1871-7",NA,NA,1871,NA
"1871-8",NA,NA,1871,NA
"1871-9",NA,NA,1871,NA
"1872-1",NA,NA,1872,NA
"1872-10",NA,NA,1872,NA
"1872-11",NA,NA,1872,NA
"1872-12",NA,NA,1872,NA
"1872-2",NA,NA,1872,NA
"1872-3",NA,NA,1872,NA
"1872-4",NA,NA,1872,NA
"1872-5",NA,NA,1872,NA
"1872-6",NA,NA,1872,NA
"1872-7",NA,NA,1872,NA
"1872-8",NA,NA,1872,NA
"1872-9",NA,NA,1872,NA
"1873-1",NA,NA,1873,NA
"1873-10",NA,NA,1873,NA
"1873-11",NA,NA,1873,NA
"1873-12",NA,NA,1873,NA
"1873-2",NA,NA,1873,NA
"1873-3",NA,NA,1873,NA
"1873-4",NA,NA,1873,NA
"1873-5",NA,NA,1873,NA
"1873-6",NA,NA,1873,NA
"1873-7",NA,NA,1873,NA
"1873-8",NA,NA,1873,NA
"1873-9",NA,NA,1873,NA
"1874-1",NA,NA,1874,NA
"1874-10",NA,NA,1874,NA
"1874-11",NA,NA,1874,NA
"1874-12",NA,NA,1874,NA
"1874-2",NA,NA,1874,NA
"1874-3",NA,NA,1874,NA
"1874-4",NA,NA,1874,NA
"1874-5",NA,NA,1874,NA
"1874-6",NA,NA,1874,NA
"1874-7",NA,NA,1874,NA
"1874-8",NA,NA,1874,NA
"1874-9",NA,NA,1874,NA
"1875-1",NA,NA,1875,NA
"1875-10",NA,NA,1875,NA
"1875-11",NA,NA,1875,NA
"1875-12",NA,NA,1875,NA
"1875-2",NA,NA,1875,NA
"1875-3",NA,NA,1875,NA
"1875-4",NA,NA,1875,NA
"1875-5",NA,NA,1875,NA
"1875-6",NA,NA,1875,NA
"1875-7",NA,NA,1875,NA
"1875-8",NA,NA,1875,NA
"1875-9",NA,NA,1875,NA
"1876-1",NA,NA,1876,NA
"1876-10",NA,NA,1876,NA
"1876-11",NA,NA,1876,NA
"1876-12",NA,NA,1876,NA
"1876-2",NA,NA,1876,NA
"1876-3",NA,NA,1876,NA
"1876-4",NA,NA,1876,NA
"1876-5",NA,NA,1876,NA
"1876-6",NA,NA,1876,NA
"1876-7",NA,NA,1876,NA
"1876-8",NA,NA,1876,NA
"1876-9",NA,NA,1876,NA
"1877-1",NA,NA,1877,NA
"1877-10",NA,NA,1877,NA
"1877-11",NA,NA,1877,NA
"1877-12",NA,NA,1877,NA
"1877-2",NA,NA,1877,NA
"1877-3",NA,NA,1877,NA
"1877-4",NA,NA,1877,NA
"1877-5",NA,NA,1877,NA
"1877-6",NA,NA,1877,NA
"1877-7",NA,NA,1877,NA
"1877-8",NA,NA,1877,NA
"1877-9",NA,NA,1877,NA
"1878-1",NA,NA,1878,NA
"1878-10",NA,NA,1878,NA
"1878-11",NA,NA,1878,NA
"1878-12",NA,NA,1878,NA
"1878-2",NA,NA,1878,NA
"1878-3",NA,NA,1878,NA
"1878-4",NA,NA,1878,NA
"1878-5",NA,NA,1878,NA
"1878-6",NA,NA,1878,NA
"1878-7",NA,NA,1878,NA
"1878-8",NA,NA,1878,NA
"1878-9",NA,NA,1878,NA
"1879-1",NA,NA,1879,NA
"1879-10",NA,NA,1879,NA
"1879-11",NA,NA,1879,NA
"1879-12",NA,NA,1879,NA
"1879-2",NA,NA,1879,NA
"1879-3",NA,NA,1879,NA
"1879-4",NA,NA,1879,NA
"1879-5",NA,NA,1879,NA
"1879-6",NA,NA,1879,NA
"1879-7",NA,NA,1879,NA
"1879-8",NA,NA,1879,NA
"1879-9",NA,NA,1879,NA
"1880-1",NA,NA,1880,NA
"1880-10",NA,NA,1880,NA
"1880-11",NA,NA,1880,NA
"1880-12",NA,NA,1880,NA
"1880-2",NA,NA,1880,NA
"1880-3",NA,NA,1880,NA
"1880-4",NA,NA,1880,NA
"1880-5",NA,NA,1880,NA
"1880-6",NA,NA,1880,NA
"1880-7",NA,NA,1880,NA
"1880-8",NA,NA,1880,NA
"1880-9",NA,NA,1880,NA
"1881-1",NA,NA,1881,NA
"1881-10",NA,NA,1881,NA
"1881-11",NA,NA,1881,NA
"1881-12",NA,NA,1881,NA
"1881-2",NA,NA,1881,NA
"1881-3",NA,NA,1881,NA
"1881-4",NA,NA,1881,NA
"1881-5",NA,NA,1881,NA
"1881-6",NA,NA,1881,NA
"1881-7",NA,NA,1881,NA
"1881-8",NA,NA,1881,NA
"1881-9",NA,NA,1881,NA
"1882-1",NA,NA,1882,NA
"1882-10",NA,NA,1882,NA
"1882-11",NA,NA,1882,NA
"1882-12",NA,NA,1882,NA
"1882-2",NA,NA,1882,NA
"1882-3",NA,NA,1882,NA
"1882-4",NA,NA,1882,NA
"1882-5",NA,NA,1882,NA
"1882-6",NA,NA,1882,NA
"1882-7",NA,NA,1882,NA
"1882-8",NA,NA,1882,NA
"1882-9",NA,NA,1882,NA
"1883-1",NA,NA,1883,NA
"1883-10",NA,NA,1883,NA
"1883-11",NA,NA,1883,NA
"1883-12",NA,NA,1883,NA
"1883-2",NA,NA,1883,NA
"1883-3",NA,NA,1883,NA
"1883-4",NA,NA,1883,NA
"1883-5",NA,NA,1883,NA
"1883-6",NA,NA,1883,NA
"1883-7",NA,NA,1883,NA
"1883-8",NA,NA,1883,NA
"1883-9",NA,NA,1883,NA
"1884-1",NA,NA,1884,NA
"1884-10",NA,NA,1884,NA
"1884-11",NA,NA,1884,NA
"1884-12",NA,NA,1884,NA
"1884-2",NA,NA,1884,NA
"1884-3",NA,NA,1884,NA
"1884-4",NA,NA,1884,NA
"1884-5",NA,NA,1884,NA
"1884-6",NA,NA,1884,NA
"1884-7",NA,NA,1884,NA
"1884-8",NA,NA,1884,NA
"1884-9",NA,NA,1884,NA
"1885-1",NA,NA,1885,NA
"1885-10",NA,NA,1885,NA
"1885-11",NA,NA,1885,NA
"1885-12",NA,NA,1885,NA
"1885-2",NA,NA,1885,NA
"1885-3",NA,NA,1885,NA
"1885-4",NA,NA,1885,NA
"1885-5",NA,NA,1885,NA
"1885-6",NA,NA,1885,NA
"1885-7",NA,NA,1885,NA
"1885-8",NA,NA,1885,NA
"1885-9",NA,NA,1885,NA
"1886-1",NA,NA,1886,NA
"1886-10",NA,NA,1886,NA
"1886-11",NA,NA,1886,NA
"1886-12",NA,NA,1886,NA
"1886-2",NA,NA,1886,NA
"1886-3",NA,NA,1886,NA
"1886-4",NA,NA,1886,NA
"1886-5",NA,NA,1886,NA
"1886-6",NA,NA,1886,NA
"1886-7",NA,NA,1886,NA
"1886-8",NA,NA,1886,NA
"1886-9",NA,NA,1886,NA
"1887-1",NA,NA,1887,NA
"1887-10",NA,NA,1887,NA
"1887-11",NA,NA,1887,NA
"1887-12",NA,NA,1887,NA
"1887-2",NA,NA,1887,NA
"1887-3",NA,NA,1887,NA
"1887-4",NA,NA,1887,NA
"1887-5",NA,NA,1887,NA
"1887-6",NA,NA,1887,NA
"1887-7",NA,NA,1887,NA
"1887-8",NA,NA,1887,NA
"1887-9",NA,NA,1887,NA
"1888-1",NA,NA,1888,NA
"1888-10",NA,NA,1888,NA
"1888-11",NA,NA,1888,NA
"1888-12",NA,NA,1888,NA
"1888-2",NA,NA,1888,NA
"1888-3",NA,NA,1888,NA
"1888-4",NA,NA,1888,NA
"1888-5",NA,NA,1888,NA
"1888-6",NA,NA,1888,NA
"1888-7",NA,NA,1888,NA
"1888-8",NA,NA,1888,NA
"1888-9",NA,NA,1888,NA
"1889-1",NA,NA,1889,NA
"1889-10",NA,NA,1889,NA
"1889-11",NA,NA,1889,NA
"1889-12",NA,NA,1889,NA
"1889-2",NA,NA,1889,NA
"1889-3",NA,NA,1889,NA
"1889-4",NA,NA,1889,NA
"1889-5",NA,NA,1889,NA
"1889-6",NA,NA,1889,NA
"1889-7",NA,NA,1889,NA
"1889-8",NA,NA,1889,NA
"1889-9",NA,NA,1889,NA
"1890-1",NA,NA,1890,NA
"1890-10",NA,NA,1890,NA
"1890-11",NA,NA,1890,NA
"1890-12",NA,NA,1890,NA
"1890-2",NA,NA,1890,NA
"1890-3",NA,NA,1890,NA
"1890-4",NA,NA,1890,NA
"1890-5",NA,NA,1890,NA
