"year_mon","storage","ResOpsUS","all_years","normalized"
"1932-10",126.61064516129,931.3,1932,0.135950440418007
"1932-11",123.545333333333,931.3,1932,0.13265900712266
"1932-12",137.115225806452,931.3,1932,0.147229921407121
"1932-7",161.621238095238,931.3,1932,0.173543689568601
"1932-8",149.434129032258,931.3,1932,0.160457563655383
"1932-9",132.820866666667,931.3,1932,0.142618776620495
"1933-1",202.258451612903,931.3,1933,0.217178623013962
"1933-10",163.758258064516,931.3,1933,0.175838352909391
"1933-11",164.5954,931.3,1933,0.176737249006765
"1933-12",176.363580645161,931.3,1933,0.189373543052895
"1933-2",192.880928571429,931.3,1933,0.207109340246353
"1933-3",195.367225806452,931.3,1933,0.209779046286322
"1933-4",202.829466666667,931.3,1933,0.217791760621354
"1933-5",210.248741935484,931.3,1933,0.225758339885626
"1933-6",172.8845,931.3,1933,0.185637818103726
"1933-7",195.080741935484,931.3,1933,0.209471429115735
"1933-8",203.309258064516,931.3,1933,0.218306945199738
"1933-9",164.8914,931.3,1933,0.177055084290776
"1934-1",196.799774193548,931.3,1934,0.211317270689948
"1934-10",104.837870967742,931.3,1934,0.11257153545339
"1934-11",104.5992,931.3,1934,0.112315258241168
"1934-12",154.017838709677,931.3,1934,0.165379403747103
"1934-2",185.585714285714,931.3,1934,0.199275973677348
"1934-3",230.931419354839,931.3,1934,0.24796673397921
"1934-4",212.241833333333,931.3,1934,0.22789845735352
"1934-5",191.165548387097,931.3,1934,0.205267420151505
"1934-6",166.8652,931.3,1934,0.179174487275851
"1934-7",152.012483870968,931.3,1934,0.163226118190667
"1934-8",131.003451612903,931.3,1934,0.14066729476313
"1934-9",113.874966666667,931.3,1934,0.122275278284835
"1935-1",172.63935483871,931.3,1935,0.185374589110608
"1935-10",138.261129032258,931.3,1935,0.148460355451796
"1935-11",168.5428,931.3,1935,0.180975840223344
"1935-12",188.491612903226,931.3,1935,0.202396234192232
"1935-2",192.563892857143,931.3,1935,0.20676891748861
"1935-3",187.727451612903,931.3,1935,0.201575702365407
"1935-4",175.7462,931.3,1935,0.18871061956405
"1935-5",262.301548387097,931.3,1935,0.281650970028022
"1935-6",198.583833333333,931.3,1935,0.213232936039228
"1935-7",172.83035483871,931.3,1935,0.185579678770224
"1935-8",157.646741935484,931.3,1935,0.169276003366782
"1935-9",142.787433333333,931.3,1935,0.153320555495902
"1936-1",178.369290322581,931.3,1936,0.191527209623731
"1936-10",121.262935483871,931.3,1936,0.130208241687825
"1936-11",125.913633333333,931.3,1936,0.135202011525108
"1936-12",145.90085483871,931.3,1936,0.156663647416203
"1936-2",176.923793103448,931.3,1936,0.189975081180552
"1936-3",178.178193548387,931.3,1936,0.191322016051097
"1936-4",174.857933333333,931.3,1936,0.187756827373922
"1936-5",188.336516129032,931.3,1936,0.202229696262249
"1936-6",167.1612,931.3,1936,0.179492322559863
"1936-7",159.461451612903,931.3,1936,0.171224580278002
"1936-8",146.282774193548,931.3,1936,0.157073740141252
"1936-9",129.465933333333,931.3,1936,0.139016357063603
"1937-1",205.644935483871,931.3,1937,0.22081492052386
"1937-10",141.889774193548,931.3,1937,0.152356677970094
"1937-11",165.680966666667,931.3,1937,0.177902895593973
"1937-12",188.700564516129,931.3,1937,0.202620599716664
"1937-2",215.325892857143,931.3,1937,0.231210021321962
"1937-3",199.413903225806,931.3,1937,0.214124238404173
"1937-4",195.231133333333,931.3,1937,0.209632914563871
"1937-5",172.543806451613,931.3,1937,0.185271992324292
"1937-6",160.682833333333,931.3,1937,0.172536060703676
"1937-7",153.001,931.3,1937,0.164287555030602
"1937-8",144.260096774194,931.3,1937,0.154901854154616
"1937-9",144.598266666667,931.3,1937,0.155264970113461
"1938-1",284.349,931.3,1938,0.305324814775046
"1938-10",132.435870967742,931.3,1938,0.142205380616066
"1938-11",144.7612,931.3,1938,0.155439922688715
"1938-12",154.972903225806,931.3,1938,0.166404921320527
"1938-2",255.325964285714,931.3,1938,0.274160812075286
"1938-3",193.278161290323,931.3,1938,0.207535875969422
"1938-4",204.210733333333,931.3,1938,0.219274920362218
"1938-5",177.796129032258,931.3,1938,0.190911767456521
"1938-6",166.865033333333,931.3,1938,0.179174308314542
"1938-7",161.753,931.3,1938,0.173685171265972
"1938-8",159.938580645161,931.3,1938,0.171736906093806
"1938-9",145.2544,931.3,1938,0.155969504993021
"1939-1",179.037451612903,931.3,1939,0.192244659736823
"1939-10",109.707967741935,931.3,1939,0.11780088880268
"1939-11",111.111866666667,931.3,1939,0.119308350334658
"1939-12",128.806870967742,931.3,1939,0.138308677083369
"1939-2",193.096892857143,931.3,1939,0.207341235753402
"1939-3",218.075161290323,931.3,1939,0.234162097380353
"1939-4",188.080933333333,931.3,1939,0.201955259672859
"1939-5",174.549451612903,931.3,1939,0.187425589619782
"1939-6",168.246466666667,931.3,1939,0.180657647016715
"1939-7",155.068451612903,931.3,1939,0.166507518106843
"1939-8",142.653741935484,931.3,1939,0.153177001970884
"1939-9",126.407033333333,931.3,1939,0.135731808582984
"1940-1",158.888064516129,931.3,1940,0.170608895647084
"1940-10",151.630580645161,931.3,1940,0.162816042784453
"1940-11",184.2202,931.3,1940,0.197809728336734
"1940-12",222.237290322581,931.3,1940,0.238631257728531
"1940-2",175.086137931034,931.3,1940,0.188001866134473
"1940-3",175.026709677419,931.3,1940,0.187938053986277
"1940-4",190.054533333333,931.3,1940,0.204074447904363
"1940-5",183.639548387097,931.3,1940,0.19718624330194
"1940-6",183.739033333333,931.3,1940,0.197293067038906
"1940-7",195.136580645161,931.3,1940,0.20953138692705
"1940-8",167.455903225806,931.3,1940,0.179808765409435
"1940-9",162.819333333333,931.3,1940,0.174830165718172
"1941-1",248.566129032258,931.3,1941,0.266902318299429
"1941-10",165.190612903226,931.3,1941,0.177376369486981
"1941-11",174.1674,931.3,1941,0.187015354880275
"1941-12",183.907580645161,931.3,1941,0.197474047723785
"1941-2",193.515285714286,931.3,1941,0.207790492552653
"1941-3",216.245064516129,931.3,1941,0.23219699829929
"1941-4",206.76,931.3,1941,0.222012240953506
"1941-5",237.488612903226,931.3,1941,0.255007637606814
"1941-6",192.225533333333,931.3,1941,0.206405597909732
"1941-7",192.215838709677,931.3,1941,0.206395188134519
"1941-8",170.251935483871,931.3,1941,0.182811054959595
"1941-9",164.496966666667,931.3,1941,0.176631554457926
"1942-1",191.738548387097,931.3,1942,0.205882689130352
"1942-10",163.471838709677,931.3,1942,0.175530805014149
"1942-11",167.259766666667,931.3,1942,0.179598160277748
"1942-12",170.443032258065,931.3,1942,0.183016248532229
"1942-2",179.978071428571,931.3,1942,0.193254667055268
"1942-3",188.692225806452,931.3,1942,0.20261164587829
"1942-4",275.4155,931.3,1942,0.295732309674648
"1942-5",246.934741935484,931.3,1942,0.265150587281739
