"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1832,NA,NA,24.7,NA,NA
1833,NA,NA,24.7,NA,NA
1834,NA,NA,24.7,NA,NA
1835,NA,NA,24.7,NA,NA
1836,NA,NA,24.7,NA,NA
1837,NA,NA,24.7,NA,NA
1838,NA,NA,24.7,NA,NA
1839,NA,NA,55.9,NA,NA
1840,NA,NA,55.9,NA,NA
1841,NA,NA,241.4,NA,NA
1842,NA,NA,241.4,NA,NA
1843,NA,NA,241.4,NA,NA
1844,NA,NA,241.4,NA,NA
1845,NA,NA,241.4,NA,NA
1846,NA,NA,241.4,NA,NA
1847,NA,NA,241.4,NA,NA
1848,NA,NA,241.4,NA,NA
1849,NA,NA,241.4,NA,NA
1850,NA,NA,241.4,NA,NA
1851,NA,NA,241.4,NA,NA
1852,NA,NA,327.6,NA,NA
1853,NA,NA,327.6,NA,NA
1854,NA,NA,327.6,NA,NA
1855,NA,NA,327.6,NA,NA
1856,NA,NA,327.6,NA,NA
1857,NA,NA,327.6,NA,NA
1858,NA,NA,327.6,NA,NA
1859,NA,NA,327.6,NA,NA
1860,NA,NA,327.6,NA,NA
1861,NA,NA,327.6,NA,NA
1862,NA,NA,327.6,NA,NA
1863,NA,NA,327.6,NA,NA
1864,NA,NA,327.6,NA,NA
1865,NA,NA,327.6,NA,NA
1866,NA,NA,327.6,NA,NA
1867,NA,NA,327.6,NA,NA
1868,NA,NA,327.6,NA,NA
1869,NA,NA,327.6,NA,NA
1870,NA,NA,327.6,NA,NA
1871,NA,NA,327.6,NA,NA
1872,NA,NA,348,NA,NA
1873,NA,NA,348,NA,NA
1874,NA,NA,348,NA,NA
1875,NA,NA,348,NA,NA
1876,NA,NA,348,NA,NA
1877,NA,NA,348,NA,NA
1878,NA,NA,348,NA,NA
1879,NA,NA,348,NA,NA
1880,NA,NA,348,NA,NA
1881,NA,NA,348,NA,NA
1882,NA,NA,348,NA,NA
1883,NA,NA,348,NA,NA
1884,NA,NA,348,NA,NA
1885,NA,NA,348,NA,NA
1886,NA,NA,348,NA,NA
1887,NA,NA,348,NA,NA
1888,NA,NA,348,NA,NA
1889,NA,NA,348,NA,NA
1890,NA,NA,348,NA,NA
1891,NA,NA,348,NA,NA
1892,NA,NA,348,NA,NA
1893,NA,NA,348,NA,NA
1894,NA,NA,348,NA,NA
1895,NA,NA,348,NA,NA
1896,NA,NA,348,NA,NA
1897,NA,NA,348,NA,NA
1898,NA,NA,348,NA,NA
1899,NA,NA,348,NA,NA
1900,NA,NA,348,NA,NA
1901,0,NA,348,NA,NA
1902,0,NA,348,NA,NA
1903,0,NA,348,NA,NA
1904,0,NA,348,NA,NA
1905,0,NA,348,NA,NA
1906,0,NA,348,NA,NA
1907,0,NA,348,NA,NA
1908,0,NA,348,NA,NA
1909,0,NA,348,NA,NA
1910,0,NA,348,NA,NA
1911,0,NA,348,NA,NA
1912,0,NA,348,NA,NA
1913,0,NA,348,NA,NA
1914,0,NA,348,NA,NA
1915,0,NA,348,NA,NA
1916,0,NA,467.4,NA,NA
1917,0,NA,467.4,NA,NA
1918,0,NA,467.4,NA,NA
1919,0,NA,467.4,NA,NA
1920,0,NA,467.4,NA,NA
1921,0,NA,467.4,NA,NA
1922,0,NA,467.4,NA,NA
1923,0,NA,487.6,NA,NA
1924,0,NA,528.3,NA,NA
1925,0,NA,1041.5,NA,NA
1926,0,NA,1130.7,NA,NA
1927,0,NA,1130.7,NA,NA
1928,0,NA,1130.7,NA,NA
1929,0,NA,1130.7,NA,NA
1930,0,NA,1130.7,NA,NA
1931,0,NA,1130.7,NA,NA
1932,0,NA,1207.2,NA,NA
1933,0,NA,1756.1,NA,NA
1934,0,NA,1756.1,NA,NA
1935,0,NA,1756.1,NA,NA
1936,0,NA,1981.6,NA,NA
1937,0,NA,2364.2,NA,NA
1938,0,61.9,2802.1,0,NA
1939,23.5035260273973,61.9,3088.3,0.379701551331135,NA
1940,22.0872295081967,61.9,3088.3,0.356821155221272,NA
1941,15.0826794520548,61.9,3204.2,0.243662026689092,NA
1942,16.8116465753425,61.9,3204.2,0.271593644189701,NA
1943,19.1689397260274,61.9,5404.154,0.309675924491557,NA
1944,15.1002131147541,61.9,6070.154,0.243945284567918,NA
1945,15.5291205479452,61.9,6070.154,0.250874322260827,NA
1946,1464.22970806363,2089.154,6070.154,0.700872079350601,NA
1947,1529.47234520548,2089.154,6100.954,0.732101293253384,NA
1948,1550.5588579235,4565.363,8739.963,0.339635393269604,NA
