"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1825,NA,NA,27.1,NA,NA
1826,NA,NA,27.1,NA,NA
1827,NA,NA,27.1,NA,NA
1828,NA,NA,27.1,NA,NA
1829,NA,NA,27.1,NA,NA
1830,NA,NA,27.1,NA,NA
1831,NA,NA,27.1,NA,NA
1832,NA,NA,27.1,NA,NA
1833,NA,NA,27.1,NA,NA
1834,NA,NA,27.1,NA,NA
1835,NA,NA,27.1,NA,NA
1836,NA,NA,27.1,NA,NA
1837,NA,NA,27.1,NA,NA
1838,NA,NA,27.1,NA,NA
1839,NA,NA,27.1,NA,NA
1840,NA,NA,27.1,NA,NA
1841,NA,NA,27.1,NA,NA
1842,NA,NA,27.1,NA,NA
1843,NA,NA,27.1,NA,NA
1844,NA,NA,27.1,NA,NA
1845,NA,NA,27.1,NA,NA
1846,NA,NA,27.1,NA,NA
1847,NA,NA,27.1,NA,NA
1848,NA,NA,27.1,NA,NA
1849,NA,NA,27.1,NA,NA
1850,NA,NA,27.1,NA,NA
1851,NA,NA,27.1,NA,NA
1852,NA,NA,27.1,NA,NA
1853,NA,NA,27.1,NA,NA
1854,NA,NA,27.1,NA,NA
1855,NA,NA,27.1,NA,NA
1856,NA,NA,27.1,NA,NA
1857,NA,NA,27.1,NA,NA
1858,NA,NA,27.1,NA,NA
1859,NA,NA,27.1,NA,NA
1860,NA,NA,27.1,NA,NA
1861,NA,NA,27.1,NA,NA
1862,NA,NA,27.1,NA,NA
1863,NA,NA,27.1,NA,NA
1864,NA,NA,27.1,NA,NA
1865,NA,NA,27.1,NA,NA
1866,NA,NA,27.1,NA,NA
1867,NA,NA,27.1,NA,NA
1868,NA,NA,27.1,NA,NA
1869,NA,NA,27.1,NA,NA
1870,NA,NA,27.1,NA,NA
1871,NA,NA,27.1,NA,NA
1872,NA,NA,27.1,NA,NA
1873,NA,NA,27.1,NA,NA
1874,NA,NA,27.1,NA,NA
1875,NA,NA,27.1,NA,NA
1876,NA,NA,27.1,NA,NA
1877,NA,NA,27.1,NA,NA
1878,NA,NA,27.1,NA,NA
1879,NA,NA,27.1,NA,NA
1880,NA,NA,27.1,NA,NA
1881,NA,NA,27.1,NA,NA
1882,NA,NA,27.1,NA,NA
1883,NA,NA,27.1,NA,NA
1884,NA,NA,27.1,NA,NA
1885,NA,NA,27.1,NA,NA
1886,NA,NA,27.1,NA,NA
1887,NA,NA,27.1,NA,NA
1888,NA,NA,27.1,NA,NA
1889,NA,NA,27.1,NA,NA
1890,NA,NA,27.1,NA,NA
1891,NA,NA,27.1,NA,NA
1892,NA,NA,27.1,NA,NA
1893,NA,NA,27.1,NA,NA
1894,NA,NA,27.1,NA,NA
1895,NA,NA,27.1,NA,NA
1896,NA,NA,27.1,NA,NA
1897,NA,NA,27.1,NA,NA
1898,NA,NA,27.1,NA,NA
1899,NA,NA,27.1,NA,NA
1900,NA,NA,49.6,NA,NA
1901,NA,NA,49.6,NA,NA
1902,NA,NA,49.6,NA,NA
1903,NA,NA,49.6,NA,NA
1904,NA,NA,49.6,NA,NA
1905,NA,NA,49.6,NA,NA
1906,NA,NA,49.6,NA,NA
1907,NA,NA,49.6,NA,NA
1908,NA,NA,49.6,NA,NA
1909,NA,NA,102.9,NA,NA
1910,NA,NA,120.4,NA,NA
1911,NA,NA,252.4,NA,NA
1912,NA,NA,384.3,NA,NA
1913,NA,NA,384.3,NA,NA
1914,NA,NA,750.7,NA,NA
1915,NA,NA,783.3,NA,NA
1916,NA,NA,857.3,NA,NA
1917,NA,NA,1033.4,NA,NA
1918,NA,NA,1033.4,NA,NA
1919,NA,NA,1713.3,NA,NA
1920,NA,NA,1736,NA,NA
1921,NA,NA,1736,NA,NA
1922,NA,NA,1736,NA,NA
1923,NA,NA,2057.9,NA,NA
1924,NA,NA,2076,NA,NA
1925,NA,NA,2553,NA,NA
1926,NA,NA,4783.1,NA,NA
1927,NA,NA,5325.7,NA,NA
1928,NA,NA,6178.3,NA,NA
1929,NA,NA,6178.3,NA,NA
1930,0,NA,9070.9,NA,NA
1931,0,NA,9070.9,NA,NA
1932,0,NA,9070.9,NA,NA
1933,0,NA,9070.9,NA,NA
1934,0,NA,9070.9,NA,NA
1935,0,NA,9092.6,NA,NA
1936,0,NA,9092.6,NA,NA
1937,0,NA,9092.6,NA,NA
1938,0,NA,9092.6,NA,NA
1939,0,NA,9092.6,NA,NA
1940,0,NA,9440,NA,NA
1941,0,NA,9440,NA,NA
1942,0,NA,12326.4,NA,NA
