"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1876,NA,NA,30.5,NA,NA
1877,NA,NA,30.5,NA,NA
1878,NA,NA,45.4,NA,NA
1879,NA,NA,45.4,NA,NA
1880,NA,NA,45.4,NA,NA
1881,NA,NA,45.4,NA,NA
1882,NA,NA,45.4,NA,NA
1883,NA,NA,45.4,NA,NA
1884,NA,NA,1637.738,NA,NA
1885,0,NA,2476.538,NA,NA
1886,0,NA,2708.038,NA,NA
1887,0,NA,2708.038,NA,NA
1888,0,NA,2708.038,NA,NA
1889,0,NA,2708.038,NA,NA
1890,0,NA,2708.038,NA,NA
1891,0,NA,2708.038,NA,NA
1892,0,NA,2708.038,NA,NA
1893,0,NA,2708.038,NA,NA
1894,0,NA,2708.038,NA,NA
1895,0,NA,2805.938,NA,NA
1896,0,NA,2805.938,NA,NA
1897,0,NA,2805.938,NA,NA
1898,0,NA,2805.938,NA,NA
1899,0,NA,2805.938,NA,NA
1900,363.367395604396,1773.738,2805.938,0.204859678038355,NA
1901,828.84204109589,1773.738,2805.938,0.467285495995401,NA
1902,716.929463013699,1773.738,2805.938,0.404191297144053,NA
1903,691.713583561644,1773.738,2805.938,0.389975060331145,NA
1904,1024.99342896175,1773.738,2805.938,0.57787194555326,NA
1905,1253.82641369863,1773.738,2823.738,0.70688366246798,NA
1906,1308.74716164384,1773.738,2823.738,0.737846943372604,NA
1907,1216.61950684932,1773.738,2880.438,0.685907110773584,NA
1908,1106.80033879781,1773.738,3035.738,0.623993136978412,NA
1909,1094.39994794521,1773.738,3035.738,0.61700203070871,NA
1910,1099.21106575342,1773.738,3096.838,0.619714448105315,NA
1911,798.653882191781,1773.738,3180.738,0.450265981893482,NA
1912,817.439535359579,1866.638,3322.938,0.437920762011477,NA
1913,677.996178082192,1866.638,3506.623012,0.363217816246209,NA
1914,907.023887671233,1866.638,3744.923012,0.485913116346733,NA
1915,1204.97337808219,1866.638,3744.923012,0.645531366061439,NA
1916,1401.39653278689,1866.638,3777.323012,0.750759672087938,NA
1917,1270.05132054795,1866.638,3846.423012,0.680395084932346,NA
1918,578.140383561644,1866.638,3846.423012,0.309722819079888,NA
1919,501.005093150685,1866.638,3889.623012,0.268399707469089,NA
1920,861.070278688525,1866.638,3957.623012,0.461294733466545,NA
1921,967.822608219178,1866.638,3957.623012,0.518484359698655,NA
1922,970.052547945206,1866.638,4028.623012,0.519678988612257,NA
1923,714.144032876712,1866.638,4332.023012,0.382583035852004,NA
1924,424.510379781421,1866.638,4332.023012,0.227419767400761,NA
1925,416.821167123288,1866.638,4529.023012,0.223300483073466,NA
1926,451.144531506849,1866.638,4848.123012,0.241688282091573,NA
1927,803.909769863014,1866.638,4930.923012,0.43067256204096,NA
1928,821.991491803279,1866.638,4930.923012,0.440359347556023,NA
1929,882.637482191781,1866.638,4930.923012,0.472848769923135,NA
1930,498.305432876712,1866.638,5004.423012,0.26695343868319,NA
1931,312.428463013699,1866.638,5031.523012,0.167374961301387,NA
1932,456.88943715847,1866.638,5086.923012,0.244765957383526,NA
1933,542.202443835616,1866.638,5211.723012,0.290470055702079,NA
1934,511.925493150685,1866.638,5211.723012,0.274250011598759,NA
1935,548.369101369863,1866.638,5269.423012,0.293773672972404,NA
1936,712.141663934426,1866.638,5967.023012,0.381510321730526,NA
1937,808.013216438356,1866.638,7041.123012,0.432870870751777,NA
1938,1179.71067945205,1866.638,7890.523012,0.631997569669135,NA
1939,1110.01386575342,1866.638,8203.023012,0.594659417494675,NA
1940,1062.95147180328,2018.138,8649.223012,0.526699101747888,NA
1941,1130.93375068493,2018.138,8660.423012,0.560384746080264,NA
1942,1252.86416438356,2018.138,8936.723012,0.620802028594458,NA
1943,1311.77013150685,2018.138,8936.723012,0.649990303689267,NA
1944,1295.33805327869,2018.138,8936.723012,0.641848106164538,NA
1945,1292.77085205479,2018.138,8936.723012,0.640576041903376,NA
1946,1124.30321643836,2018.138,8960.223012,0.557099274895154,NA
1947,1209.05414246575,2018.138,8960.223012,0.599093888755751,NA
1948,1161.01725136612,2018.138,8960.223012,0.575291308803521,NA
1949,1109.4003890411,2018.138,9685.123012,0.549714830720742,NA
1950,1347.42389589041,2018.138,9973.523012,0.667656966912278,0.072983728
1951,1221.89648493151,2018.138,10031.723012,0.605457349760773,0.201701334
1952,1214.13299726776,2018.138,10031.723012,0.601610493072208,0.149010032
1953,1152.19090684932,2018.138,10031.723012,0.570917799897388,-0.334989633
1954,1173.44173424658,2018.138,10031.723012,0.581447717770824,-0.255740157
1955,1145.87401643836,2018.138,10031.723012,0.567787741194287,-0.263341122
1956,1144.28591530055,2018.138,10031.723012,0.56700082714886,-0.585854301
1957,1184.50667123288,2018.138,10063.823012,0.586930463245267,-0.363165896
1958,1076.40662789904,2587.038,10632.723012,0.416076852330365,-0.596505622
1959,1098.5843260274,2587.038,10830.123012,0.424649474042282,-0.277722138
1960,1227.0783647541,2587.038,10990.723012,0.474317874246184,0.23378713
1961,1141.14896438356,2587.038,11044.423012,0.441102513524564,-0.299978967
1962,1265.1764739726,2587.038,11079.323012,0.489044410624275,0.231338916
1963,1144.51035342466,2587.038,11104.423012,0.442401833071125,-0.741520543
1964,1176.30526502732,2587.038,11399.323012,0.454691916016434,-0.58943569
1965,1238.01323561644,2587.038,11399.323012,0.47854466599116,0.171621951
1966,1283.48770136986,2587.038,13025.248426,0.496122477277049,-0.009894835
1967,1172.20209041096,2587.038,13133.948426,0.453105864858173,-0.133108535
1968,1151.87173224044,2587.038,13178.748426,0.44524731845471,-0.1174121
1969,1743.73502093432,4758.438,15504.448426,0.366451138153805,0.256630793
1970,1272.35806027397,4758.438,16802.248426,0.267389857821826,-0.235954727
