"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1911,NA,NA,104.8,NA,NA
1912,NA,NA,104.8,NA,NA
1913,NA,NA,104.8,NA,NA
1914,NA,NA,104.8,NA,NA
1915,NA,NA,104.8,NA,NA
1916,NA,NA,104.8,NA,NA
1917,NA,NA,104.8,NA,NA
1918,NA,NA,104.8,NA,NA
1919,NA,NA,104.8,NA,NA
1920,NA,NA,104.8,NA,NA
1921,NA,NA,104.8,NA,NA
1922,NA,NA,104.8,NA,NA
1923,NA,NA,104.8,NA,NA
1924,NA,NA,104.8,NA,NA
1925,NA,NA,145.9,NA,NA
1926,NA,NA,145.9,NA,NA
1927,NA,NA,145.9,NA,NA
1928,NA,NA,145.9,NA,NA
1929,NA,NA,145.9,NA,NA
1930,NA,NA,145.9,NA,NA
1931,NA,NA,145.9,NA,NA
1932,NA,NA,384.9,NA,NA
1933,NA,NA,384.9,NA,NA
1934,NA,NA,384.9,NA,NA
1935,NA,NA,384.9,NA,NA
1936,NA,NA,384.9,NA,NA
1937,NA,NA,384.9,NA,NA
1938,NA,NA,474.2,NA,NA
1939,0,NA,474.2,NA,NA
1940,0,NA,4194.4,NA,NA
1941,47.5312131147541,1399.5,5593.9,0.0339629961520215,NA
1942,94.3698931506849,1399.5,5684,0.0674311490894497,NA
1943,136.146652054795,1399.5,7390.9,0.0972823523078203,NA
1944,112.290169398907,1399.5,7390.9,0.0802359195419129,NA
1945,286.659789041096,1399.5,7390.9,0.20483014579571,NA
1946,112.74437260274,1399.5,7390.9,0.0805604663113539,NA
1947,99.1368767123288,1399.5,7420.5,0.0708373538494668,NA
1948,104.386519125683,1399.5,7617.9,0.074588438103382,NA
1949,123.272230136986,1399.5,7617.9,0.0880830511875572,NA
1950,138.193257534247,1399.5,8700.419,0.0987447356443348,0.422266701
1951,113.142928767123,1399.5,8700.419,0.080845250994729,-0.247646378
1952,112.236390710383,1399.5,10208.119,0.0801974924690122,-0.473420158
1953,93.0218876712329,1399.5,14998.919,0.0664679440308917,-0.167838511
1954,80.7526219178082,1399.5,18356.619,0.0577010517454864,-0.850805033
1955,99.1664876712329,1399.5,18356.619,0.0708585120909131,-0.068833518
1956,90.4434207650273,1399.5,18356.619,0.064625523947858,-0.57424991
1957,153.124065753425,1399.5,18356.619,0.109413408898481,0.171460397
1958,145.306904109589,1399.5,18356.619,0.103827727123679,0.590397088
1959,126.612583561644,1399.5,18542.419,0.0904698703548723,-0.116123235
1960,603.846597602808,5119.7,18542.419,0.117945699475127,-0.361171793
1961,3787.05336074063,13116.2,18909.319,0.288730986165248,0.273917972
1962,4620.19572576647,14613,18909.319,0.316170240591697,0.028574584
1963,2978.40358082192,14613,18932.319,0.203818762801746,-0.857011165
1964,3893.20285632803,16319.9,18932.319,0.238555558326217,-0.217113254
1965,3738.47533424658,16319.9,18932.319,0.229074647163682,-0.286186402
1966,3339.79016712329,16319.9,19179.019,0.204645259292231,-0.109320377
1967,3291.50653972603,16319.9,19215.419,0.201686685563394,-0.270420052
1968,4472.25271038251,16319.9,19215.419,0.274036771694834,-0.082229434
1969,4531.78303287671,16319.9,20914.019,0.277684485375322,-0.089485252
1970,4627.94049589041,16319.9,20914.019,0.283576522888646,-0.20052129
1971,4094.29982191781,16319.9,20914.019,0.250877751819423,-0.104120495
1972,5380.57997014479,19101.019,21016.919,0.281690729177579,-0.178664296
1973,7678.50981643836,19101.019,21016.919,0.401994774019038,0.785146351
1974,7044.88869589041,19101.019,21016.919,0.368822663120246,0.768961256
1975,6385.03704657534,19101.019,21016.919,0.334277299372109,0.703610048
1976,5704.05946448087,19101.019,21036.819,0.29862592485149,-0.374997413
1977,5514.87429863014,19101.019,21036.819,0.28872147075662,-0.288174321
1978,5922.06830958904,19101.019,21036.819,0.310039391594189,0.102137061
1979,7038.93109041096,19101.019,21036.819,0.3685107632431,0.673317841
1980,6654.06465300546,19101.019,21036.819,0.348361762951257,0.072179181
1981,5254.31441917808,19101.019,21036.819,0.275080320017381,-0.493671814
1982,5398.92057534247,19101.019,21036.819,0.282650919060521,-0.295013344
1983,7973.89066027397,19101.019,21036.819,0.417458914640835,0.805850229
1984,5889.5392431694,19101.019,21036.819,0.308336389967959,0.145375707
1985,5512.8350630137,19101.019,21036.819,0.288614710189739,0.065259726
1986,4995.31536986301,19101.019,21232.919,0.26152088377395,-0.477692804
1987,5301.90672054795,19101.019,21232.919,0.277571930615217,0.14679835
1988,5081.28347814208,19101.019,21232.919,0.266021591735084,-0.205118979
1989,6792.96779452055,19101.019,21260.819,0.355633790768992,0.689667797
1990,6370.89741917808,19101.019,21260.819,0.333537044237173,-0.039810367
1991,7200.95710410959,19101.019,21260.819,0.376993348056959,0.808826631
1992,5678.7781284153,19101.019,21260.819,0.29730236530393,0.184589046
1993,5384.83180821918,19101.019,21305.019,0.281913326625097,0.005330196
1994,5917.96654794521,19101.019,21305.019,0.309824651132236,0.259883688
1995,5693.42335616438,19101.019,21305.019,0.298069090249289,0.120792
1996,5369.88953005464,19101.019,21305.019,0.281131050131652,-0.214722719
1997,6289.62252876712,19101.019,21305.019,0.329282041380469,0.552919057
1998,5497.20153424658,19101.019,21305.019,0.287796244495991,0.043787519
1999,5638.68617260274,19101.019,21305.019,0.295203422006058,-0.16007792
2000,5274.22049180328,19101.019,21305.019,0.276122467173258,-0.909648701
2001,5486.75689589041,19101.019,21305.019,0.287249433964251,0.134918267
2002,7022.58946575342,19101.019,21305.019,0.367655226443858,0.379167837
2003,6412.77627123288,19101.019,21305.019,0.33572953732117,0.497251267
2004,5570.54505737705,19101.019,21305.019,0.291636014674246,0.22075968
2005,5672.08733424658,19101.019,21305.019,0.296952080632273,0.054726162
2006,4971.62092328767,19101.019,21305.019,0.260280403013456,-0.700879712
2007,4954.36822739726,19101.019,21305.019,0.259377168694364,-0.188878813
2008,5538.11957650273,19101.019,21305.019,0.289938436085673,0.017779969
2009,5784.73362465753,19101.019,21305.019,0.302849477541357,0.070483253
2010,6450.95730136986,19101.019,21305.019,0.337728437491731,0.035536749
2011,5230.94446849315,19101.019,21305.019,0.273856827664176,-0.538843194
2012,4972.40455737705,19101.019,21305.019,0.260321428787493,0.037577216
2013,5427.03488767123,19101.019,21305.019,0.2841227940599,NA
2014,5407.53789041096,19101.019,21305.019,0.283102063319813,NA
2015,5663.96535342466,19101.019,21305.019,0.296526868719656,NA
2016,5757.07273224044,19101.019,21305.019,0.301401340537928,NA
2017,5000.96698356164,19101.019,21305.019,0.261816763993672,NA
2018,5834.07835890411,19101.019,21305.019,0.305432833656891,NA
2019,6773.2867109589,19101.019,21305.019,0.354603422516825,NA
2020,4842.08469746377,1399.5,21305.019,3.4598675937576,NA
2021,NA,0,21305.019,NA,NA
