"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1869,NA,NA,NA,NA,NA
1870,0,NA,NA,NA,NA
1871,0,NA,NA,NA,NA
1872,0,NA,NA,NA,NA
1873,0,NA,NA,NA,NA
1874,0,NA,NA,NA,NA
1875,0,NA,NA,NA,NA
1876,0,NA,NA,NA,NA
1877,0,NA,NA,NA,NA
1878,0,NA,NA,NA,NA
1879,0,NA,NA,NA,NA
1880,0,NA,NA,NA,NA
1881,0,NA,NA,NA,NA
1882,0,NA,13.7,NA,NA
1883,0,NA,13.7,NA,NA
1884,0,NA,13.7,NA,NA
1885,0,NA,13.7,NA,NA
1886,0,NA,13.7,NA,NA
1887,0,NA,13.7,NA,NA
1888,0,NA,13.7,NA,NA
1889,0,NA,13.7,NA,NA
1890,0,NA,13.7,NA,NA
1891,0,NA,13.7,NA,NA
1892,0,NA,13.7,NA,NA
1893,0,NA,65.3,NA,NA
1894,0,NA,84.6,NA,NA
1895,0,NA,84.6,NA,NA
1896,0,NA,84.6,NA,NA
1897,0,NA,84.6,NA,NA
1898,0,NA,97.6,NA,NA
1899,0,NA,123.6,NA,NA
1900,0,NA,255.6,NA,NA
1901,0,NA,448.7,NA,NA
1902,0,NA,448.7,NA,NA
1903,0,NA,483.7,NA,NA
1904,0,NA,483.7,NA,NA
1905,0,NA,672,NA,NA
1906,0,NA,672,NA,NA
1907,0,NA,723.9,NA,NA
1908,0,NA,907.1,NA,NA
1909,0,NA,3297.526,NA,NA
1910,0,NA,3674.726,NA,NA
1911,0,NA,3874.126,NA,NA
1912,0,NA,4111.726,NA,NA
1913,0,NA,4179.226,NA,NA
1914,0,NA,4368.826,NA,NA
1915,0,NA,5017.126,NA,NA
1916,0,NA,5017.126,NA,NA
1917,0,NA,5017.126,NA,NA
1918,0,NA,5394.526,NA,NA
1919,0,NA,5394.526,NA,NA
1920,0,NA,5394.526,NA,NA
1921,0,NA,5394.526,NA,NA
1922,0,NA,5411.826,NA,NA
1923,0,NA,5411.826,NA,NA
1924,0,NA,5425.926,NA,NA
1925,0,NA,5512.326,NA,NA
1926,0,NA,5700.126,NA,NA
1927,0,NA,5726.026,NA,NA
1928,0,NA,5886.726,NA,NA
1929,0,NA,5886.726,NA,NA
1930,42.8607802197802,122.2,5944.326,0.35074288232226,NA
1931,15.8552,122.2,9246.326,0.129747954173486,NA
1932,48.9825,122.2,9441.226,0.400838788870704,NA
1933,80.0766410958904,122.2,9463.826,0.65529166199583,NA
1934,87.3878273972603,122.2,9651.326,0.715121337129789,NA
1935,77.2696767123288,122.2,9779.926,0.632321413357846,NA
1936,55.8083606557377,122.2,9797.426,0.456696895709801,NA
1937,32.6185178082192,122.2,10314.657,0.266927314306213,NA
1938,45.0264657534247,122.2,11814.157,0.368465349864359,NA
1939,75.6113095890411,122.2,12070.757,0.618750487635361,NA
1940,59.0273961748634,122.2,12096.757,0.483039248566804,NA
1941,134.029349947313,2466.6,14865.257,0.0543376915378711,NA
1942,715.857356927091,2565.4,14945.557,0.279043173355847,NA
1943,1152.75329041096,2565.4,14945.557,0.449346413974803,NA
1944,1001.01226502732,2565.4,14945.557,0.390197343504842,NA
1945,1109.78695342466,5308.731,14981.057,0.209049385516926,NA
1946,2633.84649863014,5406.431,15000.986,0.487169169204256,NA
1947,3000.90538799836,5533.331,15000.986,0.542332527730288,NA
1948,3876.78813661202,5533.331,16333.169,0.70062465748245,NA
1949,4022.54023187817,6882.731,16877.247,0.584439553409565,NA
1950,4513.00509549257,6931.131,16968.247,0.651121021301223,-0.012014715
1951,4883.34664520548,9938.487,19349.304,0.491357149755841,0.071722105
1952,5724.81355327869,10976.916,21080.159,0.521532054474926,-0.010004416
1953,6629.92026351663,13781.215,56576.87048,0.481083871307183,-0.325929055
1954,6861.36699660796,13920.905,56755.32748,0.492882251305354,-0.349173122
1955,6688.4143739726,15851.805,59343.92748,0.421933929541311,-0.368835711
1956,6695.71576942267,16018.005,59483.89948,0.418011841638373,-0.664197394
1957,7549.25289388079,17261.707,83979.90148,0.437341040134721,-0.085736652
1958,9095.82375534404,17261.707,84661.40148,0.526936516495387,0.050765164
1959,8812.02874691781,20045.707,87555.90148,0.439596804788068,-0.364178614
1960,8555.9231070862,20847.507,88372.00148,0.410405095778896,-0.062635684
1961,7417.30598767123,20868.707,88687.90148,0.355427194778825,-0.39517775
1962,8565.19302328767,21384.307,89021.60148,0.400536385083121,0.373777098
1963,10392.0212280061,22641.272,92966.46648,0.458985750800842,-0.162686331
1964,9731.02105511998,22879.372,93090.16648,0.425318538250088,-0.209649666
1965,10256.3381051633,26052.272,96263.06648,0.39368305786011,0.160877512
1966,11388.4126013699,26052.272,125694.36648,0.43713702211346,-0.382496068
1967,77196.8521854821,112844.872,126891.86648,0.684097122157949,-0.06102141
1968,83322.2891038251,115096.872,130093.07548,0.723931829388249,-0.129086738
1969,86876.4584870499,115247.672,131042.87548,0.753823977347238,0.264723264
1970,85915.4840091625,115715.072,131502.97548,0.742474446277513,-0.174896646
1971,89008.0415735256,116664.872,131624.47548,0.76293780679351,0.036700059
1972,89292.4023661202,116664.872,131773.57548,0.765375222510168,0.229136082
1973,87748.6330027397,116664.872,132227.17548,0.752142710127344,0.298263089
1974,86979.2637486109,116888.972,132482.47548,0.744118647468394,0.117836889
1975,89307.4667482169,117326.872,132838.77548,0.761185099592674,0.157876795
1976,89300.4165351801,119469.508,133016.37548,0.747474548360742,-0.189007325
1977,82400.6502918428,126114.608,139926.97548,0.653379109673344,-0.234693126
1978,83620.8112210235,126626.108,139952.97548,0.660375751428951,0.489116485
1979,89828.9096157356,126930.208,140257.07548,0.707703162479145,0.125917227
1980,86681.4020614664,127051.108,140521.37548,0.682256167820799,-0.394133789
1981,79923.6854184719,127248.508,140718.77548,0.628091336194463,-0.172664399
1982,82099.8583449749,127248.508,140833.27548,0.645193092126274,0.387523807
1983,91683.0243446357,127248.508,140866.87548,0.720503727592906,0.306317413
1984,92182.3999209587,127441.508,140907.17548,0.723331050986612,0.19487106
1985,87386.5437636297,127578.708,140965.07548,0.684961817951861,-0.060246727
1986,86637.5655424945,128437.108,141267.07548,0.674552447432049,0.480700732
1987,91098.1811122356,128463.108,141267.07548,0.709138853407124,0.333387532
1988,81368.3453913934,128660.408,141300.27548,0.632427229605812,-0.649420651
1989,69362.9255441807,128778.508,141300.27548,0.538621906880461,-0.300816861
1990,66815.5243983557,128971.508,141407.07548,0.518064225459438,-0.036588755
1991,65658.6660544004,129007.008,141407.07548,0.508954258162474,-0.081433779
1992,67562.6617024346,129007.008,141407.07548,0.52371311256544,0.064906773
1993,73921.8359579181,129389.308,141407.07548,0.571313326429709,0.719523057
1994,88311.3822164384,129389.308,141407.07548,0.682524573177548,-0.171278872
1995,88850.8781604054,129389.308,141443.97548,0.686694129011073,0.512092127
1996,93019.7965079562,129389.308,141443.97548,0.718914089160723,-0.037172642
1997,94629.3088393571,129547.208,141443.97548,0.730461970584168,0.233954039
1998,91134.7019662101,129547.208,141443.97548,0.703486423005041,0.263935813
1999,92014.2129983357,129547.208,141443.97548,0.710275539078663,0.500846101
2000,86153.6533924464,129547.208,141443.97548,0.665036743921539,-0.449735745
2001,77914.3621122523,129547.208,141443.97548,0.601436058060412,0.096666366
2002,72584.0985700754,129547.208,141443.97548,0.560290720970809,-0.644965047
2003,65150.653256164,129547.208,141443.97548,0.502910516266503,-0.256424078
2004,59033.9856342445,129547.208,141443.97548,0.455694773709399,-0.078895368
2005,56901.1254643579,129589.108,141443.97548,0.439088796446982,0.101483592
2006,57071.1273989145,129589.108,141443.97548,0.440400650021563,-0.315708809
2007,56832.5249551935,129589.108,141443.97548,0.438559427040685,0.332586342
2008,61843.8844886477,129589.108,141443.97548,0.477230574722744,0.174108552
2009,76750.6789519959,129753.208,141443.97548,0.591512765927112,0.392616021
2010,88737.4541143212,130246.808,141443.97548,0.681302332678442,0.599327946
2011,93628.8204136986,130246.808,141443.97548,0.718856929021237,0.470451204
2012,85444.3493060446,130246.808,141443.97548,0.656018758678866,-0.45343043
2013,75340.4296340803,130246.808,141443.97548,0.578443577934595,NA
2014,81193.9615305563,130246.808,141443.97548,0.623385423238597,NA
2015,87851.8898709462,130246.808,141443.97548,0.674503208331571,NA
2016,87122.0180612803,130246.808,141443.97548,0.668899448662728,NA
2017,88008.8074851272,130216.608,141443.97548,0.675864690663169,NA
2018,90178.891953653,130216.608,141443.97548,0.692529880317977,NA
2019,93927.101293662,125531.966,141443.97548,0.748232536194502,NA
2020,86910.9716301041,124825.866,141443.97548,0.696257710161643,NA
2021,NA,139.69,141443.97548,NA,NA
