"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1896,NA,NA,115.1,NA,NA
1897,NA,NA,115.1,NA,NA
1898,NA,NA,115.1,NA,NA
1899,NA,NA,115.1,NA,NA
1900,NA,NA,168.3,NA,NA
1901,NA,NA,168.3,NA,NA
1902,NA,NA,168.3,NA,NA
1903,NA,NA,168.3,NA,NA
1904,NA,NA,273.1,NA,NA
1905,NA,NA,273.1,NA,NA
1906,NA,NA,273.1,NA,NA
1907,NA,NA,273.1,NA,NA
1908,NA,NA,337.5,NA,NA
1909,NA,NA,337.5,NA,NA
1910,NA,NA,354.2,NA,NA
1911,NA,NA,354.2,NA,NA
1912,NA,NA,354.2,NA,NA
1913,NA,NA,481.2,NA,NA
1914,NA,NA,1412.5,NA,NA
1915,NA,NA,1412.5,NA,NA
1916,NA,NA,1412.5,NA,NA
1917,NA,NA,1412.5,NA,NA
1918,NA,NA,1533.38104,NA,NA
1919,NA,NA,1571.78104,NA,NA
1920,NA,NA,1571.78104,NA,NA
1921,NA,NA,1608.68104,NA,NA
1922,NA,NA,1713.68104,NA,NA
1923,NA,NA,3030.48104,NA,NA
1924,NA,NA,3208.28104,NA,NA
1925,NA,NA,3473.48104,NA,NA
1926,NA,NA,3524.58104,NA,NA
1927,NA,NA,3524.58104,NA,NA
1928,NA,NA,3556.48104,NA,NA
1929,NA,NA,3608.58104,NA,NA
1930,NA,NA,3628.48104,NA,NA
1931,NA,NA,3647.68104,NA,NA
1932,NA,931.3,3647.68104,NA,NA
1933,177.246263013699,931.3,3647.68104,0.19032133900322,NA
1934,173.772032876712,931.3,3647.68104,0.186590822373792,NA
1935,168.809109589041,931.3,3716.08104,0.181261794898573,NA
1936,166.20337704918,931.3,3779.18104,0.178463843067948,NA
1937,164.99932739726,931.3,3925.98104,0.177170973260239,NA
1938,186.707732876712,931.3,4023.58104,0.200480761169024,NA
1939,164.636071232877,931.3,4023.58104,0.176780920469104,NA
1940,161.715169398907,931.3,7625.08104,0.17364454998272,NA
1941,198.485501369863,931.3,9255.88104,0.21312735033809,NA
1942,192.533501369863,931.3,10482.02904,0.206736284086613,NA
1943,164.158915068493,931.3,11409.22904,0.176268565519696,NA
1944,242.797566757496,1345.7,20454.55204,0.180424735645014,NA
1945,1920.15030493353,3791.7,20703.75204,0.506408815289587,NA
1946,1816.08923764428,4040.9,20703.75204,0.449426919162633,NA
