"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1902,NA,NA,36.8,NA,NA
1903,NA,NA,36.8,NA,NA
1904,NA,NA,36.8,NA,NA
1905,NA,NA,70.7,NA,NA
1906,NA,NA,86.9,NA,NA
1907,NA,NA,86.9,NA,NA
1908,NA,NA,114.9,NA,NA
1909,NA,NA,114.9,NA,NA
1910,NA,NA,133.8,NA,NA
1911,NA,NA,133.8,NA,NA
1912,NA,NA,133.8,NA,NA
1913,NA,NA,133.8,NA,NA
1914,NA,NA,133.8,NA,NA
1915,NA,NA,133.8,NA,NA
1916,NA,NA,133.8,NA,NA
1917,NA,NA,133.8,NA,NA
1918,NA,NA,133.8,NA,NA
1919,NA,NA,133.8,NA,NA
1920,NA,NA,133.8,NA,NA
1921,NA,NA,133.8,NA,NA
1922,NA,NA,133.8,NA,NA
1923,NA,NA,133.8,NA,NA
1924,NA,NA,133.8,NA,NA
1925,NA,NA,165.5,NA,NA
1926,NA,NA,165.5,NA,NA
1927,NA,NA,165.5,NA,NA
1928,NA,NA,165.5,NA,NA
1929,NA,NA,165.5,NA,NA
1930,NA,NA,165.5,NA,NA
1931,NA,NA,165.5,NA,NA
1932,NA,NA,165.5,NA,NA
1933,NA,NA,165.5,NA,NA
1934,NA,NA,165.5,NA,NA
1935,NA,NA,165.5,NA,NA
1936,NA,NA,165.5,NA,NA
1937,NA,NA,340.7,NA,NA
1938,NA,NA,340.7,NA,NA
1939,NA,NA,340.7,NA,NA
1940,NA,NA,495.4,NA,NA
1941,NA,154.7,495.4,NA,NA
1942,70.4431753424658,154.7,687.623,0.45535342819952,NA
1943,66.2516219178082,154.7,687.623,0.42825870664388,NA
1944,53.922737704918,154.7,687.623,0.348563268939354,NA
1945,38.1560657534247,154.7,791.523,0.246645544624594,NA
1946,63.6161260273973,154.7,791.523,0.411222534113751,NA
1947,89.7565890410959,154.7,791.523,0.580197731358086,NA
1948,93.7533661202186,154.7,803.823,0.606033394442266,NA
1949,74.4505726027397,154.7,1470.05,0.481257741452746,NA
1950,71.1257780821918,154.7,1470.05,0.459765857027743,-0.274764686
1951,583.529401826484,1013.15,1470.05,0.575955585872264,-0.467790918
1952,640.753297814208,1013.15,1550.95,0.632436754492629,0.379120402
1953,799.403898630137,1049.65,1550.95,0.761590909951066,-0.396471595
1954,676.05034520548,1049.65,1563.75,0.644072162345048,-0.396759847
1955,481.744534246575,1049.65,1603.35,0.458957304098104,-0.344451978
1956,454.113953551913,1049.65,1603.35,0.432633690803518,-0.741493659
1957,499.639405479452,1049.65,1603.35,0.476005721411377,0.518596869
1958,813.422323287671,1180.65,1662.35,0.688961439281473,-0.133099367
1959,826.511898511018,1305.95,1787.65,0.632881732463738,-0.488438797
1960,849.353348320769,1318.25,1832.848,0.644303696810748,-0.340476065
1961,832.924809589041,1318.25,1885.248,0.631841312034167,-0.268194069
1962,1051.5204722156,8281.715,8896.813,0.126968927597195,-0.078261857
1963,1670.56601986408,40400.53,41422.704,0.0413501015918376,-0.395457112
1964,4679.0709002266,40400.53,41469.304,0.115817067256954,-0.258346856
