"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1911,NA,NA,1641.8,NA,NA
1912,NA,NA,1696.7,NA,NA
1913,NA,NA,1696.7,NA,NA
1914,NA,NA,1696.7,NA,NA
1915,NA,NA,1696.7,NA,NA
1916,NA,NA,1696.7,NA,NA
1917,NA,NA,1696.7,NA,NA
1918,NA,NA,1696.7,NA,NA
1919,NA,NA,1696.7,NA,NA
1920,NA,NA,1696.7,NA,NA
1921,NA,NA,1696.7,NA,NA
1922,NA,NA,1696.7,NA,NA
1923,NA,NA,1696.7,NA,NA
1924,NA,NA,1768.1,NA,NA
1925,NA,NA,1768.1,NA,NA
1926,NA,NA,2070.4,NA,NA
1927,NA,NA,2070.4,NA,NA
1928,NA,NA,2070.4,NA,NA
1929,NA,NA,3478.8,NA,NA
1930,NA,NA,3478.8,NA,NA
1931,NA,NA,3478.8,NA,NA
1932,NA,NA,3478.8,NA,NA
1933,NA,NA,3478.8,NA,NA
1934,NA,NA,3478.8,NA,NA
1935,0,NA,40178.8,NA,NA
1936,0,NA,40178.8,NA,NA
1937,14747.2257142857,36700,40178.8,0.401831763332036,NA
1938,18162.1049561644,37503,41228.5,0.484284056106562,NA
1939,25223.6909835616,37503,41228.5,0.672577953325378,NA
1940,25588.8114672131,37503,41228.5,0.682313720694694,NA
1941,28595.3613041096,37503,41254.5,0.762481969552025,NA
1942,31567.3335945205,37503,41254.5,0.841728224262607,NA
1943,33628.3852493151,37503,41254.5,0.896685205165322,NA
1944,31750.1924808743,37503,41254.5,0.846604071164289,NA
1945,29864.7103972603,37503,41416.7,0.796328570974596,NA
1946,28581.2285917808,37503,41416.7,0.762105127370632,NA
1947,27756.8431972603,37503,41416.7,0.740123275398242,NA
1948,30758.9457185792,37503,41416.7,0.820172938660354,NA
1949,30231.5056,37503,41416.7,0.806108993947151,NA
1950,25322.8452433638,39745.9,43659.6,0.637118425884527,-0.277867724
1951,24844.4204630137,39745.9,43659.6,0.625081340792728,-0.23524857
1952,26677.4911756223,39745.9,43659.6,0.671201084278437,0.567607557
1953,26282.1554594216,39745.9,43659.6,0.66125450573321,-0.122948663
1954,22508.4435172146,39745.9,43659.6,0.566308563077314,-0.235907776
1955,18092.0310869863,39745.9,43659.6,0.45519238681188,-0.193066174
1956,17435.1113879781,39745.9,43659.6,0.438664400302374,-0.791366042
1957,20497.4043482192,39745.9,43659.6,0.515711163873989,-0.158274325
1958,29405.5517860274,39745.9,43659.6,0.739838619480938,0.456185525
1959,28950.8634082192,39745.9,43659.6,0.72839873818983,-0.242307885
1960,27338.431079235,39745.9,43659.6,0.687830218443537,-0.028757442
1961,25712.9624958904,39745.9,43659.6,0.6469337087823,-0.1930972
1962,27619.9510520548,39745.9,43659.6,0.694913212483672,-0.247119361
1963,28815.3752821918,39745.9,43659.6,0.724989880269205,-0.181635604
1964,20707.8489781421,39745.9,43690.6,0.521005914525576,-0.010096443
1965,18023.2072986301,39745.9,43703.8,0.453460792147873,0.394246581
1966,21527.8031424658,39745.9,43703.8,0.541635820108885,0.237210198
1967,21014.0056273973,39745.9,43703.8,0.52870876310254,0.000931967
1968,20768.4093934426,39745.9,43703.8,0.522529604146406,0.450448783
1969,21741.9281452055,39745.9,43703.8,0.547023168306806,-0.064581771
1970,23097.5834547945,39745.9,43722.3,0.581131222460544,0.086012571
1971,23111.6272520548,39745.9,43722.3,0.581484561981356,-0.449474124
1972,23926.461284153,39745.9,43722.3,0.601985645919529,-0.52747806
1973,26940.9054219178,39745.9,43722.3,0.677828541356915,0.719574604
1974,26632.420690411,39745.9,43722.3,0.67006711863138,-0.649001581
1975,26865.0781917808,39745.9,43722.3,0.675920741303652,0.031589381
1976,27547.303795082,39745.9,43722.3,0.693085420007648,0.12908182
1977,28214.6394356164,39745.9,43722.3,0.709875469812394,-0.077717434
1978,28145.8696767123,39745.9,43744.5,0.708145234520097,0.509087242
1979,30093.8792383562,39745.9,43744.5,0.757156819655767,0.746774141
1980,31347.5726895118,40146.2,43744.5,0.780835363982439,0.09610387
1981,30951.2619506849,40146.2,43744.5,0.770963676529408,-0.084782537
1982,30749.7595273973,40146.2,43744.5,0.765944461179321,0.285886559
1983,33489.7411958904,40146.2,43744.5,0.834194548821318,0.799133411
1984,33198.1719795082,40201.1,43800.1,0.825802577031678,0.674131309
1985,33053.9581631322,40201.1,43800.1,0.822215266824346,0.537647657
1986,32437.8510814388,40201.1,43800.1,0.806889639374017,0.504548952
1987,32852.4862202033,41524.6,43800.1,0.791157198870147,0.23563454
1988,33178.6621694212,41524.6,43800.1,0.79901220407713,0.448518699
1989,31076.8420705516,41524.6,43800.1,0.748395940491939,-0.322216253
1990,29166.6199871241,41524.6,43800.1,0.702393761460054,-0.033576381
1991,27754.4586198545,41524.6,43800.1,0.668385935562401,0.082609239
1992,27658.0586551712,41524.6,43800.1,0.666064420973862,0.867068666
1993,29148.4778071434,41524.6,43800.1,0.701956859479523,0.245153297
1994,29015.2701710175,41524.6,43800.1,0.698748938485078,-0.187505802
1995,28074.9004814669,41524.6,43834.4,0.676102851838836,0.160653145
1996,29843.1026743354,41524.6,43834.4,0.718684892192469,-0.65936377
1997,31115.4869304012,41524.6,43847.5,0.749326590271819,-0.125386634
1998,33829.6108332923,41524.6,43847.5,0.814688421641443,0.543126336
1999,33393.3424265943,41524.6,43847.5,0.804182157723237,0.170399032
2000,32810.2876549083,41524.6,43847.5,0.790140968363532,-0.7601296
2001,29705.4819280759,41524.6,43847.5,0.715370694192742,0.354392291
2002,26163.9770419259,41524.6,43847.5,0.63008378267162,-1.19995038
2003,23306.5363502965,41524.6,43847.5,0.561270580578657,-0.056051412
2004,21341.4346094661,41524.6,43847.5,0.513946783580481,-0.183387329
2005,21776.6591776056,41524.6,43847.5,0.524427909663323,0.409248758
2006,21249.5218198144,41524.6,43847.5,0.511733329636272,-0.716678245
2007,19583.6490058587,41524.6,43847.5,0.471615596679046,-0.273614628
2008,18409.6216281421,41524.6,43847.5,0.443342539799109,-0.194446767
2009,17517.1828284328,41524.6,43847.5,0.421850730131844,-0.508937064
2010,16591.6558035182,41524.6,43847.5,0.399562086173455,-0.186117358
2011,16701.8148377274,41524.6,43847.5,0.402214948192815,-0.212826681
2012,20008.7014672131,41524.6,43847.5,0.481851756963658,0.014709412
2013,19019.1768575342,41524.6,43847.5,0.458021916105977,NA
2014,17126.6519424658,41524.6,43847.5,0.412445922235633,NA
2015,15581.0023931507,41524.6,43847.5,0.37522341920574,NA
2016,15107.0415887978,41524.6,43847.5,0.363809442807343,NA
2017,15725.1073876712,41524.6,43847.5,0.378693771587715,NA
2018,15516.2424054795,41524.6,43847.5,0.373663862035503,NA
2019,15836.3762616438,41524.6,43847.5,0.381373360890745,NA
2020,16481.1664918033,41524.6,43847.5,0.396901270374748,NA
2021,NA,39745.9,43847.5,NA,NA
