"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1870,NA,NA,23.5,NA,NA
1871,NA,NA,23.5,NA,NA
1872,NA,NA,23.5,NA,NA
1873,NA,NA,83.8,NA,NA
1874,NA,NA,83.8,NA,NA
1875,NA,NA,83.8,NA,NA
1876,NA,NA,83.8,NA,NA
1877,NA,NA,83.8,NA,NA
1878,NA,NA,83.8,NA,NA
1879,NA,NA,83.8,NA,NA
1880,NA,NA,83.8,NA,NA
1881,NA,NA,83.8,NA,NA
1882,NA,NA,97.2,NA,NA
1883,NA,NA,97.2,NA,NA
1884,NA,NA,97.2,NA,NA
1885,NA,NA,97.2,NA,NA
1886,NA,NA,97.2,NA,NA
1887,NA,NA,111.7,NA,NA
1888,NA,NA,217.3,NA,NA
1889,NA,NA,217.3,NA,NA
1890,NA,NA,470.2,NA,NA
1891,NA,NA,491.5,NA,NA
1892,NA,NA,504.2,NA,NA
1893,NA,NA,516.5,NA,NA
1894,NA,NA,516.5,NA,NA
1895,NA,NA,533.8,NA,NA
1896,NA,NA,533.8,NA,NA
1897,NA,NA,533.8,NA,NA
1898,NA,NA,533.8,NA,NA
1899,NA,NA,533.8,NA,NA
1900,NA,NA,533.8,NA,NA
1901,NA,NA,533.8,NA,NA
1902,NA,NA,533.8,NA,NA
1903,NA,NA,533.8,NA,NA
1904,NA,NA,582.5,NA,NA
1905,NA,NA,582.5,NA,NA
1906,NA,NA,582.5,NA,NA
1907,NA,NA,582.5,NA,NA
1908,NA,NA,592.8,NA,NA
1909,NA,NA,592.8,NA,NA
1910,NA,NA,1482.8,NA,NA
1911,NA,NA,1619.9,NA,NA
1912,NA,NA,1681.8,NA,NA
1913,NA,NA,1831.5,NA,NA
1914,NA,NA,1911.7,NA,NA
1915,NA,NA,1967.9,NA,NA
1916,NA,NA,2031.2,NA,NA
1917,NA,NA,2231.1,NA,NA
1918,NA,NA,2368.4,NA,NA
1919,NA,NA,2429.5,NA,NA
1920,NA,NA,2482.8,NA,NA
1921,NA,NA,3357.005,NA,NA
1922,NA,NA,3498.005,NA,NA
1923,NA,NA,4003.805,NA,NA
1924,NA,NA,4120.705,NA,NA
1925,NA,NA,4403.005,NA,NA
1926,NA,NA,4495.605,NA,NA
1927,NA,NA,6354.805,NA,NA
1928,NA,NA,6660.305,NA,NA
1929,NA,NA,6904.505,NA,NA
1930,NA,NA,6904.505,NA,NA
1931,NA,NA,7079.505,NA,NA
1932,NA,NA,7079.505,NA,NA
1933,NA,NA,7110.305,NA,NA
1934,NA,NA,7294.405,NA,NA
1935,NA,NA,7340.505,NA,NA
1936,NA,NA,7506.167,NA,NA
1937,NA,NA,7506.167,NA,NA
1938,NA,NA,7785.167,NA,NA
1939,NA,NA,7785.167,NA,NA
1940,NA,NA,7843.767,NA,NA
1941,NA,NA,8209.667,NA,NA
1942,NA,NA,8863.113,NA,NA
1943,NA,NA,8974.413,NA,NA
1944,NA,NA,8974.413,NA,NA
1945,NA,NA,14601.548,NA,NA
1946,0,NA,14639.748,NA,NA
1947,0,NA,14639.748,NA,NA
1948,0,NA,14754.448,NA,NA
1949,0,NA,14848.34781936,NA,NA
1950,0,NA,14960.94781936,NA,-0.302891247
1951,0,NA,15068.24781936,NA,-0.003046329
1952,0,NA,15134.84781936,NA,0.605926835
1953,0,NA,16074.64781936,NA,-0.019885348
1954,0,NA,17538.74781936,NA,-0.137774752
1955,325.856565420561,1263.589,18979.11544336,0.25788176805952,-0.356650796
1956,329.317090163934,1263.589,19316.51544336,0.260620415470485,0.052913107
1957,664.567866920152,3401.765,22113.41244336,0.195359722649904,-0.097566116
1958,1511.03927671233,3401.765,22588.81244336,0.444192728396091,0.912750631
1959,1864.27520273973,3401.765,23145.90044336,0.548031743150901,-0.658797221
1960,2012.5288920765,3401.765,23358.90044336,0.591613145551354,-0.491465653
1961,2007.08008767123,3401.765,23768.82744336,0.590011387521252,-0.335614862
1962,2080.3897890411,3401.765,27398.85044336,0.61156187715527,-0.193520954
1963,2694.60241640207,3707.377,29546.17026016,0.726821797837681,0.299285397
1964,2880.12951502732,3707.377,29731.30939544,0.776864482632147,-0.087651008
1965,5750.4183823373,6940.736,30676.33839544,0.828502680744131,0.295975958
1966,5687.23663967758,7041.562,32608.23839544,0.807666912494355,-0.264646618
1967,5694.1143,7041.562,35112.43839544,0.808643636170497,0.474856059
1968,5223.78124043716,7041.562,39574.03839544,0.741849782823351,-0.055344984
1969,5247.32840821918,7041.562,39638.83839544,0.745193809018394,0.420846605
1970,5776.17505890411,7041.562,40902.73839544,0.820297408288688,-0.175234981
1971,5797.97365205479,7041.562,43406.73839544,0.823393112501856,0.075555027
1972,5551.80321994536,7041.562,43418.03839544,0.78843347824607,-0.569396989
1973,5553.88881917808,7041.562,44033.43839544,0.788729662421219,0.091796919
1974,6031.38398082192,7041.562,44279.33839544,0.856540634140822,0.300955108
1975,5647.88735479452,7041.562,45018.13839544,0.80207876530726,0.118579625
1976,4974.32314754098,7041.562,45018.13839544,0.706423254888757,-0.214120057
1977,3034.44024931507,7041.562,45069.93839544,0.43093283128304,-0.26321846
1978,3905.61569041096,7041.562,45069.93839544,0.554651892635605,0.579284843
1979,4932.33022652124,7203.662,48068.13839544,0.684697619977344,0.081141291
1980,8110.9852561397,10330.262,48068.13839544,0.785167429068081,0.438505499
1981,7615.48709036229,10330.262,48068.13839544,0.737201737028769,-0.615544537
1982,8287.21156417457,10330.262,48621.93839544,0.802226658353348,0.670683917
1983,8682.77140237042,10330.262,48621.93839544,0.840518023876879,1.225171775
1984,8388.85311884818,10467.524,48621.93839544,0.801417137314247,0.067628096
1985,17244.9561806068,33778.01,48621.93839544,0.51053795592478,-0.181556159
1986,17954.7031445072,33778.01,48621.93839544,0.531550057108372,0.389158589
1987,21596.0306526227,34091.31,48621.93839544,0.633476116131141,-0.460274809
