"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1872,NA,NA,29.3,NA,NA
1873,NA,NA,29.3,NA,NA
1874,NA,NA,29.3,NA,NA
1875,NA,NA,29.3,NA,NA
1876,NA,NA,29.3,NA,NA
1877,NA,NA,29.3,NA,NA
1878,NA,NA,29.3,NA,NA
1879,NA,NA,29.3,NA,NA
1880,NA,NA,29.3,NA,NA
1881,NA,NA,29.3,NA,NA
1882,NA,NA,29.3,NA,NA
1883,NA,NA,29.3,NA,NA
1884,NA,NA,29.3,NA,NA
1885,NA,NA,29.3,NA,NA
1886,NA,NA,29.3,NA,NA
1887,NA,NA,29.3,NA,NA
1888,NA,NA,29.3,NA,NA
1889,NA,NA,60.1,NA,NA
1890,NA,NA,60.1,NA,NA
1891,NA,NA,60.1,NA,NA
1892,NA,NA,60.1,NA,NA
1893,NA,NA,60.1,NA,NA
1894,NA,NA,60.1,NA,NA
1895,NA,NA,97.1,NA,NA
1896,NA,NA,97.1,NA,NA
1897,NA,NA,185.7,NA,NA
1898,NA,NA,185.7,NA,NA
1899,NA,NA,185.7,NA,NA
1900,NA,NA,201.6,NA,NA
1901,NA,NA,201.6,NA,NA
1902,NA,NA,201.6,NA,NA
1903,NA,NA,201.6,NA,NA
1904,NA,NA,201.6,NA,NA
1905,NA,NA,201.6,NA,NA
1906,NA,NA,201.6,NA,NA
1907,NA,NA,201.6,NA,NA
1908,NA,NA,201.6,NA,NA
1909,NA,NA,201.6,NA,NA
1910,NA,NA,201.6,NA,NA
1911,NA,NA,201.6,NA,NA
1912,NA,NA,216.2,NA,NA
1913,NA,NA,1133.2,NA,NA
1914,NA,NA,1627.7,NA,NA
1915,NA,NA,2019,NA,NA
1916,NA,NA,2019,NA,NA
1917,NA,NA,2019,NA,NA
1918,NA,NA,2019,NA,NA
1919,NA,NA,2019,NA,NA
1920,NA,NA,2019,NA,NA
1921,NA,NA,2019,NA,NA
1922,NA,NA,2019,NA,NA
1923,NA,NA,2019,NA,NA
1924,NA,NA,2073.4,NA,NA
1925,NA,NA,2092.8,NA,NA
1926,NA,NA,2092.8,NA,NA
1927,NA,NA,2186.9,NA,NA
1928,NA,NA,2186.9,NA,NA
1929,NA,NA,2186.9,NA,NA
1930,NA,NA,2278.1,NA,NA
1931,NA,NA,2278.1,NA,NA
1932,NA,1689.7,3967.8,NA,NA
1933,385.704454794521,1689.7,3967.8,0.228268008992437,NA
1934,238.437323287671,1689.7,3985.6,0.141112223050051,NA
1935,114.584597260274,1689.7,4004,0.0678135747530769,NA
1936,169.934295081967,1689.7,4154.1,0.100570690111835,NA
1937,341.899345205479,1689.7,4154.1,0.202343223770776,NA
1938,457.981342465753,1689.7,4322.9,0.271042991339145,NA
1939,472.596189041096,1689.7,4396.4,0.279692364941171,NA
1940,364.616942622951,1689.7,4581.1,0.21578797574892,NA
1941,301.917180821918,1689.7,4581.1,0.178680937930945,NA
1942,445.72818630137,1689.7,4581.1,0.263791315796514,NA
1943,451.412164383562,1689.7,4581.1,0.267155213578482,NA
1944,527.784306010929,1689.7,4581.1,0.312353853353216,NA
1945,670.973331506849,1689.7,4581.1,0.397096130382227,NA
1946,766.794750684932,1689.7,4581.1,0.453805261694343,NA
1947,842.160934246575,1689.7,4581.1,0.498408554327144,NA
1948,872.724795081967,1689.7,4603,0.51649689002898,NA
1949,815.467942465753,1689.7,4603,0.482611080349028,NA
1950,1030.17025678157,1874.4,4618.7,0.549600008953038,-0.423238629
1951,1034.66947671233,1874.4,4618.7,0.552000361028771,-0.005510595
1952,1271.41887431694,1874.4,4618.7,0.678307124582234,0.479329579
1953,1307.03895342466,1874.4,4618.7,0.697310581212472,-0.56304098
1954,1015.41680821918,1874.4,4618.7,0.541728984325212,-0.497609599
1955,821.310646575342,1874.4,4618.7,0.438172560059402,-0.468908996
1956,755.709633879781,1874.4,4693.8,0.403174153798432,-0.142921776
1957,735.709901369863,1874.4,4693.8,0.392504215412859,-0.239995475
1958,903.730684931507,1874.4,4693.8,0.482143984705243,0.089435199
1959,803.514210958904,1874.4,4693.8,0.428678089500055,-0.610156738
1960,631.21899726776,1874.4,4693.8,0.336757894402347,-0.761933838
1961,401.065350684932,1874.4,4693.8,0.213969990762341,-0.329667201
1962,469.440468493151,1874.4,4817.7,0.250448393348885,0.222847996
